Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0005386477208220297,-0.0005653034881020508,0.0,0.0,5.215598472560254e-05,-2.550021744558459e-05,0.0,0.0,Ibias,145.12184117474573,-42.51197213135701,0.0,0.0,50.94894690694566,136.68486639915784,0.0,0.0,W1,-6029.0305604441355,-3657.0415109926007,0.0,0.0,-2720.962357463785,348.9733080122114,0.0,0.0,W2,-11218.354984155581,-2372.095300987704,0.0,0.0,-9508.719314697879,662.4596315300339,0.0,0.0,Alo,-2.1209070778258243,-0.6057133875506505,0.0,0.0,-1.5151936902751675,0.0,0.0,0.0,Rbias2,-3.083963950224146e-06,-1.4971880951313847e-06,0.0,0.0,1.0932178179942599e-06,-2.679993673087072e-06,0.0,0.0,Rbias3,1.0742449347698451e-06,6.222172410131003e-07,0.0,0.0,-2.9754454155461617e-07,7.495722353113326e-07,0.0,0.0,
2,Rd,0.00047666416091426847,-0.00023959235777214923,0.0,0.0,0.0007441713869483199,-2.7914868261903833e-05,0.0,0.0,Ibias,633.3194671566775,109.09027369507022,0.0,0.0,388.0386116418406,136.19058181976442,0.0,0.0,W1,6098.732284550627,44.433364520859826,0.0,0.0,5721.216884012302,333.08203601740837,0.0,0.0,W2,9238.350100014635,3795.046224168387,0.0,0.0,4818.312174312383,624.9917015338654,0.0,0.0,Alo,-0.16848243448535571,-0.021298528390332954,0.0,0.0,-0.1471839060950291,0.0,0.0,0.0,Rbias2,2.86498763602099e-05,7.878411589572144e-06,0.0,0.0,2.353739659777954e-05,-2.765931827141883e-06,0.0,0.0,Rbias3,1.0121110466086028e-05,3.3918738881213157e-06,0.0,0.0,5.981188804385187e-06,7.480477735794824e-07,0.0,0.0,
3,Rd,-0.0005182655815237701,-0.0006116829092598365,0.0,0.0,0.00011859641687804287,-2.5179089141976492e-05,0.0,0.0,Ibias,157.2120434385154,-60.0915167470113,0.0,0.0,79.76013296858346,137.54342721694556,0.0,0.0,W1,-5319.607009127462,-3608.134853976983,0.0,0.0,-2061.5460379013543,350.07388275089403,0.0,0.0,W2,-10099.603068722397,-2356.0192715028575,0.0,0.0,-8369.554580282855,625.9707830633782,0.0,0.0,Alo,-2.0768220559084902,-0.6580696244788732,0.0,0.0,-1.4187524314296172,0.0,0.0,0.0,Rbias2,-7.548800585353614e-07,-5.676785842923522e-07,0.0,0.0,2.5244139110003385e-06,-2.711615385243296e-06,0.0,0.0,Rbias3,1.4605551966653903e-06,4.748238115250925e-07,0.0,0.0,2.2519163945756684e-07,7.605397456827309e-07,0.0,0.0,
4,Rd,3.4623623814540094e-05,-0.0003942904924681061,0.0,0.0,0.00045463169646537885,-2.571758018272797e-05,0.0,0.0,Ibias,423.21475916517437,38.77819040838524,0.0,0.0,246.88375630823904,137.55281244855087,0.0,0.0,W1,1159.3000578021288,-1322.8327552451385,0.0,0.0,2138.95152643144,343.18128661586485,0.0,0.0,W2,912.7625698345821,1457.043656317145,0.0,0.0,-1156.3349728569522,612.0538863744214,0.0,0.0,Alo,-0.9893834250104366,-0.26876456118805025,0.0,0.0,-0.72061886382238,0.0,0.0,0.0,Rbias2,1.63239835551652e-05,5.017665955694715e-06,0.0,0.0,1.4068350387605293e-05,-2.7620327881348094e-06,0.0,0.0,Rbias3,6.403868908011222e-06,2.2640918971373123e-06,0.0,0.0,3.380616815889286e-06,7.591601949846812e-07,0.0,0.0,
5,Rd,-0.0002762180856152791,-0.0005173368290979076,0.0,0.0,0.00026639742537756117,-2.5278681894942046e-05,0.0,0.0,Ibias,270.07777548567566,-19.761018199393227,0.0,0.0,151.87739856525963,137.96139511980843,0.0,0.0,W1,-2369.940896992818,-2524.7304325639952,0.0,0.0,-188.86582737404473,343.65536294522195,0.0,0.0,W2,-5019.08763217371,-574.6470130462435,0.0,0.0,-5048.6885007265555,604.2478815989934,0.0,0.0,Alo,-1.5763173241526969,-0.48011411119745107,0.0,0.0,-1.0962032129552584,0.0,0.0,0.0,Rbias2,7.089382259072142e-06,2.1773424551515014e-06,0.0,0.0,7.68601757666689e-06,-2.7739777727463015e-06,0.0,0.0,Rbias3,3.6568698680325613e-06,1.2741620225350554e-06,0.0,0.0,1.6206169653858856e-06,7.620908801115468e-07,0.0,0.0,
6,Rd,-0.00011100294865750049,-0.0004526368562381324,0.0,0.0,0.0003667774767203094,-2.5143569139679005e-05,0.0,0.0,Ibias,349.9096328799908,9.45074289012029,0.0,0.0,202.92810028648165,137.53078970338404,0.0,0.0,W1,-390.82469892200356,-1812.144702917622,0.0,0.0,1080.5463006712298,340.7737033244076,0.0,0.0,W2,-1647.160187714714,587.4154664076217,0.0,0.0,-2833.5586406602947,598.9829865378637,0.0,0.0,Alo,-1.2391011063442983,-0.360069913103553,0.0,0.0,-0.8790311932407578,0.0,0.0,0.0,Rbias2,1.2499609319560841e-05,3.99096874775435e-06,0.0,0.0,1.1299470496730263e-05,-2.7908299249238776e-06,0.0,0.0,Rbias3,5.197247326330896e-06,1.8307598755254297e-06,0.0,0.0,2.6014321806990487e-06,7.650552701063878e-07,0.0,0.0,
7,Rd,-0.0002071365980563684,-0.0004909505953433871,0.0,0.0,0.0003085945347191676,-2.4780537432148904e-05,0.0,0.0,Ibias,300.58256997298037,-10.43506971459558,0.0,0.0,172.89849376916754,138.1191459184108,0.0,0.0,W1,-1451.6512314768652,-2168.4833639188973,0.0,0.0,376.4087158386778,340.42341660335455,0.0,0.0,W2,-3404.37562929071,-26.59556397701293,0.0,0.0,-3969.192202803374,591.4121374896772,0.0,0.0,Alo,-1.4139939870025375,-0.4253652954564808,0.0,0.0,-0.9886286915460537,0.0,0.0,0.0,Rbias2,9.74445846047973e-06,3.1566464880349232e-06,0.0,0.0,9.372781794104463e-06,-2.7849698216594424e-06,0.0,0.0,Rbias3,4.350097412495293e-06,1.519332606767515e-06,0.0,0.0,2.059820331731109e-06,7.709444739966684e-07,0.0,0.0,
8,Rd,-0.00015950561025351967,-0.00047214653804146365,0.0,0.0,0.0003370888372943872,-2.4447909506447855e-05,0.0,0.0,Ibias,323.1092713138817,-2.977562259711829,0.0,0.0,187.75349869470824,138.33333487888606,0.0,0.0,W1,-852.2129805411972,-1942.9334388613895,0.0,0.0,753.6338985705958,337.08655974957776,0.0,0.0,W2,-2354.8995830169847,328.0631516971247,0.0,0.0,-3274.6731514040252,591.7104166898529,0.0,0.0,Alo,-1.3083955405769658,-0.38879923027521807,0.0,0.0,-0.9195963103017477,0.0,0.0,0.0,Rbias2,1.1499316681074248e-05,3.7785417559873963e-06,0.0,0.0,1.0520773476834659e-05,-2.799998551747753e-06,0.0,0.0,Rbias3,4.827173776039011e-06,1.6905141475234036e-06,0.0,0.0,2.361909259180598e-06,7.747503693350389e-07,0.0,0.0,
9,Rd,-0.0001905289528948968,-0.0004838871103981736,0.0,0.0,0.0003182823847239943,-2.49242272207129e-05,0.0,0.0,Ibias,305.85589375021027,-10.294728407495601,0.0,0.0,177.89633037542652,138.2542917822818,0.0,0.0,W1,-1166.7273552988954,-2037.9226692923212,0.0,0.0,542.4906322487172,328.7046817447644,0.0,0.0,W2,-2846.934492255322,149.81652616908926,0.0,0.0,-3578.335591084265,581.5845726598852,0.0,0.0,Alo,-1.35734382549751,-0.4084917698235208,0.0,0.0,-0.9488520556739861,0.0,0.0,0.0,Rbias2,1.070450782433901e-05,3.56590196639949e-06,0.0,0.0,9.981262476345022e-06,-2.8426566184052852e-06,0.0,0.0,Rbias3,4.571652295101264e-06,1.596666903011608e-06,0.0,0.0,2.1991098549137603e-06,7.758755371759564e-07,0.0,0.0,
10,Rd,-0.00017801167034466172,-0.0004779496807192531,0.0,0.0,0.0003249473818348004,-2.500937146021057e-05,0.0,0.0,Ibias,310.87240103346977,-9.170804585490576,0.0,0.0,181.5392892763307,138.503916342628,0.0,0.0,W1,-977.6248249819765,-1956.9102822523932,0.0,0.0,650.0520400838979,329.2334171865562,0.0,0.0,W2,-2513.4556722166217,264.0788407209055,0.0,0.0,-3345.035115879086,567.5006029416842,0.0,0.0,Alo,-1.32257987862578,-0.3970836538941312,0.0,0.0,-0.9254962247316488,0.0,0.0,0.0,Rbias2,1.1333756227314337e-05,3.809036886076294e-06,0.0,0.0,1.0370209118696703e-05,-2.845489777458715e-06,0.0,0.0,Rbias3,4.7247152308918124e-06,1.651614627720559e-06,0.0,0.0,2.2906929739537042e-06,7.824076292175491e-07,0.0,0.0,
