Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.0008193116,8.324072520568695,-2.1091876575829716,59.20253695169836,18.019729322529177,0.002582028,0.01286318,0.07022485,0.3934524,0.3411576,9999000.0,0.0066292,0.001729512,3.0,
2,0.0008040732,8.15312328251558,-1.9158825480793098,56.11782176566088,18.2182077936235,0.002531626,0.01265374,0.07004487,0.3927285,0.3425903,9999000.0,0.006538657,0.00169811,3.0,
3,0.0008043217,8.278324178088129,-1.9610157069902883,57.30023291110051,18.069694148541636,0.002531399,0.01269095,0.06985507,0.3920759,0.3426614,9999000.0,0.006551252,0.001701839,3.0,
4,0.0007963444,8.232400483707487,-1.904005531764568,56.39281031134253,18.113270260427342,0.002504571,0.01259442,0.06968086,0.3914146,0.3435025,9999000.0,0.006504164,0.001686614,3.0,
5,0.0007931842,8.28121599055735,-1.9087725146699768,56.68536706852137,18.052579210234136,0.002493376,0.0125743,0.06950639,0.3907856,0.3438967,9999000.0,0.00649201,0.001682309,3.0,
6,0.0007876471,8.277273539414043,-1.8831807036589154,56.3607966999477,18.05096525854623,0.002474544,0.01251455,0.06933995,0.390165,0.3445157,9999000.0,0.006462472,0.001672445,3.0,
7,0.0007836643,8.302564487234564,-1.8778551712333496,56.38975657693031,18.01851047784799,0.002460772,0.01247887,0.06917648,0.3895645,0.3449897,9999000.0,0.006444363,0.001666048,3.0,
8,0.0007791338,8.311920460903162,-1.8644287239704411,56.263900486559606,18.004377404763183,0.00244521,0.01243303,0.06901913,0.3889762,0.3455586,9999000.0,0.006417643,0.001658218,3.0,
9,0.0007751112,8.33025951048009,-1.8583003375331941,56.25909843382087,17.981633622557617,0.002431372,0.01239462,0.06886478,0.3884029,0.3460497,9999000.0,0.006397941,0.001651528,3.0,
10,0.0007709745,8.343843390545135,-1.8507055684565188,56.18804832832953,17.964810419986,0.002417232,0.01235349,0.06871432,0.3878421,0.3465356,9999000.0,0.006379259,0.001644524,3.0,
11,0.0007670797,8.360127832994968,-1.8462734426911354,56.16824050380205,17.94597792160182,0.002403905,0.01231543,0.06856747,0.3872944,0.3469973,9999000.0,0.006362502,0.001638,3.0,
12,0.0007633388,8.375058684973162,-1.8423034601668604,56.132697317757945,17.92931039014656,0.002390995,0.01227872,0.06842554,0.3867581,0.3475187,9999000.0,0.006338682,0.001631619,3.0,
13,0.0007596829,8.39082462724686,-1.8400921408764646,56.13065073884627,17.912481925588608,0.002378458,0.01224281,0.06828613,0.3862332,0.3479895,9999000.0,0.006320123,0.001625445,3.0,
14,0.0007561216,8.406233382713237,-1.8388590892353562,56.113134377402844,17.896698717836117,0.00236625,0.0122077,0.06814999,0.3857189,0.3484557,9999000.0,0.006301686,0.001619416,3.0,
15,0.0007525507,8.422011287019336,-1.8389313232531705,56.112586722003385,17.881126456435815,0.002354174,0.01217211,0.06801528,0.3852151,0.3488342,9999000.0,0.006292881,0.001613464,3.0,
16,0.0007492255,8.437564612166389,-1.8398669705383668,56.1284155506403,17.86636460833076,0.002342737,0.01213935,0.06788567,0.3847209,0.349309,9999000.0,0.006272547,0.001607801,3.0,
17,0.0007459737,8.453288284313967,-1.8419361361767344,56.144951787608406,17.85182232587382,0.002331587,0.01210725,0.06775844,0.3842359,0.34976,9999000.0,0.006254463,0.001602282,3.0,
18,0.0007428012,8.468919271365957,-1.8448484340286342,56.1458705578017,17.837909049757844,0.002320718,0.01207585,0.06763389,0.3837598,0.3502033,9999000.0,0.006236829,0.001596893,3.0,
19,0.0007397127,8.48471951586989,-1.8486994709000015,56.179390958419305,17.82426242078021,0.002310147,0.01204526,0.06751183,0.3832923,0.3506372,9999000.0,0.006219683,0.00159165,3.0,
20,0.0007366956,8.500296444834296,-1.8532983736568909,56.2293334349139,17.811130668711694,0.00229983,0.01201529,0.06739226,0.3828333,0.3510641,9999000.0,0.006202982,0.001586523,3.0,
21,0.0007337543,8.515977004753235,-1.858748039374504,56.24751338832556,17.79827249344438,0.002289781,0.01198607,0.06727491,0.3823818,0.3514816,9999000.0,0.006186771,0.001581528,3.0,
22,0.0007308778,8.53163043315939,-1.8649488918533876,56.26603978133136,17.78575317063656,0.002279966,0.01195742,0.06715975,0.3819379,0.351891,9999000.0,0.006171026,0.001576643,3.0,
23,0.0007280629,8.547127025131054,-1.8718121872577242,56.284763954160155,17.773599901580596,0.002270374,0.01192932,0.06704673,0.3815014,0.3522918,9999000.0,0.006155782,0.001571862,3.0,
24,0.000725405,8.562661959879474,-1.8793314708695092,56.466570100747305,17.761706895175724,0.002261124,0.01190309,0.06693692,0.3810715,0.3527444,9999000.0,0.006135067,0.001567287,3.0,
25,0.0007225968,8.577782095365794,-1.8870706141422176,56.485389767976955,17.75048201397053,0.002251794,0.01187454,0.06682646,0.3806485,0.3530653,9999000.0,0.006126873,0.001562579,3.0,
26,0.000719979,8.593781252180062,-1.8966200514852645,56.505507289746646,17.738439097768392,0.002242913,0.01184845,0.06671904,0.3802321,0.3534333,9999000.0,0.006113681,0.001558161,3.0,
27,0.0007173706,8.608849527363464,-1.905752476777245,56.5250666706561,17.72759124058146,0.00223409,0.01182214,0.06661339,0.3798217,0.3537939,9999000.0,0.006100864,0.001553738,3.0,
28,0.0007148313,8.624343315420564,-1.9160018821777527,56.71117029179027,17.716423332649697,0.002225516,0.01179662,0.06650932,0.3794172,0.3541402,9999000.0,0.006089088,0.001549454,3.0,
29,0.0007123204,8.639489356617998,-1.9264874589213008,56.73117933815412,17.70575499780867,0.002217065,0.01177124,0.06640676,0.3790184,0.3544744,9999000.0,0.006078104,0.001545218,3.0,
30,0.0007099729,8.654738390039174,-1.9377485591432873,56.75147981382622,17.695032438432115,0.00220904,0.0117479,0.06630723,0.3786252,0.3548713,9999000.0,0.006059249,0.001541196,3.0,
31,0.0007075924,8.669833702818096,-1.9494864619158534,56.771799522564976,17.684578278516337,0.002201013,0.01172391,0.06620822,0.3782373,0.3552109,9999000.0,0.006046455,0.001537169,3.0,
32,0.0007052629,8.68496778015748,-1.9618929227820914,56.961931095786866,17.674180632926667,0.002193169,0.01170045,0.06611072,0.3778549,0.3555426,9999000.0,0.006033931,0.001533233,3.0,
33,0.000702975,8.699948941035844,-1.9747692364314702,57.15560473206733,17.66396447863782,0.002185476,0.01167737,0.06601466,0.3774774,0.3558679,9999000.0,0.006021611,0.001529369,3.0,
34,0.0007007286,8.714905327666857,-1.9881910357232258,57.176388425348364,17.653833626030305,0.002177934,0.01165469,0.06591991,0.3771046,0.3561859,9999000.0,0.006009514,0.00152558,3.0,
35,0.0006985215,8.729709806898889,-2.0020345606511825,57.19713333090711,17.643890373396573,0.002170538,0.01163237,0.06582653,0.3767367,0.3564963,9999000.0,0.00599763,0.001521859,3.0,
