Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,355.7195319673524,0.0019522022021619806,2.8193667909226325e-05,2.4255476868480377e-05,12723.007191237242,22686.674175414417,29165.702438882734,2.477074e-12,2.464682e-12,3.864166762972419e-11,0.2266366317862033,1000000000.0,1010000000.0,0,27,
2,348.9721486851159,0.0018623169151238384,2.7773728218536518e-05,2.3507671745986978e-05,12723.007191237242,21026.492016922824,27848.822624665507,2.477074e-12,2.464682e-12,4.474169360666493e-11,0.22467353697853035,1000000000.0,1010000000.0,0,27,
3,362.17199356214815,0.00184033802487827,2.9416928249681595e-05,2.3946675161442607e-05,12723.007191237242,20570.76805511307,27973.206719519767,2.477074e-12,2.464682e-12,4.5606775122763107e-11,0.23531178557143376,1000000000.0,1010000000.0,0,27,
4,386.11236892642813,0.001850103517297794,3.160115134920238e-05,2.5164061305771103e-05,12723.007191237242,20656.300144491466,28633.448586494083,2.477074e-12,2.464682e-12,4.394457493151927e-11,0.25026146809441924,1000000000.0,1010000000.0,0,27,
5,415.86527154813655,0.0018677230254800332,3.39569356957115e-05,2.6340289913804367e-05,12723.007191237242,20970.17133953439,29516.81495959031,2.477074e-12,2.464682e-12,4.1219850981314086e-11,0.268398133916555,1000000000.0,1010000000.0,0,27,
6,435.95542163963484,0.0018734715979724077,3.710461292898926e-05,2.7441939072378575e-05,12723.007191237242,21506.16181145447,30167.109104508047,2.477074e-12,2.464682e-12,3.827079440882649e-11,0.28290970590256953,1000000000.0,1010000000.0,0,27,
7,441.4793427738445,0.0018573978826786212,3.91903948995408e-05,2.8146351255764852e-05,12723.007191237242,22106.38630900118,30152.7553426289,2.477074e-12,2.464682e-12,3.6507159950737905e-11,0.29039238849814114,1000000000.0,1010000000.0,0,27,
8,441.52757582079107,0.0018328785135055474,4.08058186232587e-05,2.854823210379159e-05,12723.007191237242,22549.602670538938,29794.693773261137,2.477074e-12,2.464682e-12,3.605037148327577e-11,0.2949833002504949,1000000000.0,1010000000.0,0,27,
9,441.5114812694978,0.0018109087706390465,4.2091980835217124e-05,2.8824084549732145e-05,12723.007191237242,22826.492122901844,29405.676913742667,2.477074e-12,2.464682e-12,3.604643329378226e-11,0.2990234576168325,1000000000.0,1010000000.0,0,27,
10,442.45564745557385,0.0017910226141006412,4.365636103546976e-05,2.9126540219918118e-05,12723.007191237242,23086.512651582292,29056.60181854016,2.477074e-12,2.464682e-12,3.604774730529543e-11,0.3029228820034909,1000000000.0,1010000000.0,0,27,
11,444.47990403246826,0.0017726840231371238,4.607472565812128e-05,2.946215450313113e-05,12723.007191237242,23322.492514617923,28786.950477464183,2.477074e-12,2.464682e-12,3.5970824196085274e-11,0.30697378109570445,1000000000.0,1010000000.0,0,27,
12,447.0895996575118,0.0017578430140952333,4.771348230109047e-05,2.9845795315561987e-05,12723.007191237242,23569.069919512556,28526.668112065883,2.477074e-12,2.464682e-12,3.580700536694442e-11,0.3102743980731455,1000000000.0,1010000000.0,0,27,
13,449.88711920734323,0.0017457740217538598,4.9917153645782115e-05,3.0391230613201798e-05,12723.007191237242,23798.665775495272,28279.651472773174,2.477074e-12,2.464682e-12,3.559799718307343e-11,0.31357920587484395,1000000000.0,1010000000.0,0,27,
14,452.4191885774746,0.0017317202480390376,5.221842624984954e-05,3.078285677971842e-05,12723.007191237242,24061.709930982455,28018.342969432328,2.477074e-12,2.464682e-12,3.537663922726008e-11,0.3163051043954041,1000000000.0,1010000000.0,0,27,
