Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,1.4879688055048268,0.9936988944929066,0.0,0.0,0.26911091101192025,0.225159,0.0,0.0,
2,1.5242982273701458,1.024631097455117,0.0,0.0,0.28085492991502886,0.21881219999999998,0.0,0.0,
3,1.4101928546386862,0.9428000866427949,0.0,0.0,0.24876016799589115,0.2186326,0.0,0.0,
4,1.2574572137569324,0.8315856568282726,0.0,0.0,0.20495335692865974,0.2209182,0.0,0.0,
5,1.1231357821022812,0.7410922277191359,0.0,0.0,0.15886775438314538,0.22317579999999998,0.0,0.0,
6,1.0330700311018766,0.6958536848442738,0.0,0.0,0.11389534625760286,0.223321,0.0,0.0,
7,0.9755554155887659,0.6642809123559398,0.0,0.0,0.09181370323282607,0.21946079999999998,0.0,0.0,
8,0.9307650625939636,0.6353644812366823,0.0,0.0,0.0806949813572814,0.2147056,0.0,0.0,
9,0.8967789313763991,0.6134405744865428,0.0,0.0,0.07265435688985633,0.210684,0.0,0.0,
10,0.8640253592347336,0.5926119304907463,0.0,0.0,0.0645568287439873,0.2068566,0.0,0.0,
11,0.8228593324145707,0.5663074848815576,0.0,0.0,0.05283344753301312,0.2037184,0.0,0.0,
12,0.7948030835858739,0.5487764594214312,0.0,0.0,0.04529222416444275,0.20073439999999998,0.0,0.0,
13,0.7610167237564514,0.5276677763845008,0.0,0.0,0.03522406737195046,0.19812488,0.0,0.0,
14,0.7286053271177484,0.5062940838741814,0.0,0.0,0.02695512324356694,0.19535612,0.0,0.0,
15,0.706114501773394,0.49171057532723994,0.0,0.0,0.021713886446154025,0.19269004,0.0,0.0,
16,0.6788369101119434,0.4734502270499317,0.0,0.0,0.014969563062011559,0.19041712,0.0,0.0,
17,0.6590034359088169,0.46048249438720984,0.0,0.0,0.01035040152160711,0.18817054,0.0,0.0,
18,0.6337613130416947,0.44437483955134477,0.0,0.0,0.0033009534903499114,0.18608552,0.0,0.0,
19,0.6122602120460423,0.42834125204604234,0.0,0.0,0.0,0.18391896,0.0,0.0,
20,0.5973728650204222,0.4141934249266389,0.0,0.0,0.003077120093783255,0.18010232,0.0,0.0,
21,0.584101397023992,0.405024977023992,0.0,0.0,0.0,0.17907642000000001,0.0,0.0,
22,0.5700046573659266,0.3930329506846528,0.0,0.0,0.0012734066812737884,0.1756983,0.0,0.0,
23,0.5563995717050727,0.3814956917050727,0.0,0.0,0.0,0.17490387999999998,0.0,0.0,
24,0.5411102366308711,0.36900769663087113,0.0,0.0,0.0,0.17210254,0.0,0.0,
25,0.5285489984044817,0.3588273136047017,0.0,0.0,1.942479977993609e-05,0.16970226,0.0,0.0,
26,0.5150375056282741,0.3471049102299195,0.0,0.0,0.0001299153983545409,0.16780268,0.0,0.0,
27,0.5018408932996243,0.33579918032139533,0.0,0.0,0.00013961297822895347,0.1659021,0.0,0.0,
28,0.49098997550662904,0.32618897628891097,0.0,0.0,0.0008529792177180677,0.16394802,0.0,0.0,
29,0.48078373679520126,0.3178239167952012,0.0,0.0,0.0,0.16295982,0.0,0.0,
30,0.46889366795251347,0.3072440306906955,0.0,0.0,0.001721157261818007,0.15992847999999998,0.0,0.0,
31,0.4606301298184834,0.30069920981848336,0.0,0.0,0.0,0.15993092,0.0,0.0,
32,0.448713822694066,0.291536610812585,0.0,0.0,0.0007788918814810586,0.15639832,0.0,0.0,
33,0.43969486349301473,0.2836011834930147,0.0,0.0,0.0,0.15609368,0.0,0.0,
34,0.4266255896878772,0.2733325696878772,0.0,0.0,0.0,0.15329302,0.0,0.0,
35,0.4187609254843697,0.26649370415647766,0.0,0.0,0.0006821013278920892,0.15158512,0.0,0.0,
36,0.4098938422798966,0.2589526622798966,0.0,0.0,0.0,0.15094118,0.0,0.0,
37,0.40029919559276717,0.25076674892862416,0.0,0.0,0.0013123466641430308,0.1482201,0.0,0.0,
38,0.3947540330420678,0.24616259304206783,0.0,0.0,0.0,0.14859144,0.0,0.0,
39,0.3859416285548682,0.23923599782093466,0.0,0.0,0.0014042707339335437,0.14530136,0.0,0.0,
40,0.38019026251195065,0.23419516251195063,0.0,0.0,0.0,0.1459951,0.0,0.0,
41,0.36953195910695613,0.22640316362153168,0.0,0.0,0.00040093548542448804,0.14272785999999998,0.0,0.0,
42,0.3646904874939965,0.2220410274939965,0.0,0.0,0.0,0.14264946,0.0,0.0,
43,0.35580688819513556,0.21477552742876752,0.0,0.0,0.0008555207663680638,0.14017584,0.0,0.0,
44,0.3502852802727251,0.20985208027272506,0.0,0.0,0.0,0.1404332,0.0,0.0,
45,0.3437603642641543,0.20455143255296307,0.0,0.0,0.0016417917111912316,0.13756714,0.0,0.0,
46,0.33980727285137835,0.2012177928513784,0.0,0.0,0.0,0.13858948,0.0,0.0,
47,0.33039496379694294,0.19435865125534496,0.0,0.0,0.0008456125415979916,0.1351907,0.0,0.0,
48,0.327254214696742,0.19121189469674202,0.0,0.0,0.0,0.13604232,0.0,0.0,
49,0.32071256579569685,0.18640153526978007,0.0,0.0,0.0011151705259167717,0.13319586,0.0,0.0,
50,0.318144775023308,0.18395643502330802,0.0,0.0,0.0,0.13418834,0.0,0.0,
51,0.3093787382763664,0.17763493325432453,0.0,0.0,0.0009058050220418797,0.130838,0.0,0.0,
