Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0009240306057663278,-0.0009678170145941162,0.0,0.0,0.000238311494051256,-0.0001945250852232812,0.0,0.0,Ibias,207.79906393654093,31.277506022553,0.0,0.0,59.586206497029245,116.93535141696735,0.0,0.0,W1,-8078.876848588936,-4344.151986332835,0.0,0.0,-3920.9408630996713,186.21600084325726,0.0,0.0,W2,-1922.1350766349035,-394.4316672875105,0.0,0.0,-1792.9897294095947,265.286320062248,0.0,0.0,Alo,-9.772146000750089,-4.401458090671709,0.0,0.0,-5.370687910078218,0.0,0.0,0.0,Rbias2,-0.00010705090388479228,-2.4452944178719616e-05,0.0,0.0,-1.5021659708398794e-05,-6.757629999767386e-05,0.0,0.0,Rbias3,5.9293262325612455e-05,1.3895223849587058e-05,0.0,0.0,8.433645450717173e-06,3.6964393025315926e-05,0.0,0.0,
2,Rd,0.018585889881640002,-0.0009972861788345268,0.0,0.0,0.019774385324675268,-0.00019120926420089824,0.0,0.0,Ibias,1484.9964109511657,28.488371650354424,0.0,0.0,1339.5371479958014,116.9708913050062,0.0,0.0,W1,68040.3866523487,-4317.876180420879,0.0,0.0,72179.20938444757,179.05344832200097,0.0,0.0,W2,31901.82960343039,-393.6269197831884,0.0,0.0,32032.610694905197,262.8458283083822,0.0,0.0,Alo,29.144382065220874,-4.239894358215539,0.0,0.0,33.38427642343631,0.0,0.0,0.0,Rbias2,0.0019561039294607014,-2.306312724830365e-05,0.0,0.0,0.0020466835592135046,-6.751650250451897e-05,0.0,0.0,Rbias3,0.0011909395121576945,1.2508726119713052e-05,0.0,0.0,0.0011413314637153517,3.709932232262064e-05,0.0,0.0,
3,Rd,0.0022864506015421496,-0.0013677032284273528,0.0,0.0,0.0038259143412971365,-0.00017176051132752123,0.0,0.0,Ibias,425.65441857587837,14.467266987052993,0.0,0.0,291.9659667328607,119.22118485595925,0.0,0.0,W1,5155.814430819415,-4660.344603877896,0.0,0.0,9604.98476779059,211.17426690683214,0.0,0.0,W2,3821.199750954677,-488.0405395335116,0.0,0.0,4041.107104892854,268.1331855954318,0.0,0.0,Alo,-3.4540526436955816,-4.576093407971503,0.0,0.0,1.1220407642759218,0.0,0.0,0.0,Rbias2,0.00028262395868194044,-6.741378892123792e-06,0.0,0.0,0.0003587334075215483,-6.936806994748115e-05,0.0,0.0,Rbias3,0.0002568039900475886,4.0352024684956625e-06,0.0,0.0,0.00021442735223090376,3.834143534819577e-05,0.0,0.0,
4,Rd,-0.000890332494561742,-0.0014338079127085707,0.0,0.0,0.0007130097132897931,-0.00016953429514285085,0.0,0.0,Ibias,220.64139929979638,10.848270246152087,0.0,0.0,90.8864268031725,118.90670225046257,0.0,0.0,W1,-6967.991909203108,-4670.058561232255,0.0,0.0,-2500.4343326223966,202.50098465121295,0.0,0.0,W2,-1549.0976479544252,-491.3273281114544,0.0,0.0,-1326.8078076678366,269.0374878249638,0.0,0.0,Alo,-9.437837718280004,-4.492415219126045,0.0,0.0,-4.945422499154015,0.0,0.0,0.0,Rbias2,-4.02345423843583e-05,-3.3905880559856865e-06,0.0,0.0,3.2533594754703964e-05,-6.937754908307657e-05,0.0,0.0,Rbias3,7.399853078682651e-05,2.225024541983199e-06,0.0,0.0,3.326653941022945e-05,3.8506966834618835e-05,0.0,0.0,
5,Rd,-0.0014939526776227296,-0.0014524280121837566,0.0,0.0,0.00012595807958708322,-0.0001674827450258577,0.0,0.0,Ibias,178.59991799522257,8.529203800896642,0.0,0.0,51.01037028002564,119.06034391431326,0.0,0.0,W1,-9129.491141495424,-4623.354115413986,0.0,0.0,-4707.589091687018,201.45206560656624,0.0,0.0,W2,-2491.9064466681093,-476.36451918972944,0.0,0.0,-2283.2621099542375,267.7201824762,0.0,0.0,Alo,-10.15182157663929,-4.307249732577805,0.0,0.0,-5.844571844061267,0.0,0.0,0.0,Rbias2,-9.849255429979941e-05,-1.5877121099220168e-06,0.0,0.0,-2.7737045968282006e-05,-6.916779622157451e-05,0.0,0.0,Rbias3,3.827188767683906e-05,1.2913198848169886e-06,0.0,0.0,-1.5890841432752894e-06,3.856965193530735e-05,0.0,0.0,
6,Rd,-0.0016361122563832964,-0.0014597910765406172,0.0,0.0,-9.639548058580115e-06,-0.00016668163178418376,0.0,0.0,Ibias,165.67693653833055,6.647593946678331,0.0,0.0,40.07758660213358,118.95175598951306,0.0,0.0,W1,-9552.732378942466,-4564.794311909444,0.0,0.0,-5148.675312067713,160.73724503458257,0.0,0.0,W2,-2748.7853312961297,-460.82849601428717,0.0,0.0,-2456.0655160428337,168.10868076099135,0.0,0.0,Alo,-9.965969128698669,-4.121269555017979,0.0,0.0,-5.8446995736806375,0.0,0.0,0.0,Rbias2,-0.00011604818280096158,-3.4292418042879044e-07,0.0,0.0,-4.060716591750829e-05,-7.509809270303046e-05,0.0,0.0,Rbias3,2.9068510011265303e-05,6.30461953313765e-07,0.0,0.0,-1.0170458560885621e-05,3.8608506618840494e-05,0.0,0.0,
7,Rd,-0.0016388846501204646,-0.0014635381719561797,0.0,0.0,-3.502232975499825e-05,-0.0001403241484093148,0.0,0.0,Ibias,162.26705459077138,4.877772564835721,0.0,0.0,36.3151776450581,121.07410438088317,0.0,0.0,W1,-9319.004405502063,-4500.358301115789,0.0,0.0,-5156.836728404093,338.19062401771083,0.0,0.0,W2,-2640.3861192781287,-446.78066647829246,0.0,0.0,-2438.57498778432,244.9695349847263,0.0,0.0,Alo,-9.595005528904924,-3.9493033579191046,0.0,0.0,-5.6457021709856114,0.0,0.0,0.0,Rbias2,-0.00011214434419818153,7.066447598530361e-07,0.0,0.0,-4.189705797221298e-05,-7.095393098581268e-05,0.0,0.0,Rbias3,2.7330526673852392e-05,-2.159627081525971e-09,0.0,0.0,-1.2273877127093648e-05,3.9606563428029235e-05,0.0,0.0,
8,Rd,-0.0016411970755901787,-0.0014685635580352402,0.0,0.0,-8.245287315427295e-06,-0.0001643882302393715,0.0,0.0,Ibias,157.77189706802102,3.042000794778282,0.0,0.0,35.96714306013803,118.76275321311222,0.0,0.0,W1,-9195.703371876942,-4431.390649812935,0.0,0.0,-4960.79834243404,196.48562037056882,0.0,0.0,W2,-2499.1966825544823,-431.9442623116322,0.0,0.0,-2329.199303250695,261.9468830078445,0.0,0.0,Alo,-9.125067170000808,-3.7757499894746083,0.0,0.0,-5.349317180525895,0.0,0.0,0.0,Rbias2,-0.00010440084568712905,1.909369156194434e-06,0.0,0.0,-3.761277625197397e-05,-6.869743859133173e-05,0.0,0.0,Rbias3,2.6819314617332575e-05,-6.082226584530315e-07,0.0,0.0,-1.1271183820711327e-05,3.869872109650195e-05,0.0,0.0,
9,Rd,-0.0016368537332569937,-0.0014732326310478215,0.0,0.0,-2.2137566031776168e-07,-0.0001633997265487987,0.0,0.0,Ibias,154.38050632220353,1.2696536484802465,0.0,0.0,34.44847263816901,118.66238003555239,0.0,0.0,W1,-9019.423280395346,-4372.14395029036,0.0,0.0,-4843.65879895579,196.37946885069843,0.0,0.0,W2,-2413.621296359449,-418.1510520136928,0.0,0.0,-2256.0947322065663,260.62448786090636,0.0,0.0,Alo,-8.702142953276736,-3.608485709130581,0.0,0.0,-5.093657244146155,0.0,0.0,0.0,Rbias2,-0.00010096150981698039,2.924622198889703e-06,0.0,0.0,-3.533375880859724e-05,-6.855237320728764e-05,0.0,0.0,Rbias3,2.6160944986269327e-05,-1.2274741121402695e-06,0.0,0.0,-1.1369675564243326e-05,3.8758094662649576e-05,0.0,0.0,
10,Rd,-0.0016372458971172972,-0.0014745555568139016,0.0,0.0,-8.241115702282527e-08,-0.00016260792914617907,0.0,0.0,Ibias,150.96246701504035,-0.19449750021998682,0.0,0.0,32.63224140906534,118.52472310620257,0.0,0.0,W1,-8879.97920128878,-4312.370410973522,0.0,0.0,-4763.199579112707,195.59078879776416,0.0,0.0,W2,-2349.092119358073,-404.8738509852884,0.0,0.0,-2203.2077290775132,258.9894607050644,0.0,0.0,Alo,-8.357302578233483,-3.4676427692530303,0.0,0.0,-4.889659808980453,0.0,0.0,0.0,Rbias2,-9.85063540593683e-05,3.899528355893458e-06,0.0,0.0,-3.403144428590514e-05,-6.837443812934482e-05,0.0,0.0,Rbias3,2.5254500556849292e-05,-1.6806407392288214e-06,0.0,0.0,-1.1870417358533546e-05,3.880555865461334e-05,0.0,0.0,
