Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,361.3428172960606,0.0019471226802970241,2.8685522837165114e-05,2.4477719289058704e-05,12723.007191237242,22579.39330739147,29293.179944650394,2.477074e-12,2.464682e-12,3.864166762972419e-11,0.231471497596283,1000000000.0,1010000000.0,0,27,
2,355.6369621629484,0.0018406807933453791,2.83934005653409e-05,2.365037116374726e-05,12723.007191237242,20692.409285249625,27734.927511621383,2.477074e-12,2.464682e-12,4.404541490069089e-11,0.2304641540145648,1000000000.0,1010000000.0,0,27,
3,374.4967648608992,0.0018166015192444137,2.9928828945647156e-05,2.427394548752963e-05,12723.007191237242,20162.54908374036,27923.99892466109,2.477074e-12,2.464682e-12,4.4752081483299964e-11,0.2454934335196424,1000000000.0,1010000000.0,0,27,
4,411.4878238882129,0.0018363223659144297,3.35525444675694e-05,2.5677060288819952e-05,12723.007191237242,20425.21466041018,28995.7131690905,2.477074e-12,2.464682e-12,4.249834925837367e-11,0.2681265203184016,1000000000.0,1010000000.0,0,27,
5,451.39034537681664,0.0018624932571286454,3.749389186942345e-05,2.747629470345311e-05,12723.007191237242,21277.11235492421,30163.945352243903,2.477074e-12,2.464682e-12,3.867792285759888e-11,0.29100472968072133,1000000000.0,1010000000.0,0,27,
6,458.85348477597984,0.0018449914547287566,4.101669519671884e-05,2.8783692328754583e-05,12723.007191237242,22927.73495575512,30412.415012904512,2.477074e-12,2.464682e-12,3.525882746983306e-11,0.30414228989034825,1000000000.0,1010000000.0,0,27,
7,453.8703867441739,0.0017996273299989117,4.316373049733752e-05,2.9183023359470342e-05,12723.007191237242,23836.413022656605,29839.196168588787,2.477074e-12,2.464682e-12,3.468535128802553e-11,0.3077212084663798,1000000000.0,1010000000.0,0,27,
8,450.4918274160741,0.0017661101734748072,4.450997766999825e-05,2.9419622087526895e-05,12723.007191237242,24222.358131040895,29026.546442099825,2.477074e-12,2.464682e-12,3.5066165967246444e-11,0.30888560156714173,1000000000.0,1010000000.0,0,27,
9,452.32932506249443,0.0017402254881698216,4.622316271244102e-05,2.9768061293775767e-05,12723.007191237242,24485.850035748583,28550.991273662683,2.477074e-12,2.464682e-12,3.5329152141288437e-11,0.3131096302220536,1000000000.0,1010000000.0,0,27,
10,458.87441961566793,0.0017258626189874708,4.824365400403715e-05,3.052303992899597e-05,12723.007191237242,24721.16139833748,28271.02633773132,2.477074e-12,2.464682e-12,3.5185634508641744e-11,0.3173170689068024,1000000000.0,1010000000.0,0,27,
11,464.2944312687123,0.0017120538605654228,5.047750937142866e-05,3.1130199074218083e-05,12723.007191237242,25094.87967783959,28019.208393008958,2.477074e-12,2.464682e-12,3.4683768867568644e-11,0.32156981636440657,1000000000.0,1010000000.0,0,27,
12,468.04424412933224,0.0016973434477325277,5.277366139487393e-05,3.168485788511854e-05,12723.007191237242,25524.45819023253,27724.509145206714,2.477074e-12,2.464682e-12,3.427888261700553e-11,0.32469561232457833,1000000000.0,1010000000.0,0,27,
13,471.7910192382636,0.0016840365390704867,5.485533683535249e-05,3.257724007740712e-05,12723.007191237242,25875.545396434474,27421.504830814116,2.477074e-12,2.464682e-12,3.400425175358355e-11,0.3273432498853445,1000000000.0,1010000000.0,0,27,
14,475.6041702496878,0.0016711442470805804,5.7121254033817755e-05,3.311157013501762e-05,12723.007191237242,26203.3273847503,27112.94769012333,2.477074e-12,2.464682e-12,3.373420362025141e-11,0.3297536707833664,1000000000.0,1010000000.0,0,27,
15,479.9083166209657,0.0016602177698341037,5.912415987542515e-05,3.364209122266256e-05,12723.007191237242,26511.046546034086,26823.78266134136,2.477074e-12,2.464682e-12,3.346374002741407e-11,0.33219551053379714,1000000000.0,1010000000.0,0,27,
16,483.97104669731993,0.0016501915577350386,6.120456556477099e-05,3.4093000123920893e-05,12723.007191237242,26824.94037210173,26535.581073430192,2.477074e-12,2.464682e-12,3.316361429460219e-11,0.33075645792675706,1000000000.0,1010000000.0,0,27,
17,488.6259577594841,0.001637652892564935,6.2538719466551e-05,3.414716135615454e-05,12723.007191237242,27176.699481860815,25968.935295999585,2.477074e-12,2.464682e-12,3.2885219927511975e-11,0.3255983207380489,1000000000.0,1010000000.0,0,27,
18,500.48020392541764,0.001635876438449247,6.450731725208002e-05,3.474951017896258e-05,12723.007191237242,27271.308322980014,25973.267439046627,2.477074e-12,2.464682e-12,3.257193781142426e-11,0.3325260894450551,1000000000.0,1010000000.0,0,27,
19,502.4586379540449,0.0016202753247973529,6.58545259632642e-05,3.478116266421162e-05,12723.007191237242,27775.83294225047,25334.958519247775,2.477074e-12,2.464682e-12,3.180044721920966e-11,0.3261312189296882,1000000000.0,1010000000.0,0,27,
20,514.2056387990369,0.001618731175204001,6.841619064059802e-05,3.53217724665293e-05,12723.007191237242,27776.965101857655,25343.57042362788,2.477074e-12,2.464682e-12,3.16752327594479e-11,0.3312106625498856,1000000000.0,1010000000.0,0,27,
21,517.3273227407052,0.0016055343101640154,6.971187832380377e-05,3.537198405600648e-05,12723.007191237242,28207.14087474732,24766.981935818538,2.477074e-12,2.464682e-12,3.0951613728626696e-11,0.32541996251522043,1000000000.0,1010000000.0,0,27,
22,529.7271600465402,0.0016012175168122287,7.152569070406965e-05,3.550616837060494e-05,12723.007191237242,28306.248164898087,24524.555464564364,2.477074e-12,2.464682e-12,3.0764843861082316e-11,0.3246701257217544,1000000000.0,1010000000.0,0,27,
23,538.9781238633485,0.001594059453014695,7.33459340312377e-05,3.5624649023336e-05,12723.007191237242,28543.367545552224,24192.22822207902,2.477074e-12,2.464682e-12,3.00447013284938e-11,0.32277202281987777,1000000000.0,1010000000.0,0,27,
24,550.714750817759,0.0015943688707127635,7.577460809787575e-05,3.6017679065313764e-05,12723.007191237242,28639.41294969995,24110.02237058593,2.477074e-12,2.464682e-12,2.9529017235632215e-11,0.32432195947905057,1000000000.0,1010000000.0,0,27,
25,554.7793855569575,0.0015829385054421101,7.751331169770366e-05,3.609350649510323e-05,12723.007191237242,29001.105873746663,23636.179890506926,2.477074e-12,2.464682e-12,2.889970585599267e-11,0.32004487034808254,1000000000.0,1010000000.0,0,27,
26,566.5420078371948,0.0015833874868811722,8.005770313612774e-05,3.6664845410262995e-05,12723.007191237242,28948.78093621023,23740.66186665244,2.477074e-12,2.464682e-12,2.8687969891331765e-11,0.3244289506236327,1000000000.0,1010000000.0,0,27,
27,567.5639473476562,0.0015697292955286015,8.125547421257453e-05,3.6714445907051715e-05,12723.007191237242,29408.386636657637,23184.918994960608,2.477074e-12,2.464682e-12,2.8092346355652968e-11,0.3187478203822584,1000000000.0,1010000000.0,0,27,
28,580.0506092112316,0.0015703566483250316,8.361328699813279e-05,3.718626135660967e-05,12723.007191237242,29244.68475375198,23270.569381375175,2.477074e-12,2.464682e-12,2.804176407533624e-11,0.32286989706624586,1000000000.0,1010000000.0,0,27,
29,581.620369784257,0.0015575505784955943,8.525285490693186e-05,3.724870385017202e-05,12723.007191237242,29664.73184007334,22765.108849203785,2.477074e-12,2.464682e-12,2.7438113255034505e-11,0.3178658443642909,1000000000.0,1010000000.0,0,27,
30,593.5105518123689,0.001558396132768316,8.742441214582444e-05,3.758890145299622e-05,12723.007191237242,29488.48016948827,22755.3559210962,2.477074e-12,2.464682e-12,2.7364059334945813e-11,0.32058315056370157,1000000000.0,1010000000.0,0,27,
31,596.5479011684869,0.0015474838874171637,8.905938685008203e-05,3.767465173463722e-05,12723.007191237242,29849.006634501115,22332.223799342282,2.477074e-12,2.464682e-12,2.681585737707494e-11,0.31678753355791744,1000000000.0,1010000000.0,0,27,
32,607.7574866675791,0.0015483551406445574,9.062815521355333e-05,3.834469108311093e-05,12723.007191237242,29691.975822070053,22424.073962984192,2.477074e-12,2.464682e-12,2.6679323283201725e-11,0.32107117003625,1000000000.0,1010000000.0,0,27,
33,607.9333550237296,0.001535354219012009,9.174399741593713e-05,3.8401937557790065e-05,12723.007191237242,30137.874783953204,21919.148557163895,2.477074e-12,2.464682e-12,2.618724517316349e-11,0.3158178447024112,1000000000.0,1010000000.0,0,27,
34,620.2861588674656,0.0015368810144458698,9.381058474062865e-05,3.89573654757496e-05,12723.007191237242,29860.20843301179,22072.437106113397,2.477074e-12,2.464682e-12,2.617966949447658e-11,0.3235606964182128,1000000000.0,1010000000.0,0,27,
35,617.2239215108618,0.001521246698926943,9.539126350836317e-05,3.898402737251108e-05,12723.007191237242,30385.025418979632,21503.480798090135,2.477074e-12,2.464682e-12,2.565830960705048e-11,0.3167680014090657,1000000000.0,1010000000.0,0,27,
36,630.3543791330869,0.0015232924220678716,9.724739029260038e-05,3.9498449124285214e-05,12723.007191237242,29981.957378072486,21661.20206578777,2.477074e-12,2.464682e-12,2.578560835787285e-11,0.3233812801567489,1000000000.0,1010000000.0,0,27,
37,628.0634299163745,0.0015089015583846048,9.881592108744424e-05,3.9536747157075354e-05,12723.007191237242,30463.1241574473,21132.12823720245,2.477074e-12,2.464682e-12,2.5248486940120533e-11,0.3170267355694791,1000000000.0,1010000000.0,0,27,
38,641.31934502102,0.0015113232936946703,0.00010005145109531711,4.001612783285893e-05,12723.007191237242,30070.64047014519,21269.00124049959,2.477074e-12,2.464682e-12,2.534058432809669e-11,0.3226741165200037,1000000000.0,1010000000.0,0,27,
39,639.5943819598551,0.0014978835382230924,0.00010108016626349351,4.006213284488816e-05,12723.007191237242,30529.799040417493,20772.81959207609,2.477074e-12,2.464682e-12,2.4816800604491173e-11,0.3167160509945725,1000000000.0,1010000000.0,0,27,
40,652.4867494313454,0.0015006573429379403,0.00010303758515249494,4.060445478336341e-05,12723.007191237242,30128.910728751696,20954.064999209015,2.477074e-12,2.464682e-12,2.4883730623807273e-11,0.3254145989377438,1000000000.0,1010000000.0,0,27,
41,646.9568919428921,0.0014844883104845174,0.00010443040181816526,4.061656994465776e-05,12723.007191237242,30692.985776358375,20381.649485810245,2.477074e-12,2.464682e-12,2.4392057498577845e-11,0.3176411016575657,1000000000.0,1010000000.0,0,27,
42,660.9946389183788,0.0014879443331144212,0.00010549318371276641,4.111504150334928e-05,12723.007191237242,30109.91398760074,20574.020676061078,2.477074e-12,2.464682e-12,2.460054836326625e-11,0.32737005417195214,1000000000.0,1010000000.0,0,27,
43,654.4206519640783,0.001471250284628211,0.00010694408829248754,4.111937511263123e-05,12723.007191237242,30683.50723618357,19998.154741103503,2.477074e-12,2.464682e-12,2.40780989316841e-11,0.3190598888558731,1000000000.0,1010000000.0,0,27,
44,668.4034016214873,0.0014751595178461433,0.00010849330779728638,4.161226630877054e-05,12723.007191237242,30055.617499408883,20197.457044755072,2.477074e-12,2.464682e-12,2.4319975632528094e-11,0.3283393627471166,1000000000.0,1010000000.0,0,27,
45,662.0404938856141,0.0014591804752808655,0.00010942935312907699,4.179226439270175e-05,12723.007191237242,30615.67836445425,19639.04360390242,2.477074e-12,2.464682e-12,2.3811210820561294e-11,0.32004289116320783,1000000000.0,1010000000.0,0,27,
46,675.8422678939164,0.0014635010536923438,0.00011105811405060209,4.2340681551558874e-05,12723.007191237242,29984.158301282125,19843.949551638063,2.477074e-12,2.464682e-12,2.4040061682298514e-11,0.327646364635755,1000000000.0,1010000000.0,0,27,
47,670.743214465417,0.0014488806426531387,0.00011239548164987261,4.236061703445525e-05,12723.007191237242,30489.80779695187,19335.57796207617,2.477074e-12,2.464682e-12,2.3549125388067187e-11,0.32003107314551027,1000000000.0,1010000000.0,0,27,
48,684.6629818261497,0.0014534311284542813,0.00011339167591117191,4.287310308263307e-05,12723.007191237242,29893.634611616726,19528.32493057512,2.477074e-12,2.464682e-12,2.3728148069114942e-11,0.327350044652518,1000000000.0,1010000000.0,0,27,
49,679.0319717736941,0.0014386966484123947,0.00011477556195674099,4.2892514031841074e-05,12723.007191237242,30410.687473675018,19027.977836913054,2.477074e-12,2.464682e-12,2.324573510128931e-11,0.31962933024677403,1000000000.0,1010000000.0,0,27,
50,693.0645222253008,0.0014435085582039972,0.00011573944980364108,4.33998183050059e-05,12723.007191237242,29779.82347400615,19245.58441634333,2.477074e-12,2.464682e-12,2.3438505064226647e-11,0.32980241710107316,1000000000.0,1010000000.0,0,27,
51,683.4073823134817,0.001424482679944321,0.00011700901279122116,4.3384645091620174e-05,12723.007191237242,30421.076884757626,18603.786159191557,2.477074e-12,2.464682e-12,2.2963943181058888e-11,0.3179137394374311,1000000000.0,1010000000.0,0,27,
52,702.8503512998318,0.0014323768394020756,0.00011856360205572981,4.3922032776199503e-05,12723.007191237242,29504.82346828058,18921.525656762944,2.477074e-12,2.464682e-12,2.328844364442208e-11,0.3320931067866528,1000000000.0,1010000000.0,0,27,
53,688.8826221313702,0.0014089272955616827,0.00011948404140579063,4.4341971574353015e-05,12723.007191237242,30301.87403686343,18247.771211996685,2.477074e-12,2.464682e-12,2.2644214774533247e-11,0.31964731848926337,1000000000.0,1010000000.0,0,27,
54,708.0488301957234,0.0014170019999683965,0.00012082450111329381,4.4841277309879513e-05,12723.007191237242,29217.922918497352,18538.472308160337,2.477074e-12,2.464682e-12,2.3103347069414738e-11,0.3333874859615825,1000000000.0,1010000000.0,0,27,
55,693.5095017266108,0.0013946021994585961,0.00012219008937910207,4.477032107693675e-05,12723.007191237242,30118.168743999788,17903.242394969893,2.477074e-12,2.464682e-12,2.247796144905722e-11,0.32067194423122014,1000000000.0,1010000000.0,0,27,
56,713.0818239277718,0.001403389906566287,0.00012299163486588672,4.527452555383598e-05,12723.007191237242,28998.96238932726,18225.7295450431,2.477074e-12,2.464682e-12,2.2949208726867018e-11,0.3343822706827086,1000000000.0,1010000000.0,0,27,
