Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0008422311937938228,0.006929199216893069,0.015552715223858529,-0.014185451442462953,0.006935609610461484,-0.0004474882979568718,-0.000796242320644551,-9.20059182184082e-05,0.0,-0.0020991662918155704,0.0,-0.0009259219803360834,0.0011240571435480826,0.0,Ibias,0.008213750999539493,0.00034784326264889533,0.01690052017845964,-0.012269890009821512,0.007996560936877494,0.008958729878654512,0.003763523335744054,0.0031172815981136445,0.0018422066606985088,-0.004844582468229422,0.0,0.005748072519079653,0.012416925509233182,0.0,W1,-0.00031417264763224404,0.004653328987427641,0.014178576437660441,-0.00994825969353174,0.004756383964099895,-0.00016536072581319929,0.004198899870701963,-0.003892250366374853,-0.001991517201703246,0.0001564880672937541,0.0,-0.00015531088080011183,0.00038046016722586656,0.0,W2,0.0012140909094943795,0.0015540298471487075,0.021141311127982395,-0.0150278051441692,0.004415843465528129,0.0006454022051713114,0.0011468811407449933,0.00013265718173232401,2.1299649216689545e-07,0.0030322018394877276,0.0,0.0033805067238958284,-0.0016064963246699003,0.0,Alo,0.0,0.0038762880495464575,0.022167239294670675,-0.014296139205085018,0.0035809444780985746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004090456872704006,-0.001489356357395425,0.017118968558215247,-0.009823608661373736,0.006706769730371839,-0.0022136163352808554,-0.0038782114498185027,-0.00044554217271272975,-4.259929843337909e-07,-0.010176962468399614,0.0,-0.002706222011801926,0.0055395523317402495,0.0,Rbias3,0.004064719565412362,0.0014332860687536805,0.020611803335429633,-0.014585177386812049,0.006028778108568952,0.002109823582987215,0.0038329206022222205,0.00044532594258777064,6.389894765006863e-07,0.010171069612308884,0.0,0.0026748234221815144,-0.005313041252799169,0.0,
2,Rd,-0.0007737334938386465,0.007489765649559092,-4.233793144985676e-05,-0.0009291946348560712,0.0013716401375349653,-0.00041493622573123527,-0.0007080213475116159,-9.00681628852407e-05,0.0,-0.0019125864306176838,0.0,-0.0008485734779264495,0.0008470992874795123,0.0,Ibias,0.0083079863631769,0.0008703359738069976,0.0010423142796299344,0.00091782143647869,0.002344231991818557,0.008989627826352596,0.004054424131504942,0.00308048438504786,0.0018173399400720647,-0.004523871372517899,0.0,0.005815558448571923,0.011448245600666006,0.0,W1,-0.0002958933313728401,0.004661981712192534,-0.0016986488869740835,-0.0028936610558997883,-0.0007269829080074886,-0.00015720267934469004,0.004061845738921163,-0.003864504213614087,-0.001969822965060236,0.00012151278457090488,0.0,-0.0001137849346427446,0.0008332763283951682,0.0,W2,0.0011679516278729418,0.0015821052085566373,0.004568288218242378,-0.0012074359363458858,-0.001090384197279344,0.0006263467255397295,0.0010679693072003353,0.0001360324744428328,2.1476482393338247e-07,0.0028896484126772373,0.0,0.0033531179159889722,-0.00126675014788798,0.0,Alo,0.0,0.0039488975099891575,0.005791877969763404,-0.0004948042576415816,-0.0019247425752763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003942181340341557,-0.0015664387055891514,0.0011916685887447703,-0.002661539585060724,0.0010962082521391039,-0.002157224855271291,-0.0036150649724621567,-0.00045756377767109817,-4.295296477475465e-07,-0.009724122581601108,0.0,-0.002630508188339632,0.004376207072180229,0.0,Rbias3,0.003921046102386511,0.001503793574206621,0.004181995895125934,-0.0009666215895151627,0.0005501583050015426,0.002044620428217224,0.0035779569353808004,0.0004572354611599942,4.2952964786676495e-07,0.009714823133802395,0.0,0.0026031348503421274,-0.00420076182226302,0.0,
3,Rd,-0.0008073618140877172,0.0063321105015992475,-0.011558489584270484,0.009422630495907478,-0.002105964498189136,-0.00043490503663700834,-0.0007237167777812864,-9.732161725911682e-05,0.0,-0.0019648098593366904,0.0,-0.0009032398272642566,0.0007285988988936782,0.0,Ibias,0.00828535499063745,0.0006147592140851358,-0.010450865863700746,0.01113444948059089,-0.0013033181666768144,0.008971249874403451,0.004254007219798546,0.0030243616502654606,0.0017842654886120577,-0.004445127253545155,0.0,0.005737108711067993,0.010837501835056806,0.0,W1,0.0006370517392801809,0.005241501988034586,-0.013140918930301554,0.006150992371935247,-0.0047058411573416125,0.00034286295529494405,0.004920550372135197,-0.00010370519859822208,-0.0009211708331430546,-0.00033546997903761294,0.0,0.0004255227260890928,-0.0007441471632372841,0.0,W2,0.0011433789887080185,0.0012685901450512939,-0.006233347211894056,0.007868359309967633,-0.0044261962713146325,0.0006162601888226294,0.001022611807005078,0.00013797495105076797,2.1751377406599707e-07,0.0027839807383819625,0.0,0.0033348972400145897,-0.0010218463961654523,0.0,Alo,0.0,0.0031610619433062094,-0.005396978281946466,0.009121099323708009,-0.005190684347274873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0038453253106547425,-0.001044464611379017,-0.008520580148626535,0.005400031870237746,-0.0023016876289466462,-0.0021152312278190414,-0.0034499578796835084,-0.00046264165810952517,-4.3502754813199415e-07,-0.009342748897419983,0.0,-0.0025622588247465137,0.0035178852046332336,0.0,Rbias3,0.0038269134106754575,0.0009865443048164934,-0.007700173479941039,0.009016652653720331,-0.0029078228634571842,0.002002349429946735,0.003417390624683417,0.00046230568014432545,4.3502754813199415e-07,0.009329546143325434,0.0,0.0025350068943919457,-0.003377950825540468,0.0,
4,Rd,-0.000915350057957132,0.0029618693826036708,-0.09909606699736277,0.10867590377896502,-0.004372095690749256,-0.0004944123325388957,-0.0008092334631705872,-0.00011366862300815208,-2.214890442722835e-07,-0.0021908513030655533,0.0,-0.001115369008696446,0.0006842069645928347,0.0,Ibias,0.008118520613048994,-0.0012670983456061578,-0.09581814875213875,0.010410021886126532,-0.00370768603265746,0.008887667754912554,0.004387220946024021,0.002930638434911503,0.00173381623851364,-0.0046993287264729,0.0,0.0059154048562059846,0.010496397317310242,0.0,W1,-0.00014863109851974312,0.0033115313594181167,-0.09290110343146116,0.06912916698084154,-0.005911522323768104,-8.64425722566389e-05,0.003732452654032879,-0.0036983352692459676,-0.0018828783653044607,0.00026912455261742185,0.0,-0.0005726775441831473,0.0012466030068063088,0.0,W2,0.0011138269517120614,0.000651047371671257,-0.08866541096170388,0.05112285331220544,-0.006240990227676822,0.00060142480867553,0.0009835193864042816,0.00013841438630796146,0.0,0.0026681777073782704,0.0,0.0032223154368112633,-0.0008238265013553476,0.0,Alo,0.0,0.00117191911488227,-0.09012888655315049,0.02949771463137799,-0.007118857256889909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003799155884114947,0.0006234225141126513,-0.036104867297195045,0.05670825001626234,-0.0038818555292096366,-0.002091518440918811,-0.0033647435297204705,-0.00047121021236844196,-4.42978088544567e-07,-0.009086354675403184,0.0,-0.0022972731677543302,0.0028796529457227943,0.0,Rbias3,0.0037828427147651566,-0.0007261711632542796,-0.09311233381227982,0.02077592792071351,-0.005069545976060729,0.0019840162051662498,0.0033367210871615184,0.00047063204032870957,4.42978088544567e-07,0.009072159094605868,0.0,0.0022629871974149634,-0.0027624722630831895,0.0,
5,Rd,-0.0010702757444038416,-0.001644870917823105,-0.006569700232938544,0.0006819931386654194,-0.00398238743389509,-0.0005757438974782594,-0.0009470593806230925,-0.0001331428928657382,0.0,-0.002538662767178352,0.0,-0.0011789895411250266,0.0007267545076620262,0.0,Ibias,0.008000985732954501,-0.004364644652511261,-0.011023899480483691,0.0008094639915043641,-0.003445152434448373,0.008828638737794886,0.004514534095770606,0.002850999740872494,0.0016906602898873043,-0.004886746034837656,0.0,0.005593888872701016,0.010407346247947959,0.0,W1,-0.0001870734074252155,0.002723557102404074,-0.03323912868711832,-0.011088401287475411,-0.005028478499590564,-0.00010108850747302299,0.003461012177877413,-0.003632319458953172,-0.0018422274105873145,0.00012345716006586081,0.0,-0.00015525605126037997,0.001315986832510825,0.0,W2,0.0011215410531693296,-0.0002619905959325143,-0.01971657595667386,-0.011290236604157343,-0.005282801529150759,0.0006031371860741595,0.0009908200554519671,0.00013970459457509653,2.2521117476987226e-07,0.0026615206206419342,0.0,0.0029991331907853608,-0.0007523883654154704,0.0,Alo,0.0,-0.0014116879823122483,-0.0021684007861915576,0.014877419800140602,-0.006345294477450251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003907855554146509,0.00302391792026037,-0.033881157043798515,-0.02251021897101011,-0.002645254334816636,-0.0021369189289562798,-0.0034623184666781517,-0.00048580453382562113,-4.5042234978977916e-07,-0.009259886311537513,0.0,-0.001566907239402842,0.002691208660641296,0.0,Rbias3,0.0038017273710878735,-0.0030702822210848823,-0.010922601944449202,0.0008711792237540378,-0.004542972654115676,0.0019924375129997595,0.003355855929408165,0.0004739934707489086,4.5042234966476186e-07,0.009032749109280647,0.0,0.002146670703027488,-0.0025176605155799972,0.0,
6,Rd,-0.0009523031628346596,-0.0017188766623909627,-0.005029364012461983,0.012934722906528166,-0.0009203591086570407,-0.0005156938621285455,-0.0008558538391111403,-0.00011549954601399185,0.0,-0.002267183402906028,0.0,-0.0020003968675984113,0.0006743785985354136,0.0,Ibias,0.00792286530015181,-0.0040705944868619235,-0.0015688644755939072,0.0024389991668360765,-0.0005739675630774491,0.008803454009494888,0.004644580576465246,0.0027800013460566285,0.0016498461425745836,-0.005068378024461095,0.0,0.006013431284239571,0.0106466454189035,0.0,W1,-7.889451154101004e-05,0.0024224075905793403,-0.014736136204840664,-0.007671374618028061,-0.0019261028473622284,-4.978600686254792e-05,0.0033260855036268923,-0.003548436959558834,-0.0018062220675506935,0.0003801756373617016,0.0,-0.0008951419430542138,0.0011005175813061962,0.0,W2,0.0011991965754212593,-0.00031491973480558545,-0.0019198119175264563,0.0018991575482353402,-0.002182464596026397,0.0006380535008850747,0.0010751704407939567,0.000145453003518314,2.2895450216791424e-07,0.002853523938140427,0.0,0.0026097357439015356,-0.0008386196648116666,0.0,Alo,0.0,-0.001798503566236112,0.006537737170091173,0.03916471455679307,-0.0032185545459490245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004006913015552421,0.0030063528998373625,-0.018285092969567124,-0.02565737205737591,0.00043645458572743484,-0.002177952031553924,-0.0036025022856293687,-0.0004849255218989213,-4.579090043358285e-07,-0.009520152776385554,0.0,-0.002670826851293514,0.0028798527088848857,0.0,Rbias3,0.004041255332340639,-0.003039126487702515,0.0006553488750491946,0.00255855285613837,-0.001573673243693621,0.002100424568131146,0.0036187239277656845,0.0004905957237310828,6.868635065037428e-07,0.009627333304331548,0.0,0.002285638435200778,-0.002785951891367409,0.0,
7,Rd,-0.0010339581251795657,-0.0005552179216292591,0.023809556705694283,0.017449090015767305,0.00013630302077683937,-0.0005536925556778578,-0.0009382436946536765,-0.00012247327769591791,-2.3184427484414402e-07,-0.0024652221743035755,0.0,-0.0010410982981554665,0.0007551877893424577,0.0,Ibias,0.007967957937538697,-0.0029674934264238206,0.023961435334971703,0.017568185882578306,0.00037472252714083665,0.008833470689380556,0.004837284462197565,0.002734351795326746,0.0016210551696636656,-0.004944187291442612,0.0,0.005933118516706468,0.01073769742005011,-0.3333333333333333,W1,-0.00019150954984624275,0.0022930272586254618,-0.0018423277837941857,-0.00040773610063624653,-0.0008608292952369088,-0.00010730674413917372,0.0030502789399820445,-0.0034944697437920896,-0.0017789411208278946,9.29284706003752e-05,0.0,-6.793030880847262e-05,0.0010839489581090027,0.0,W2,0.0011625983783588828,-9.499347672446771e-05,0.0033426759771241345,0.00381999336023292,-0.0011997550651941568,0.0006184863653848341,0.00105272784813877,0.00013764024706992492,0.0,0.0027695301942271297,0.0,0.003020995770675145,-0.000838065866406076,0.0,Alo,0.0,-0.0014580208866947564,0.03167485894539442,0.03425966873161386,-0.002218871974743645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004277046613231007,0.002370712007420493,0.010413669612243175,-0.009475850554375177,0.001430933723238465,-0.0022882715009165497,-0.003885881669442118,-0.0005056920372147754,-6.95532824532432e-07,-0.010175013104877602,0.0,-0.0024649821564724354,0.0031734393989310493,0.0,Rbias3,0.004101979802512915,-0.0024313823597919082,0.02581274748378383,0.02277536788164398,-0.0006111109687619863,0.0021095122946893957,0.0037121815744992296,0.00048660693408557543,4.6368854968828804e-07,0.009786938576244282,0.0,0.0035143843293888935,-0.0029138006097901227,0.0,
8,Rd,-0.0009480102772704015,0.0005325462890280569,-0.0006869623464872681,-0.000587582219437032,0.00013553679658255465,-0.0005028955908353179,-0.0008695315348768123,-0.00011001317590708125,-2.3365763455963613e-07,-0.002270195108405215,0.0,-0.0013809433348604874,0.0007313095939520234,0.0,Ibias,0.007956693212286342,-0.002016118009759035,0.0007980176407493716,-0.003359422602498962,0.0002897902278872767,0.008831939597878062,0.0049159920339691635,0.0027007785389840063,0.001603125030667618,-0.004978213559145555,0.0,0.006134258510475091,0.010913974479196916,0.0,W1,-0.0001308633786327101,0.0022379164178021643,-0.002269040396487288,0.0029000325899993106,-0.0009164980297985841,-7.593355577389863e-05,0.0029959435218564296,-0.0034536691769011633,-0.0017652834290472063,0.00024053257696195698,0.0,-0.0004886233912273951,0.0009436141285555568,0.0,W2,0.0011787693647830975,0.0001138016162090906,0.0032164808251681117,-0.00046087938347935995,-0.0013019750054431584,0.000620868485446117,0.0010778985386260037,0.00013684252685753682,0.0,0.002820852552854771,0.0,0.003051837719161464,-0.0008983178842020265,0.0,Alo,0.0,-0.0009167920400970677,0.007758852723245829,0.00627640797746653,-0.0022599899309075615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004161355544811223,0.0016947514221403494,0.006213869600105506,0.002423207641885857,0.0012728740600640434,-0.002290092983135068,-0.003817390363560387,-0.0004817729862068119,-7.009729036789085e-07,-0.00994696797200638,0.0,-0.004326563691894262,0.0032634042306000917,0.0,Rbias3,0.004420385117936833,-0.0017848393770687363,0.0035171515922507736,0.0028314041021729798,-0.0006958181937631317,0.002257512495536598,0.00403777854060285,0.0005141222514677813,4.6731526911927227e-07,0.01059289253261215,0.0,0.0025454526206457914,-0.0033121582035302065,0.0,
9,Rd,-0.0011810865096559483,0.0008252947281868918,-0.010718974678192942,-0.009406860812626714,-0.00024680303755971714,-0.0005512814952017899,-0.0010859608167606922,-0.00013553205724486692,0.0,-0.0028180318243486773,0.0,0.00014581054047661086,0.0009110152554214132,0.0,Ibias,0.007962650809019223,-0.0016691926493254065,-0.008526222480273328,-0.009129022518228322,-0.000181842642712197,0.008831481359510002,0.005028864932532041,0.0026628983797854187,0.0015852027636435665,-0.004930523194384332,0.0,0.006068586887903562,0.010932183065057109,0.0,W1,-0.0003621848741214128,0.0021378186048913142,-0.008649614836025747,-0.0026991418250242485,-0.0013017870861586223,-0.0001258389037129557,0.0026668833663307883,-0.003436435530374556,-0.0017496604819883035,-0.0003331527608658667,0.0,0.0010213908843552581,0.0010921060406463012,0.0,W2,0.00023167977134105287,0.0007140990771049676,-0.002984748662280146,-0.002913789209291741,-0.001884909320003335,0.000121287283791383,0.00021289398819615367,2.6610721537906955e-05,2.3561277700493647e-07,0.0005541073811920354,0.0,0.0026750258335641536,-0.0001779625374956136,0.0,Alo,0.0,-0.0008096088387300327,-0.0019247257791395159,0.000634696728166225,-0.002647584642256555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004446984371477424,0.0014847921027568937,0.0018018112215038588,0.00019532295849481092,0.0008272636561194494,-0.0023764810837353777,-0.004098041375308607,-0.0005086039376302426,-4.7122555400987295e-07,-0.010621653415125682,0.0,-0.003250857951610477,0.0035012043753757426,0.0,Rbias3,0.004280097266669299,-0.0015834089461611253,-0.005410273820126795,-0.002844968387759979,-0.001124888495098035,0.002243145394269312,0.003929472318408779,0.0004913852354586238,7.068383310148094e-07,0.010263032364689333,0.0,0.004141616933719166,-0.0032217475782149235,0.0,
10,Rd,-0.0009381942370202799,0.0004937985117431469,-0.012599895721412792,-0.007921632948759041,-0.0006346278059478036,-0.0004949046759959725,-0.0008662319179957943,-0.00010626081571469573,-2.375351641186877e-07,-0.0022427606649981823,0.0,-0.0014297005639654784,0.0007214104617027515,0.0,Ibias,0.007906747871010802,-0.001799528598166155,-0.011761647866046393,-0.010430745049519548,-0.0006424064173426871,0.008813203959237344,0.005081983382571979,0.002617036947627682,0.0015684446886305994,-0.005019645129266324,0.0,0.006276558423457293,0.010970929521394964,0.0,W1,-0.00010675681409869473,0.002013266961430319,-0.014763260659942365,-0.004704229354964611,-0.0016337349349743974,-6.284503822175181e-05,0.0027892533563971455,-0.003358212761976926,-0.0017344817683446832,0.00023210615360960723,0.0,-0.0004848539294967065,0.0008934230717908553,0.0,W2,0.0012053456425634677,8.884201138763807e-05,-0.0096068337683713,-0.007798363984434702,-0.0020486463897311,0.0006308883362860026,0.0011124806506871423,0.0001366021209499755,0.0,0.0028838490471064337,0.0,0.002988391249377464,-0.0009160105862467304,0.0,Alo,0.0,-0.0010753998985390464,-0.004423710727036289,-0.0015564203187313696,-0.003018844685005665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004324014089409581,0.0016546543180747722,-0.0063920604199671745,-0.002253546941855801,0.0004942824515605497,-0.00238215200914501,-0.003999025740708803,-0.0004885082637657696,-7.126054923560631e-07,-0.010327325605783162,0.0,-0.004527745426825631,0.0033867371675118385,0.0,Rbias3,0.004608906423243074,-0.0017450983506507288,-0.008813212076465037,-0.00474206080160653,-0.001534565396393132,0.0023323093926243873,0.00424594545087342,0.0005232218968297992,4.750703282373754e-07,0.011037626365021822,0.0,0.002624720776621414,-0.0034392097010942195,0.0,
