Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,
1,0.003900508,9.956878397048383,-4.091717491117549,48.59926352220006,11.77403331237922,0.017167137000000002,0.05378051,0.0981393,0.5721097,0.2255774,
2,0.003873029,10.530325485731673,-3.9959381408975503,49.282661423898944,11.323375430585067,0.017039243,0.0542005,0.09703293,0.5697665,0.2271792,
3,0.003845767,11.031493820506562,-3.9344528237692487,50.3230379914331,10.931165376932308,0.016913767000000003,0.05456935,0.09598963,0.567556,0.2285732,
4,0.003813166,11.447703958482872,-3.915058007691357,51.777217711471266,10.57763274320372,0.0167648,0.05484825,0.09495093,0.5653543,0.2299751,
5,0.00377033,11.77332489556305,-3.946109439021832,53.28563996813611,10.252385450830692,0.016569462,0.05499678,0.09386624,0.5630536,0.2315863,
6,0.003714588,12.021691827149269,-3.997963334818735,55.16341712133432,9.955337498163711,0.01631513,0.05498491,0.09270941,0.5605968,0.2335449,
7,0.003648768,12.2190518971372,-4.065716037704057,56.527833551255426,9.692986473633493,0.016014674,0.05482774,0.091505,0.5580335,0.2357975,
8,0.003578583,12.38585160334951,-4.123271429548851,57.50836739090573,9.467410892535375,0.015694328,0.05457016,0.09030478,0.5554718,0.2381762,
9,0.003508286,12.532410883817633,-4.170182223475798,58.26131665582977,9.27509918979318,0.01537367,0.05425102,0.0891467,0.5529913,0.240547,
10,0.003440088,12.66434038592502,-4.004001862146616,49.205877214722705,9.11031423503744,0.015062826999999999,0.05389697,0.08804645,0.5506252,0.2428399,
11,0.003374894,12.784695269878279,-0.7571810899752336,48.38235185662853,8.967968886220177,0.014765894,0.05352306,0.08700878,0.5483841,0.2450275,
12,0.003313203,12.895656852529394,-0.9094278028783549,47.697554117132626,8.844010990760179,0.014485107,0.05314122,0.08603406,0.5462693,0.2470956,
13,0.003254753,12.998572085748332,-1.0500639716706104,47.110817246185434,8.73538449473511,0.014219257,0.05275407,0.08511773,0.5442717,0.2490525,
14,0.003199431,13.094900694383028,-1.1793207989128973,46.59165136022847,8.639212675961863,0.013967759,0.05236681,0.08425399,0.5423796,0.2509071,
15,0.003146831,13.185341339318558,-1.2977434467571314,46.11722779519552,8.553753755111027,0.013728741000000001,0.05197837,0.08343849,0.5405843,0.2526699,
16,0.003096882,13.270631013404383,-1.4057278702517522,45.682398723706086,8.477568435213374,0.013501865000000002,0.05159193,0.08266835,0.5388803,0.2543457,
17,0.00304933,13.351359375708247,-1.503905600321744,45.24146516593544,8.409246351690744,0.013285948,0.05120867,0.08193829,0.5372568,0.2559422,
18,0.003003865,13.42805208759816,-1.5930247026068756,44.86618366577197,8.347707758687497,0.013079559999999999,0.05082705,0.08124522,0.5357076,0.2574707,
19,0.002960371,13.500992292901085,-1.6736007859271496,44.5518146413562,8.29225306596189,0.012882168000000001,0.05044842,0.08058637,0.5342274,0.2589349,
20,0.002918752,13.570632496909656,-1.7460994175786198,44.19242600383136,8.241963593553642,0.0126933014,0.05007407,0.07995918,0.532811,0.2603406,
21,0.002878905,13.637191184774268,-1.8109321755822094,43.883755094069045,8.196280129335008,0.012512500000000001,0.04970492,0.07936132,0.5314539,0.2616888,
22,0.002840499,13.700913709446759,-1.8689567275752381,43.536934558459734,8.154789385136104,0.012338258400000001,0.049338,0.0787898,0.53015,0.2629904,
23,0.00280363,13.76200112417939,-1.9202593466443716,43.2385194589299,8.116985013166477,0.012170990000000001,0.04897625,0.07824424,0.5288989,0.2642434,
24,0.00276807,13.820717797905269,-1.965561788639576,42.99114444971818,8.08244877135271,0.0120096613,0.04861843,0.0777212,0.5276934,0.2654555,
25,0.002733678,13.877143442987276,-2.0052285939348025,42.70429295758264,8.051076581673897,0.0118536405,0.04826338,0.07721971,0.5265317,0.2666293,
26,0.002700558,13.931389790985037,-2.039473238100257,42.41881826763829,8.022604739264041,0.011703386500000001,0.04791379,0.07673967,0.5254141,0.2677622,
27,0.002668511,13.983703840345676,-2.068612767110025,42.177083755513735,7.996296109494513,0.011557989300000002,0.04756833,0.07627804,0.524334,0.268862,
28,0.002637563,14.034152620703734,-2.092913013023221,41.97539371033493,7.972358036552675,0.011417565900000001,0.04722808,0.07583483,0.5232919,0.2699261,
29,0.002607531,14.082869730703983,-2.1128235436512526,41.73413321229202,7.950236898086061,0.0112812856,0.04689137,0.07540793,0.5222833,0.2709625,
30,0.002578304,14.129848090309247,-2.128761735057921,41.501800664673254,7.930167817189895,0.0111486518,0.04655727,0.07499605,0.5213054,0.2719724,
31,0.00255006,14.175250182916246,-2.1404998854130852,41.302164517275514,7.911796806592824,0.0110204627,0.04622911,0.07460006,0.5203607,0.2729506,
32,0.002522558,14.219201151421172,-2.1486735099990284,41.067130879557325,7.894965846571715,0.010895634099999999,0.04590415,0.07421737,0.5194434,0.2739048,
33,0.002495913,14.261721011918167,-2.1531627135694436,40.867929836745816,7.879485884071103,0.010774660000000002,0.04558442,0.07384887,0.518556,0.2748335,
34,0.002475195,14.113219102842052,-2.2281970519876637,53.0295185840324,7.794408073940438,0.010670487099999999,0.04534728,0.0734941,0.5176929,0.2773649,
35,0.002490274,14.240032478803098,-2.1498160910954667,43.614310204128856,7.851519656334883,0.0107401827,0.04561376,0.07353492,0.5177906,0.2764798,
36,0.002480981,14.295232520615746,-2.1326841352157686,41.248518310190974,7.8219502718740515,0.0106986139,0.04553145,0.073345,0.5173292,0.276638,
37,0.002460482,14.336753696179223,-2.1254843841600604,40.56940141263688,7.8035704628723295,0.0106057523,0.04528539,0.0730518,0.5166154,0.2772959,
38,0.002317302,13.455431154582428,-2.5801163406104877,51.65207809680483,7.545842551980914,0.0099603803,0.04328445,0.07141829,0.512581,0.285852,
39,0.002378957,13.909962811505945,-2.34640787185792,52.27448726150307,7.707397993343077,0.010218266500000002,0.04423387,0.07192326,0.5138333,0.2833985,
40,0.002421319,14.200691426252236,-3.5013215264764455,59.144613005496836,7.680686310670838,0.010411696100000001,0.04489513,0.07224361,0.5146233,0.2814197,
41,0.002438295,14.32330528902428,-2.064267568171907,42.636294259066744,7.651714640090111,0.010489935300000001,0.04518342,0.07232277,0.5148174,0.2804531,
42,0.002431092,14.37473088233077,-2.042808655955156,40.48375890525375,7.631616018922651,0.0104578552,0.04511738,0.07217484,0.5144522,0.2805245,
43,0.002257739,13.294848842699771,-2.3561745352262946,51.57093229698714,7.3679202598345785,0.009682696400000001,0.04262596,0.07026219,0.5096583,0.2901265,
44,0.00231931,13.799252528542345,-1.9580072990299584,50.98666806699477,7.533913916512043,0.009959319500000001,0.04358822,0.07077752,0.5109599,0.2875574,
45,0.002369896,14.157957002935095,-3.0952923597927295,56.1711465272264,7.51048556212237,0.0101878023,0.04437899,0.07118548,0.511983,0.285303,
46,0.002398368,14.330136259989786,-1.9737983692430703,43.52529974537097,7.485602958690692,0.0103174045,0.04483602,0.0713855,0.5124822,0.2838775,
47,0.00239982,14.394288894482493,-1.9455821098794956,40.40891326947765,7.468085612294252,0.010325157700000002,0.04488975,0.07133377,0.5123525,0.2835726,
48,0.002177348,12.955167240679481,-1.8468110145267076,50.761614127041796,7.026309536382746,0.0093133365,0.04160456,0.06894467,0.5062624,0.2951173,
49,0.002243279,13.526049363044086,-1.8218147808207306,50.75331745883443,7.293875012075071,0.009608066,0.04265034,0.0695112,0.5077247,0.2924639,
50,0.002302598,13.989366072586208,-1.9831930746730464,53.00194203645779,7.3667518705229895,0.009874528300000001,0.04358565,0.07001158,0.5090049,0.2899404,
51,0.002347418,14.277225970122732,-1.8710047536415502,47.77730851818899,7.343757938093311,0.0100769643,0.0442939,0.07037404,0.5099257,0.2878939,
52,0.00236629,14.392614771093848,-1.839005696654766,41.207697423613055,7.324114212927691,0.010163127000000001,0.04460554,0.07049659,0.5102357,0.2868664,
53,0.002361957,14.441696052686058,-1.812723776764031,39.44173180862819,7.317105393677858,0.0101447021,0.04456453,0.07040638,0.510007,0.2868176,
54,0.001884198,11.459131168872027,-0.4827487600721838,49.3078343420039,7.1572953562930755,0.0080125058,0.03719947,0.06531824,0.4964982,0.3058136,
55,0.001952632,12.1607998161094,-0.444585705189553,47.41249839421042,7.371678005703898,0.0083151185,0.03833688,0.06596307,0.4982845,0.3031716,
56,0.00202047,12.826330903519722,-0.8991487178950877,48.03959839753597,7.354185820257757,0.0086162427,0.03945358,0.06659324,0.5000066,0.300456,
57,0.002086629,13.442900816364936,-1.3538699314687221,49.068793897491005,7.3450783635322825,0.0089111659,0.04053241,0.06720023,0.5016448,0.2976905,
58,0.002149122,13.984108548418376,-1.4812343414850915,52.17817950647088,7.422708721537202,0.009191078,0.04154261,0.06776716,0.5031574,0.2949421,
59,0.002203428,14.393446355229385,-2.7771233628523717,54.72520797828537,7.496723991583972,0.0094356249,0.0424143,0.06825431,0.5044446,0.2924029,
60,0.002239114,14.602702553241521,-1.7023129440765388,42.89462433839108,7.466017437376306,0.009597411200000001,0.04298714,0.06856623,0.5052629,0.2905755,
61,0.002246291,14.667388831609575,-1.6753780400081908,39.11459620057565,7.444677500240404,0.0096309798,0.04311085,0.06861222,0.5053833,0.2899989,
62,0.001742373,11.46802373579327,0.18757377170723544,48.992266957964645,7.297606672083186,0.007385171300000001,0.03506568,0.06314843,0.4902657,0.311059,
63,0.001808028,12.185248749271942,0.17016340728289947,47.128368323475414,7.501920233714367,0.0076749075000000005,0.03618921,0.0637963,0.4921562,0.3083636,
64,0.001873333,12.86696595940425,-0.3861069993208446,47.68854639207164,7.471620059246843,0.0079642082,0.03729555,0.06443349,0.4939864,0.3055866,
65,0.001937435,13.503139234510915,-0.9177189117256717,48.58290952672995,7.448564688343058,0.008249397,0.03837076,0.06505289,0.4957394,0.302743,
66,0.001998885,14.073848808927263,-1.5603344839476705,50.772851318725316,7.435884229134411,0.0085241143,0.03939142,0.06564272,0.4973862,0.2998785,
67,0.002054368,14.532385764863127,-2.3744342132358582,52.67331936901947,7.42666627009433,0.008773501099999999,0.04030453,0.06617313,0.4988494,0.2971358,
68,0.002095739,14.799109646489335,-1.3963464329063555,43.98797237609003,7.58605491803288,0.0089606439,0.04098043,0.06656839,0.4999296,0.2949269,
69,0.002109878,14.879820826315411,-1.3877781803907396,38.516504306381165,7.554604164375367,0.0090256166,0.04121051,0.06670671,0.500306,0.2939765,
70,0.001639014,11.63547836063421,0.7356577622246334,48.81794412971115,7.435196472824204,0.006928051,0.03345485,0.06151401,0.4853327,0.3151536,
71,0.001701829,12.356951265678639,0.6797934668718568,46.984264511780395,7.630051520852268,0.007205003,0.03455416,0.06215345,0.487284,0.3124037,
72,0.001764362,13.041791318891596,0.019751938275135217,47.5610182749012,7.587144524428931,0.007481796400000001,0.03563744,0.06278478,0.4891771,0.3095659,
73,0.001825829,13.68067242539287,-0.6036698392603199,48.45780959963437,7.553080386221174,0.007755072,0.03669147,0.06340134,0.4909958,0.3066545,
74,0.00188485,14.254013892409995,-1.363843228835563,50.791944281273445,7.528570467050264,0.008018775700000001,0.03769358,0.06399058,0.4927078,0.303715,
75,0.001938378,14.715830196427362,-2.313109882183369,52.66130112283807,7.5117024789066,0.0082592835,0.03859341,0.06452549,0.494241,0.3008857,
76,0.001978571,14.982274889624518,-0.9786683064028807,42.88498088228921,7.492296287401052,0.0084410859,0.03926206,0.06493281,0.4953961,0.2985881,
77,0.001992596,15.034723574903193,-0.9948998312175377,39.077281475478316,7.540313886190511,0.008504130700000001,0.03949002,0.06508358,0.4958208,0.2979046,
78,0.001546907,11.609799629827865,1.1603823848248567,48.55086984324046,7.734949265040168,0.006525779000000001,0.03187395,0.06040111,0.4818455,0.3181278,
79,0.00160684,12.336418261600297,1.0781528479525377,46.70010739571623,7.931231804905218,0.0067898389,0.03293904,0.06103195,0.4838361,0.315354,
80,0.00166657,13.026994842640603,0.3222605219625905,47.25042351623583,7.873681980533483,0.0070540288,0.03398994,0.06165601,0.4857687,0.3124878,
81,0.001725442,13.67382890942368,-0.36944849650899414,48.066091931450984,7.824612089421173,0.007315568,0.03501555,0.06226724,0.4876286,0.3095391,
82,0.001782307,14.260928749563995,-1.1386347476510963,49.80795060120104,7.783715611844004,0.0075694632,0.03599642,0.06285579,0.4893904,0.3065427,
83,0.001834859,14.753490617649451,-1.9758864673961654,50.97348030387391,7.7501193147256044,0.0078054548,0.03689371,0.06340121,0.4909993,0.3036024,
84,0.001877474,15.076838914136154,-0.5921288896236234,45.59128504359839,7.7193464790621835,0.0079980927,0.03761382,0.06384887,0.4923036,0.3010357,
85,0.001693343,14.771698515518146,-1.5727122529673352,50.524274796082096,7.632658064140653,0.0071855186,0.03445428,0.06200876,0.4868548,0.3078303,
86,0.001737494,15.14898267544622,-0.08844344106779545,47.97177012175436,7.641748342749176,0.0073843523,0.03521686,0.06248933,0.488307,0.3050816,
87,0.001580289,14.834506218404826,-1.2709545637331843,50.25359339587288,7.5794778811052606,0.006691987900000001,0.03246066,0.06088046,0.4833765,0.3111949,
88,0.001623615,15.232680722842943,0.43570295972980944,48.28975641263247,7.585987484441344,0.0068866668,0.03322224,0.06136752,0.484897,0.3083792,
89,0.001486831,14.927605521481496,-1.1415778879120637,50.29661900642948,7.541823501404839,0.0062851061,0.03078177,0.05993776,0.480378,0.3139741,
90,0.001528342,15.32673812824115,0.9807606816585519,46.88372540775249,7.545556556487956,0.0064713895999999995,0.03152208,0.06041867,0.4819241,0.311146,
91,0.001407613,15.040226419537124,-1.1555213126959885,57.56480599611734,7.515252916310821,0.005940976600000001,0.02933636,0.05913262,0.4777436,0.3163301,
92,0.00130526,14.698145704404073,0.25611524899802873,50.69874298578256,7.533658649846668,0.0054926196,0.02744721,0.05802051,0.4739758,0.3208696,
93,0.001347854,15.221766362444303,2.6949683714193498,83.14987315207472,7.527460612221643,0.0056826731,0.02823058,0.05853321,0.4757356,0.317841,
94,0.001254471,14.908310328957198,-0.0007621839893943161,49.13834647318295,7.515955500010174,0.0052736008,0.02649135,0.05750373,0.4721752,0.322174,
95,0.001294198,15.39365536919612,3.280324712343784,53.010209231057416,7.5088796667947175,0.0054510352,0.02722747,0.05799366,0.473891,0.3191898,
