Iteration No,Rd,Ibias,C1,C2,Cload,W1,W2,Rbias1,Rbias2,Rbias3,mismatch,flo,frf,Alo,Temp,
1,1024.7062138809326,0.0006284911447958384,1.59e-12,6.7e-13,1.591e-11,6.279208347153088e-05,2.4546443741487774e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.31955398370972615,27,
2,1049.8338480247105,0.0006390126833483027,1.59e-12,6.7e-13,1.591e-11,6.285508150802888e-05,2.4597008949287744e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.32314243466193276,27,
3,1075.3688213177547,0.0006495637778123711,1.59e-12,6.7e-13,1.591e-11,6.291889511617955e-05,2.4647955726111966e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3267637648387586,27,
4,1101.3231118568508,0.000660129015276324,1.59e-12,6.7e-13,1.591e-11,6.298416746343005e-05,2.469923595708162e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.33042043227065676,27,
5,1127.6479123880158,0.0006706789901384862,1.59e-12,6.7e-13,1.591e-11,6.305006539638872e-05,2.4750807219577133e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.33410746183055706,27,
6,1154.346264804198,0.0006812154639281893,1.59e-12,6.7e-13,1.591e-11,6.311652519692086e-05,2.4802905937197944e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.33782780357593484,27,
7,1181.3858094247312,0.0006917118177513824,1.59e-12,6.7e-13,1.591e-11,6.318349080721251e-05,2.4855227417122702e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.341570225474911,27,
8,1181.995995195299,0.0006882326802360473,1.59e-12,6.7e-13,1.591e-11,6.31677739138742e-05,2.4808636293329305e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.341570225474911,27,
9,1182.599699649845,0.0006847763757159019,1.59e-12,6.7e-13,1.591e-11,6.315221884954791e-05,2.4762461219028347e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.341570225474911,27,
10,1183.196912498168,0.0006813427357739683,1.59e-12,6.7e-13,1.591e-11,6.313682549620332e-05,2.4716694000080275e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.341570225474911,27,
11,1183.7882151551892,0.0006779319340386839,1.59e-12,6.7e-13,1.591e-11,6.312159373705237e-05,2.467133886659013e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.341570225474911,27,
12,1191.0982222405207,0.000682118229507545,1.59e-12,6.7e-13,1.591e-11,6.3186457076914e-05,2.4723004817525282e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34367945475798223,27,
13,1191.6994290681967,0.0006787078088895648,1.59e-12,6.7e-13,1.591e-11,6.317115015768713e-05,2.467755157316826e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34367945475798223,27,
14,1192.294385008159,0.0006753196995075881,1.59e-12,6.7e-13,1.591e-11,6.315600487443684e-05,2.4632502702771446e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34367945475798223,27,
15,1192.8830803607568,0.0006719539061252423,1.59e-12,6.7e-13,1.591e-11,6.314102111228038e-05,2.4587850133497e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34367945475798223,27,
16,1193.465803745513,0.000668610263488363,1.59e-12,6.7e-13,1.591e-11,6.312618297231898e-05,2.4543592003256704e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34367945475798223,27,
17,1196.7681387051412,0.0006704603165360115,1.59e-12,6.7e-13,1.591e-11,6.318844649586981e-05,2.45939410901098e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3446304201520399,27,
18,1197.3515631727598,0.0006671264526120363,1.59e-12,6.7e-13,1.591e-11,6.31736761965014e-05,2.4549838005249965e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3446304201520399,27,
19,1197.9289859640999,0.0006638145033380438,1.59e-12,6.7e-13,1.591e-11,6.31590514904619e-05,2.4506120881222115e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3446304201520399,27,
20,1200.8097307430226,0.000665410825145989,1.59e-12,6.7e-13,1.591e-11,6.322007671309027e-05,2.4555894987944667e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3454591773614766,27,
21,1201.38732022351,0.0006621095556897336,1.59e-12,6.7e-13,1.591e-11,6.320553609544626e-05,2.4512357386131047e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3454591773614766,27,
22,1201.9585798942762,0.0006588297960056245,1.59e-12,6.7e-13,1.591e-11,6.319114103460053e-05,2.4469203380952764e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3454591773614766,27,
23,1206.6217139845114,0.0006613858006240921,1.59e-12,6.7e-13,1.591e-11,6.32503141838541e-05,2.451843760224438e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34679942526492813,27,
24,1207.1972725420821,0.0006581127676432536,1.59e-12,6.7e-13,1.591e-11,6.323594054995582e-05,2.4475352577767836e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34679942526492813,27,
25,1207.766767855404,0.0006548611969865203,1.59e-12,6.7e-13,1.591e-11,6.32217282723172e-05,2.4432649206357773e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34679942526492813,27,
26,1208.3301910526086,0.0006516307667017858,1.59e-12,6.7e-13,1.591e-11,6.320764563234455e-05,2.4390319641607757e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34679942526492813,27,
27,1214.3930847805862,0.000654900376381034,1.59e-12,6.7e-13,1.591e-11,6.326495741081629e-05,2.443893012697502e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34853951921927456,27,
28,1214.9632423338908,0.0006516730273262283,1.59e-12,6.7e-13,1.591e-11,6.325084932531367e-05,2.43965835707975e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34853951921927456,27,
29,1215.5275927599548,0.00064846695895004,1.59e-12,6.7e-13,1.591e-11,6.323690251303744e-05,2.435461534790984e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34853951921927456,27,
30,1216.0858238069297,0.0006452816892476773,1.59e-12,6.7e-13,1.591e-11,6.322310105906396e-05,2.4313017664895607e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34853951921927456,27,
31,1216.6384379372187,0.0006455749183705847,1.59e-12,6.7e-13,1.591e-11,6.325183092197491e-05,2.4324065994584644e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34869790266517453,27,
32,1217.1917042668706,0.0006424082120022473,1.59e-12,6.7e-13,1.591e-11,6.32381369005803e-05,2.4282788054591834e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.34869790266517453,27,
33,1223.3820826805165,0.000645675363687875,1.59e-12,6.7e-13,1.591e-11,6.329359009609965e-05,2.4330457232476997e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3504713061167222,27,
34,1223.9426975199049,0.0006425115544058044,1.59e-12,6.7e-13,1.591e-11,6.327988703384384e-05,2.428916236393918e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3504713061167222,27,
35,1224.4974495475558,0.0006393682272537627,1.59e-12,6.7e-13,1.591e-11,6.326632931804685e-05,2.424822905306535e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3504713061167222,27,
36,1225.0463305293154,0.0006362453929897985,1.59e-12,6.7e-13,1.591e-11,6.325290103964909e-05,2.4207655703802307e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3504713061167222,27,
37,1225.2659947230852,0.0006363594787413395,1.59e-12,6.7e-13,1.591e-11,6.32642429760022e-05,2.4211996400999397e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.35053414945168765,27,
38,1225.8094001917448,0.0006332562717432575,1.59e-12,6.7e-13,1.591e-11,6.325095748497724e-05,2.4171762115980038e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.35053414945168765,27,
39,1233.514435584081,0.0006372367127363167,1.59e-12,6.7e-13,1.591e-11,6.330324930484883e-05,2.4218258184166386e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3527374920164658,27,
40,1234.0676668084402,0.0006341325733993999,1.59e-12,6.7e-13,1.591e-11,6.328989231924551e-05,2.4177922675160653e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3527374920164658,27,
41,1234.6152843355865,0.0006310486281618153,1.59e-12,6.7e-13,1.591e-11,6.327668055422386e-05,2.413793843553661e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3527374920164658,27,
42,1235.1569717915886,0.0006279847293099326,1.59e-12,6.7e-13,1.591e-11,6.326359810051929e-05,2.409830394062546e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3527374920164658,27,
43,1235.6930299173462,0.000624940730330785,1.59e-12,6.7e-13,1.591e-11,6.32506448788082e-05,2.4059017680626258e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3527374920164658,27,
44,1238.634094883626,0.0006264281477099217,1.59e-12,6.7e-13,1.591e-11,6.330162169879e-05,2.41047568319436e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3535770402334954,27,
45,1239.1701137881869,0.0006233938863694518,1.59e-12,6.7e-13,1.591e-11,6.32887398187743e-05,2.4065616733037735e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3535770402334954,27,
46,1239.7001688043597,0.0006203793093834406,1.59e-12,6.7e-13,1.591e-11,6.327598713770081e-05,2.4026816942459895e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.3535770402334954,27,
47,1244.7138677040896,0.0006228882991691489,1.59e-12,6.7e-13,1.591e-11,6.332508983456716e-05,2.407203787711998e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.35500700601247737,27,
48,1245.2481611318015,0.0006198788143517133,1.59e-12,6.7e-13,1.591e-11,6.331234566023796e-05,2.403328189613782e-05,1000,6000,4000,0,1000000000.0,1010000000.0,0.35500700601247737,27,
