Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,
1,Rd,-0.06988975125298193,0.6540479883367606,2.0251260652981733,0.5045179824604391,-0.14301357572262596,-0.04200096334693059,-0.0564579019157124,-0.010182147922742989,0.0,-0.11586225836997213,0.0,-0.116801389008956,-0.01882372288899695,Ibias,0.7399149222404292,-0.043811426062554136,1.921244851326738,0.5207552015907749,-0.01300373216502532,0.8320069812556745,0.5059305623300544,0.23477947278978606,0.15466920109235,-0.3255586420371279,0.0,0.3098793982882408,0.7050632993028425,W1,0.0476015492302359,0.30055971965530015,1.7398299861963493,0.2576665019135774,-0.2325002288974827,0.028638236473187476,0.31730918076167597,-0.27343595621073513,-0.15747465676850056,-0.020919574427918253,0.0,0.01999221924440452,0.24364024197553727,W2,0.15281431925781383,0.33112012939038277,0.8876266546514779,0.5028588474981273,-0.4517078872371481,0.0919205796561035,0.12345967480483062,0.022258010688232712,2.460926031770938e-05,0.253466570162468,0.0,0.5506865796374847,0.041275143979313936,Alo,0.0,0.43349958130593436,-0.033255283557252685,0.5322511360138689,-0.5861462241309053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.1961895627152657,0.057430194348380155,0.5993614964203418,0.22523418288336441,-0.15635167199802086,-0.12007727642210946,-0.1585961755831942,-0.02858411606880094,-2.460926031770938e-05,-0.3254156022119757,0.0,-0.04673856661191683,-0.05274270107122127,Rbias3,0.19485493983965474,-0.06357597450039718,1.4636194227640968,0.3842280817882247,-0.15357817025737308,0.1077846377865072,0.15736946483283926,0.02837827749892847,2.460926031770938e-05,0.3231627249658876,0.0,0.04583801619550767,0.05266208555563103,
2,Rd,-0.0745711496238388,0.46957197342063267,3.873331097741837,0.762804332162804,-0.2930478457840849,-0.04496529278933197,-0.0604121367148798,-0.010829088593723198,0.0,-0.12222835846887972,0.0,-0.12813320251610774,-0.021227055478218678,Ibias,0.7366993430847175,-0.0832298209018281,3.6195128947959803,0.8371799113139857,-0.15887154787600255,0.8297995054217542,0.5087156224462901,0.23181450519027427,0.1537711045457865,-0.32319930422766147,0.0,0.30790478582761716,0.70161004422769,W1,0.04939013345938021,0.2612306512565639,3.3398465906359798,0.5928354631452578,-0.35345301490068187,0.029777016113828325,0.31307346242342465,-0.2702148410858968,-0.1564935931181503,-0.021671946321667943,0.0,0.020655352318172036,0.2430737255138265,W2,0.1482587548208291,0.2326500110005602,2.713364749043832,0.8052149958333624,-0.572343523064137,0.08941098663977551,0.12001916166011797,0.021547393672402614,2.4749896113022765e-05,0.24293152267945714,0.0,0.5386145685000598,0.04231445927567682,Alo,0.0,0.2664710865201571,2.0070886409590316,0.7300951554452082,-0.7176211342112797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.19658863496804374,0.09105503420799424,2.053793756240527,0.5681498712961819,-0.25261792344428935,-0.12068018432172739,-0.1592971144219113,-0.02856829893713961,-2.4749896113022765e-05,-0.322348033013712,0.0,-0.04498665716754466,-0.05590057279132851,Rbias3,0.19530749554914512,-0.09745200310229712,3.1134211469865587,0.6862217668690261,-0.2865374397601129,0.10858285518018676,0.1581182007592191,0.02837442778583221,2.4749896113022765e-05,0.32004250680929097,0.0,0.04402390769508194,0.0557808713506859,
3,Rd,-0.0818500099652871,0.27787443437901904,3.9623617032516725,1.0333332659462904,-0.36867945607233177,-0.049457535214388,-0.06649295895069096,-0.011843426549095435,-2.487701426146378e-05,-0.1330619773985531,0.0,-0.14722630714115914,-0.024243493686533703,Ibias,0.7314394789736722,-0.143279582346002,3.6792210039177364,1.1473718547457952,-0.23412717626047685,0.8267635994115411,0.5093495211357647,0.22875410783944178,0.1529438836750879,-0.3263624270306756,0.0,0.29876786811230294,0.6990402543497679,W1,0.048979740711328,0.22826671018817546,3.415755643658321,0.8706453988128509,-0.4082228959231275,0.02961678349133806,0.3092258980544172,-0.25887942749322357,-0.15115273864830395,-0.021882402765597615,0.0,0.020137851206668597,0.23234324102326556,W2,0.14372601219370076,0.14316133608551238,2.7652545829499826,1.0743087355991243,-0.6186809728331937,0.08688202193005908,0.11669906750073011,0.020795827985407325,0.0,0.23356548476946376,0.0,0.5263763544397233,0.042670110466017576,Alo,0.0,0.13202792242789588,2.088962905851115,0.9564315266488371,-0.7718051347932828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.19617949338100524,0.1304031975093137,2.1928146464920433,0.8548367343131047,-0.28266454713410555,-0.1205798066025371,-0.15942051330209248,-0.0283795315421878,-2.487701426146378e-05,-0.3189740228658815,0.0,-0.03968341267194624,-0.05803213102261636,Rbias3,0.1948768407025155,-0.13442127096317086,3.1911880793721585,0.9798562207131908,-0.3464818811924252,0.10894042381261689,0.15818708573302892,0.028184003273713773,2.487701426146378e-05,0.3166054913872052,0.0,0.03866805882959582,0.05787597325330911,
4,Rd,-0.09024974635901808,0.12687063043355695,3.1896089303920534,1.1681842661963744,-0.33893718641114323,-0.054632443057890154,-0.07356948154527425,-0.012995597969981943,-2.4995519539963565e-05,-0.14585012742006712,0.0,-0.1716888031856196,-0.027550886258297498,Ibias,0.7252363942541811,-0.19841769888713748,2.9540230792501134,1.228236832795811,-0.21771465912214852,0.823277521077072,0.508928349710452,0.22567003712122688,0.1521727230394003,-0.3324124784378798,0.0,0.284782143708852,0.6970602861405283,W1,0.04951378907892732,0.19779530402405862,2.6807541663020045,0.8988224966235322,-0.377804805767423,0.029965965934988372,0.30453835832540127,-0.256490583119393,-0.15047302770978088,-0.02268858294248258,0.0,0.019586455351484136,0.23061959009006391,W2,0.1396783137699895,0.07622378674810051,1.9672067228643015,1.1135208925764233,-0.5704130487121912,0.08453393832607084,0.11376527023822615,0.020091785810576537,2.4995519553838866e-05,0.2255782319656816,0.0,0.5144927476846571,0.04273626409219124,Alo,0.0,0.051293240427482026,1.1965561935580817,0.9238048730008609,-0.7161527316806044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.19545589544323838,0.15652099645511744,1.549138270754434,0.8590117450980003,-0.24169851761867717,-0.12022489947410728,-0.15930958207022766,-0.028131316082373185,-2.4995519539963565e-05,-0.3158377971294339,0.0,-0.031879209756181,-0.05959832103452807,Rbias3,0.19413495959001395,-0.1612136035928887,2.4873492297769233,1.0196674068864056,-0.3144240149611528,0.109045685848623,0.15810889320227098,0.02793419975345421,2.4995519553838866e-05,0.3135053259858241,0.0,0.03073188601174215,0.059445895661006956,
5,Rd,-0.09760840483643156,0.024539148314298438,3.3231912680518665,1.216932690258892,-0.2442994351587765,-0.059160893681091856,-0.07982040275766179,-0.013964607383782001,-2.5112182397534277e-05,-0.156845915943736,0.0,-0.19519353894997166,-0.030635587443003938,Ibias,0.7196779974001896,-0.23661383506462136,2.8298367449019306,1.2804038092272894,-0.1444127687661165,0.8200866775884218,0.5088784498541036,0.22272413443206435,0.15142645985278239,-0.33769417061314566,0.0,0.27128864504351463,0.6953979100843487,W1,0.05000275456721814,0.17582569948476887,2.2494575599776585,0.6938470030799404,-0.2947971156817203,0.030281103419467454,0.299907726866176,-0.2541019260230601,-0.149819280179382,-0.023436746060565474,0.0,0.019023776523385744,0.22881305053581147,W2,0.1363826182182448,0.031277777434665276,1.8482642848809065,0.9674065856811411,-0.46500683752451183,0.08261378025881917,0.11140651459548392,0.019513551984466946,0.0,0.21899041002286587,0.0,0.5038902823672102,0.04286737876639346,Alo,0.0,0.008660359661668513,1.0456904522102932,0.7536802999905263,-0.5943094002780195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.19530091859560614,0.1702438033800895,1.0507040611853944,0.5199792293529892,-0.15637461616313503,-0.12019445130945682,-0.15969425071302534,-0.027943406441727044,-2.5112182397534277e-05,-0.3137978805121835,0.0,-0.02429927757606707,-0.06121506575149803,Rbias3,0.1939551758317978,-0.17896386318235827,2.5009305376387676,0.9405736087612956,-0.22693065673628057,0.10935338315213738,0.15841156596834538,0.02775891467752869,2.5112182397534277e-05,0.31142946122703935,0.0,0.022940436395847516,0.06100933225828175,
6,Rd,-0.0990773292904302,-0.03759234453719997,2.5888927573386344,1.3141627826076905,-0.15124262234505437,-0.05996588139372929,-0.08123264533303715,-0.014100765846057996,0.0,-0.15818218362768413,0.0,-0.22341299060974046,-0.031937766557161684,Ibias,0.7209162832146605,-0.2585572289407568,2.127436530641788,1.2970794728837052,-0.07056814923571252,0.8210781342486839,0.514218220928515,0.22076422146609495,0.15073728824249874,-0.33183640754766364,0.0,0.2439016731639097,0.6955912173364951,W1,0.05119204635495901,0.16119391331216867,1.6054578543957667,0.48431819436139034,-0.21048763063201759,0.03108730811457809,0.2960754362723742,-0.2516400363359328,-0.14917315236448436,-0.023243384731358663,0.0,0.01672064898098185,0.22741764631998906,W2,0.13432156725516392,0.0040366767432275475,1.2704147796484009,0.8621674717361482,-0.36172134481195073,0.08148200522149882,0.11006139044311386,0.019120409671578947,2.5227998032941604e-05,0.2144184579321315,0.0,0.4944759057803185,0.04340498088365204,Alo,0.0,-0.018297826190781807,0.30207162895826967,0.5573518172697829,-0.47585949201022015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.198489520699291,0.17923932322873312,0.3406635016984254,0.2413648856410214,-0.07054972344488251,-0.1223435996767036,-0.16278209006289324,-0.028258735610365158,-2.5227998032941604e-05,-0.31707085311346495,0.0,-0.01036209232623556,-0.06393110927422448,Rbias3,0.1969407834015467,-0.19028737325486358,1.6877758849245068,0.8817471628057945,-0.14077509240194802,0.11152841531019367,0.1613300928275046,0.028029919937388337,2.5227998032941604e-05,0.3143508825597957,0.0,0.00965558603127888,0.06367175386133923,
7,Rd,-0.10092996458436143,-0.0653776710602911,0.14407297369426345,1.21499085846179,-0.0868122936144584,-0.061190742560157246,-0.08296793561120827,-0.014304340178824725,0.0,-0.16008551046457611,0.0,-0.22857133987045355,-0.03347968757222629,Ibias,0.7191731709955768,-0.26226626812128967,-0.2463576692716871,0.4334853896358817,-0.021770830821545132,0.8198158674408677,0.5169277963595496,0.21842568996113312,0.15009870580095894,-0.3301059051613207,0.0,0.24479253173222182,0.6943846189397745,W1,0.05212129039399784,0.15144386138476057,0.8220546289339896,-0.23000749821810426,-0.15210877993922375,0.03170966680017211,0.29231817769950635,-0.24931038819213072,-0.14855286398872325,-0.023745077916617868,0.0,0.01746300559281586,0.22629754587050097,W2,0.1326304436976886,-0.01127010151509323,0.5399188412369625,0.027307057692703106,-0.2890256950862796,0.08058585201264469,0.1089955469409583,0.018784350043490414,2.5341669053735882e-05,0.21025315282846802,0.0,0.4882656363752129,0.0440911401765321,Alo,0.0,-0.04063305961330339,-2.149280595655698,-0.3328511448597723,-0.391121486714922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.2003923143949574,0.1813732280060671,-0.42359485730171054,-0.03764608187281212,-0.010877731738176579,-0.12364223090877069,-0.1647277278105502,-0.028407007887843668,-2.5341669053735882e-05,-0.31781060517185294,0.0,-0.010089736564747029,-0.06640476960763189,Rbias3,0.19875697221847555,-0.19389868465462573,0.958358368552172,0.09585096634869061,-0.08231077517435571,0.11285585027434368,0.163283208513728,0.02814771471239337,2.5341669053735882e-05,0.31502742838340464,0.0,0.009468829699214813,0.0660904931367448,
8,Rd,-0.1244117214307377,-0.06710614411250801,3.1852949337453933,0.35361133479479384,-0.04959990017156396,-0.07618050933211605,-0.1025117880684896,-0.017549297208662447,0.0,-0.19606460060129155,0.0,-0.12547767067815332,-0.042377097615381956,Ibias,0.6951204550829769,-0.2507864005334314,1.0718181694163536,0.8143501529600338,0.0028569503897777748,0.8042173735166248,0.5010142291189686,0.21305717024399956,0.14950144551151198,-0.3632125677865222,0.0,0.35300229220264995,0.6853897961063072,W1,0.0528676037526683,0.1450997181418496,0.702751032508216,0.06631057856830609,-0.11972078119188743,0.03216510394022276,0.2886964945271478,-0.24706799830540457,-0.1479998136958384,-0.024600194204677604,0.0,0.020193580907663333,0.22531941714164821,W2,0.13103071169322789,-0.019094032038952494,0.25914495699696055,0.36510993579121115,-0.2459319305223382,0.07973303476728821,0.10791681195948209,0.018492028050457004,2.545138670681086e-05,0.20620647809791925,0.0,0.4848771659927816,0.04476741051103734,Alo,0.0,-0.0569260936907713,-0.5004182549539169,-0.3143422444406313,-0.3387216399338488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.2005090298626129,0.17793050773899366,-0.4122883419236384,-0.17901748070733078,0.02221628828689888,-0.12387669017489415,-0.1652205603960184,-0.02829642880503987,-2.5451386692682504e-05,-0.31569664345966475,0.0,-0.022814121941473305,-0.06833700743572522,Rbias3,0.17753228022527967,-0.1910938410266186,0.665101752298947,0.4328689101219854,-0.05034885998604696,0.0994707121851544,0.14617178687729002,0.025062136840149542,5.090277341362172e-05,0.2791297356689837,0.0,0.11430183391627832,0.06073988893012753,
9,Rd,-0.10317866723733568,-0.05936651223123375,-0.43271143545613006,0.4882955557389171,-0.030949881648908842,-0.06288560447477305,-0.0852151459151851,-0.014494454447989483,0.0,-0.1613125400746641,0.0,-0.20881226053638796,-0.03608144022073593,Ibias,0.7150748703473059,-0.23412857089800515,-0.9595370668781292,0.5641133621567894,0.011200869587078341,0.8163097392220322,0.5209576984555414,0.21394281857440622,0.14893882365929362,-0.32741481096645814,0.0,0.2774712643678232,0.691204279009458,W1,0.05405203431816516,0.14052439070715603,0.6221072866829714,-0.0021385339330534546,-0.10514552291772673,0.03292406158986475,0.28567037972489046,-0.24487307937529493,-0.14745659102851857,-0.024752769478310035,0.0,0.021226053639856936,0.22460184809918934,W2,0.13014099386108213,-0.022041113842300546,-1.690229802142065,0.23121993607469135,-0.2230831955038172,0.07928941983664707,0.10735952569522558,0.018289578472670712,2.5555735000154464e-05,0.20330134818684462,0.0,0.4811494252873635,0.04559026742691777,Alo,0.0,-0.07055080194963316,-2.4717069095808983,-0.10226395561148727,-0.3082273805800603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.20317280770808288,0.1722775666967946,-0.5266891862287855,-0.19267997413178642,0.03703226123586629,-0.12571946189792776,-0.16780343776391587,-0.028551009970065117,-2.5555735014340745e-05,-0.3176605416381569,0.0,-0.026896551724137713,-0.07100916755149442,Rbias3,0.20177161593079132,-0.18528069141331804,-1.3878867730463258,0.2107263828393203,-0.03631230070658107,0.11487845458465236,0.1664900107306944,0.028361253768851312,2.5555735000154464e-05,0.3152132339213639,0.0,0.02528735632183845,0.07074865173761813,
10,Rd,-0.10112052004347775,-0.03214358277517756,1.5456268650531744,0.38790364263363264,-0.015852720503077167,-0.06158677703665436,-0.08364139307859395,-0.01414554046078979,-2.561972842136756e-05,-0.15768866171948037,0.0,-0.19942509604156386,-0.03569726024933326,Ibias,0.7165527898881268,-0.21249104500799454,0.938782272041033,0.500361968044858,0.02601765318397353,0.8170965520423252,0.5244770033752668,0.21296001224285188,0.14859442483965107,-0.32374676384555645,0.0,0.2866063061075231,0.6922645067669345,W1,0.05444291045192935,0.14032997668098487,0.49815333198113415,-0.10764496147928262,-0.08770138418542814,0.033198305108890803,0.2834396386184235,-0.24349385761054573,-0.1471597200481114,-0.02458304253322309,0.0,0.021987500951378372,0.22345922754503172,W2,0.13037983046761228,-0.015525789966928735,0.28425869688592176,0.14973242191141822,-0.20807372501226343,0.07946680907955767,0.10780328728650315,0.018249945983087483,0.0,0.2033528888751891,0.0,0.480803604720088,0.046134726894416764,Alo,0.0,-0.07277600509206292,-0.3697236563611307,-0.12373708217949135,-0.294004662930877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.2068744792743634,0.1654803256931852,-0.6472860666639801,-0.2883615645265175,0.054770686304724425,-0.12802259785102046,-0.17116878008341255,-0.028950717523376697,-2.561972842136756e-05,-0.3228012622096752,0.0,-0.03251997518334167,-0.07300605035767206,Rbias3,0.20545870618933082,-0.17673413151757,0.5255703618959994,0.12931196886795693,-0.021457836232297498,0.11703056060827992,0.16987344877466717,0.028745497247267913,2.561972842136756e-05,0.320384980251271,0.0,0.03098238770421649,0.07274370828761037,
