Iteration No,alpha,fixed_alpha,Rd,W2,W1,Ibias,Alo,Rbias2,Rbias3,
1,0.2,0.06,1.6200201575546516,1.3530052791100715,1.7241147691429077,0.8422483064220396,1.7521127542010966,1.2448589031722241,1.2562165818093465,
2,0.2,0.06,1.363768456367504,1.3712907855314393,1.6903820695211036,0.7228511151274836,1.3823391153096045,1.4871909663079617,1.5163527844076283,
3,0.2,0.06,1.5940868057888355,1.3656220906121403,1.4219100453416935,0.6896387504433492,1.4564137391096306,1.3449957795383534,1.5473579192762725,
4,0.2,0.06,1.4400740165172174,1.3693575824482334,1.6108084116683927,0.8541649791074659,1.3605855777094271,2.246317492647918,1.207612048363569,
5,0.2,0.06,1.7187076976146314,1.4267770431371674,1.5407738373854476,0.8859729658797588,1.3402163795666084,1.620264729701518,1.3709041099200872,
6,0.2,0.06,1.1638162821947078,1.3747860964553782,1.710863127774442,0.9235162388053473,1.569991850987962,2.1143916399993983,1.3592052974303097,
7,0.2,0.06,1.1546877010440806,1.585259506880799,1.824388304458273,0.8809687724765758,1.6852353726246492,1.4803162879421068,1.4044780877794985,
8,0.2,0.06,1.8090765441248573,1.255651383225115,1.2412775354781447,0.6047083189119391,1.6867725279788115,1.4352705031771715,1.3453647308831345,
9,0.2,0.06,1.5347798828176071,1.3405477990395813,1.4548271075958568,0.8121791710223784,1.6616919276208895,1.415640136053018,1.5075964389933616,
10,0.2,0.06,1.6675132744109071,1.3909537464469974,1.4320900293897652,0.8392631784198353,1.4780655568248884,1.5339763342024533,1.4625879888728555,
11,0.2,0.06,1.909613269700743,1.3019095239176335,1.5555381783058704,0.7943728508784631,1.5857385359665757,1.1490617155230465,1.481994276186221,
12,0.2,0.06,1.5128463326754626,1.3830835417447447,1.372432794551711,0.77890270529354,1.6541371675951517,1.349791435775877,1.5781930545381369,
13,0.2,0.06,1.6696853384310735,1.387589587041795,1.4285481174480927,0.8272167787553849,1.4692665262368987,1.544849752258235,1.4535763223025466,
14,0.2,0.06,1.6727011734345871,1.3945471412316925,1.5176555821612712,0.8625581747838807,1.5864813039051084,1.2306757397918568,1.6201513475237972,
15,0.2,0.06,1.497405862461919,1.3703778449833783,1.3469262390346486,0.7966193761226973,1.6994300355512644,1.3796305018823307,1.5872762546164407,
16,0.2,0.06,1.6565748831802334,1.3927503601071018,1.4252093511962363,0.8349198644551659,1.472821204854985,1.5557118080543437,1.4699783739980568,
17,0.2,0.06,1.839385860298459,1.3781333321225864,1.4223327283946419,0.7742375220340644,1.6564457787835647,1.1573962183967943,1.4565372366988296,
18,0.2,0.06,1.3726940215174341,1.5841369355998052,1.590582819785764,0.884754438558741,1.3879207100768216,1.6611645983631922,1.432141923117164,
19,0.2,0.06,1.6777123434783512,1.4005219610302129,1.4843958427243178,0.8291850228211429,1.3850003532825979,1.6625548657789362,1.3787512713801156,
20,0.2,0.06,1.4881802076767707,1.2821843171742708,1.2483416082223433,0.8008616653696259,1.929831637224288,1.325375854879357,1.6779854783913144,
21,0.2,0.06,1.6876717657049245,1.3834035604079193,1.4408139305031806,0.8431305324542073,1.4301404042449157,1.6261683868913706,1.4493984143140481,
22,0.2,0.06,1.3652105033182618,1.2963062609386597,1.6243030037352364,0.8418969973972049,1.478443960177929,1.6395220576583929,1.5602623309745858,
23,0.2,0.06,1.4648015695890957,1.3702132056014078,1.2826380745704602,0.829608944555903,1.9186399403184953,1.297607837962935,1.6340441342397394,
24,0.2,0.06,1.697442296233491,1.3457862410283226,1.4001532206806007,0.7778371026632828,1.419273583433531,1.6253171988282973,1.4121889643937706,
25,0.2,0.06,1.7873038507438492,1.3800367810035041,1.379884797550429,0.7755505216108158,1.6719272172988138,1.1868216503208384,1.4845369508926691,
26,0.2,0.06,1.3914707381612,1.4221019517859304,1.38964563534316,0.8403666434520036,1.5719325175893024,1.683350427887606,1.4766896376052585,
27,0.2,0.06,1.665625145481765,1.3892896870629199,1.4585031480939257,0.8150179442148917,1.4281042404375017,1.6148330006221914,1.402827490004157,
28,0.2,0.06,1.4995350040032647,1.2683310531710648,1.1782506521005713,0.7974684442043927,1.9380351437380292,1.3571017839644826,1.7047687925931756,
29,0.2,0.06,1.5779203074852377,1.9480208170128646,1.34374783878818,0.8687287596423757,1.383690159214711,1.4754044228816878,1.3913842414766604,
30,0.2,0.06,1.7634513315416775,1.4023379686819202,1.4470333551849208,0.7729846638852587,1.6552161940843906,1.1578904699433932,1.4551025985588502,
31,0.2,0.06,1.408916784318997,1.3875502332937104,1.3788152871693264,0.8350797669864574,1.624953082887007,1.603344768427925,1.5122033222609683,
32,0.2,0.06,1.667924662790516,1.4062749210580754,1.4288684764913846,0.8089824353035887,1.4417188022424305,1.5947570996472966,1.4135661144024705,
33,0.2,0.06,1.4083831162987548,1.3380169068158005,1.444341043573558,0.7654520651853731,1.599794231637517,1.363636115007548,1.609947110004994,
34,0.2,0.06,1.6726345924842545,1.3834099963593194,1.4362012704341651,0.8207307154309148,1.4368603419510988,1.6149474357106186,1.4459867826799229,
35,0.2,0.06,1.4659853186264484,1.3647767086163498,1.4141425889157129,0.8458613692743648,1.5865310783002151,1.392122975988318,1.7326197361592088,
36,0.2,0.06,1.5587587515489578,1.3982981363126443,1.290445636308929,0.8161610278000128,1.8046974275620309,1.2289485922164034,1.6233812033677353,
37,0.2,0.06,1.70515772183479,1.3421553269860704,1.3722541021971437,0.7486966530380507,1.4366419282087723,1.5760318005425402,1.414503563129329,
38,0.2,0.06,1.6679780178272656,1.3778849076868203,1.342841283968631,0.7691767556955468,1.6827884573296783,1.229037427278923,1.5359569196130993,
39,0.2,0.06,1.270384712986293,1.5479005699550552,1.4852092166545012,0.9081926969434151,1.5281649042382954,1.8283839147761745,1.4117533469556232,
40,0.2,0.06,1.6793598521880975,1.3869762305359599,1.4549360054671479,0.8051502944871628,1.4102011774891188,1.640923678556825,1.3922211098063608,
41,0.2,0.06,1.4373016720316425,1.329646939806893,1.2609181737771173,0.8342976658428978,1.7326313375215248,1.5373142246548905,1.6111168604351793,
42,0.2,0.06,1.669520451886638,1.380437112294239,1.4274436707004423,0.8119460411581036,1.443891516451453,1.6086223670784594,1.4485224983891185,
43,0.2,0.06,1.759581182321149,1.3960515632769255,1.4918194494520964,0.8051641404630905,1.5477475078856813,1.1978815528759643,1.519441449078171,
44,0.2,0.06,1.4876619580529424,1.3614204820320783,1.335264518035629,0.7978320807894411,1.6473930767877967,1.3948837673992658,1.6146204405482603,
45,0.2,0.06,1.67189966671399,1.374663019848346,1.4108016669058558,0.7961586379196307,1.4662157371641993,1.57035636813929,1.4420883944540186,
46,0.2,0.06,1.2850061798232477,1.4513257924690983,1.4715833720431317,0.9046032284546573,1.6925972693099296,1.508302274934702,1.617629485159262,
47,0.2,0.06,1.3294064200739368,1.2306258933244285,1.2018660997296406,0.859550586339817,2.2002542070598547,1.4937364845467689,1.6683285934906291,
48,0.2,0.06,1.6427101426154094,1.3313850030600505,1.4197060136676516,0.8353478368288876,1.5933392467059426,1.8381674422299836,1.39551338672598,
49,0.2,0.06,1.491745320381273,1.3907392706158186,1.3197997670918133,0.8038850906842951,1.6219677737106994,1.4149127663429806,1.6052112559705243,
50,0.2,0.06,1.6559295906823703,1.3784986808271373,1.4174382269285437,0.802456205567573,1.4668795556856389,1.5778979229381807,1.4501062562425262,
51,0.2,0.06,1.80428850092521,1.3920940736276801,1.4419245891186792,0.7832667106377755,1.6307380272893441,1.1008338448855066,1.5198450926872835,
52,0.2,0.06,1.3982289098224503,1.3222182806014693,1.2473030244140857,0.8777489422018611,1.5725651575906368,1.9590261896307564,1.5338754704097162,
53,0.2,0.06,1.671145394918757,1.3773166320946182,1.419547718060437,0.7981231937993553,1.4517748336845018,1.5950142349368999,1.4405420516163823,
54,0.2,0.06,1.4201313508572422,1.372620768418171,1.3483278397197882,0.8973653705203307,1.8154632680011384,1.5643956707645281,1.5089047995836764,
55,0.2,0.06,1.3982079466084194,1.2402080725377573,1.2162247312088215,0.8199116885706558,1.7964489035423092,1.6213614695867218,1.7080510564542561,
56,0.2,0.06,1.401007917746986,1.31821518492996,1.1595081095296758,0.8237892673586454,1.732988463144151,1.739815001003697,1.6488881554992147,
57,0.2,0.06,1.5114391388173012,1.1556957992277619,1.140996043537724,0.8546693244527468,1.8309440294624182,1.833440203190881,1.6589970414868487,
58,0.2,0.06,1.4409163830933776,1.347232951733425,1.1958591159822214,0.8456307601972038,1.8024094962698447,1.5478585671621878,1.6695794068015777,
59,0.2,0.06,1.4878710504149248,1.1590145072771085,1.109519927385882,0.8401955832304233,2.1728817090680597,1.5251018620849488,1.68594164437996,
60,0.2,0.06,1.6763067900272053,1.2964832199093423,1.3991434987552318,0.7910690290151022,1.5918709970712808,1.76092921782876,1.4407696574743045,
61,0.2,0.06,1.4746579312112624,1.3897796457445155,1.3231083447623169,0.8058674393553079,1.7037241140369905,1.335187651918079,1.620197624568162,
62,0.2,0.06,1.650713521030184,1.3775389139484298,1.4093932087606558,0.800677965599487,1.4663517639521824,1.5997767440402224,1.4570514222187558,
63,0.2,0.06,1.7539617600175097,1.498413801317222,1.4011325745178504,0.7917475738058699,1.6477025238049532,1.0802091011541632,1.5098900732352567,
64,0.2,0.06,1.339243553436219,1.4881068747096793,1.332409919587741,0.7894191986280362,1.5294991811511345,1.4526866793441884,1.646376937435649,
65,0.2,0.06,1.6793300449992383,1.3721537983391803,1.418690412102589,0.7888009818188012,1.4426217689137468,1.6250465601297355,1.428712771015743,
66,0.2,0.06,1.3959179801754313,1.5898416498434538,1.5031616930935552,0.8631007946040663,1.6226434432945676,1.2616147915497256,1.5604345237213362,
67,0.2,0.06,1.7050664407776015,1.3720575198564806,1.4330601765249729,0.7827511994068255,1.4148937606156906,1.707960597047633,1.3968304813481838,
68,0.2,0.06,1.4783249736790185,1.401850659111861,1.3859688730876198,0.8344891671981753,1.6861780639863093,1.359085591913318,1.5856485115548724,
69,0.2,0.06,1.6801274426748098,1.3808755733049858,1.4241362520945806,0.7950916362990101,1.4301663086042995,1.644858871029636,1.4266684443451831,
70,0.2,0.06,1.3384621059855624,1.4372695860699054,1.425441718900248,0.8530281013109274,1.4953643199454454,1.6609878836493999,1.5763398580831411,
71,0.2,0.06,1.3745894980495694,1.249184872790415,1.1850881631780705,0.7935483967446528,1.716398238498164,1.6405278641825862,1.7499092766537374,
72,0.2,0.06,1.7432761679503481,1.2802405618164603,1.1517154751143088,0.8050874268138493,1.6392568601288484,1.787221386326459,1.4220016953717753,
73,0.2,0.06,1.4345122164882547,1.2333250618971845,1.1775280028078776,0.8383211530347443,1.794866380400902,1.7308245724450522,1.5902583254179097,
74,0.2,0.06,1.6643446556721169,1.3758684878327037,1.4247999005487844,0.7996889140580115,1.4335524491031892,1.6580642860292545,1.4435615320433768,
75,0.21200000000000002,0.06,1.4992440204729245,1.3781317999241596,1.4096996224621576,0.8746074457522628,1.5756118645112351,1.346278330807644,1.7730433086163138,
76,0.21200000000000002,0.06,1.3200771982700095,2.0719451254423498,1.195293347035872,0.8952351688359477,1.61384873211143,1.3775005215440517,1.4973704092812319,
77,0.21200000000000002,0.06,1.6600120867255956,1.3738208305816468,1.4211848424148599,0.7925995871087813,1.4426937526506851,1.6385406140009302,1.440428371511848,
78,0.21200000000000002,0.06,1.265255498574781,1.3486915801004253,1.3298836620537084,0.9128594768282599,1.655144784828991,1.9003442839632567,1.5946452691608408,
79,0.21200000000000002,0.06,1.5480205593452414,1.3407375726143724,1.4114826794595976,0.8526702122523013,1.4425498407015296,2.1843706806211216,1.253621593062385,
80,0.21200000000000002,0.06,1.5626427660795748,1.3797217202796506,1.315861064777514,0.8274823709290513,1.6889678679691225,1.433619424664538,1.5276037964300213,
81,0.21200000000000002,0.06,1.6284073160903574,1.607392885355476,1.372146007336944,0.8016601827689914,1.4306916797996831,1.5307695044646408,1.401816873935024,
82,0.21200000000000002,0.06,1.690867961718275,1.3539830375840647,1.320521811781046,0.883013346270917,1.8034653298622607,1.2900506696084795,1.5382263934666254,
83,0.21200000000000002,0.06,1.6287339592340497,1.848618552213109,1.3474248158771114,0.8081120458288876,1.3404093850065628,1.570455068426871,1.3437460154367384,
84,0.21200000000000002,0.06,1.3196306942321878,1.5906094736724272,1.5946507124201308,0.8812603829696519,1.4685248667447657,1.5122312380026166,1.492362087225517,
85,0.21200000000000002,0.06,1.7232388147289586,1.3507197468983818,1.4266240426492796,0.7686681673283667,1.4079440347664234,1.702307651796217,1.3891521615449918,
86,0.21200000000000002,0.06,1.51904462687647,1.3577247837169042,1.3193045529497167,0.8059553150795552,1.66008927817416,1.3838218570283618,1.623696428095753,
87,0.21200000000000002,0.06,1.6831750411141548,1.3639773317947477,1.414671592564512,0.7789186883758857,1.4357577385753806,1.615174252196804,1.4269695752322626,
88,0.21200000000000002,0.06,1.5459148379645111,1.2962913005667749,1.27401159519231,0.7995566797040299,1.7122040592606598,1.3539793801732867,1.7052676122271304,
89,0.21200000000000002,0.06,1.726633097785591,1.3449009344910607,1.4288102532593978,0.770306206540588,1.4114025096235978,1.6911331891737271,1.3886561736352063,
90,0.21200000000000002,0.06,1.5166482052693524,1.3721838594362952,1.3230240974522378,0.8039239126283404,1.6331480615759262,1.40352857857711,1.6161041976987454,
91,0.21200000000000002,0.06,1.686587733957075,1.3682346338041125,1.408909602946697,0.7797332018722084,1.4438248378313838,1.594936405851119,1.43076523660458,
92,0.21200000000000002,0.06,1.545963731585107,1.3018179517545159,1.2858270158739014,0.7977811690385808,1.7255701332101172,1.3363422848413173,1.6981026402775294,
93,0.21200000000000002,0.06,1.5376927075492148,1.2518496273733137,1.3275171616871047,0.9010695984435051,1.363739793414314,2.425493715005899,1.4443498779701243,
94,0.21200000000000002,0.06,1.3542029104291693,1.4600185271303403,1.3395321337264807,0.839148452910508,1.791829920538406,1.3311784329858982,1.652648549527033,
95,0.21200000000000002,0.06,1.7351529985396639,1.3116803451856467,1.4208821142259258,0.7453904643863871,1.5138556453668177,1.7772489871078647,1.3274535509895475,
96,0.21200000000000002,0.06,1.4649992132923169,1.3739096392592414,1.3265543076735498,0.8078338929344843,1.6632082677114177,1.426346513585629,1.6008475492811247,
97,0.21200000000000002,0.06,1.6796675362698248,1.3654444826441217,1.4065538897445395,0.778316277737998,1.4480148508879516,1.6002467130588478,1.4327688446833795,
98,0.21200000000000002,0.06,1.4551581764620372,1.4106173509417463,1.3862776709836948,0.8319636863385319,1.6367281156868148,1.3800093788065115,1.6319362239506647,
99,0.21200000000000002,0.06,1.7468429236422816,1.3156603780815657,1.4266632902817604,0.7534897980742886,1.4974880120243612,1.7509426779421453,1.3316113367496711,
100,0.21200000000000002,0.06,1.4672548739212885,1.3874695968327955,1.3366850333713194,0.8043882848311298,1.6399009409329275,1.4273566436731702,1.6002318449597999,
101,0.21200000000000002,0.06,1.6769746938857215,1.3672669735909337,1.412171028587143,0.7811201154198774,1.453787641158207,1.5783151102121864,1.4355290900234876,
102,0.21200000000000002,0.06,1.4540916377795952,1.376241893680785,1.3044545976662714,0.8140809882895709,1.6466972363396066,1.435481240405919,1.675348477589792,
103,0.21200000000000002,0.06,1.4400944281913617,1.1101786888401348,1.0513007544949222,0.8636449592285041,2.0320956303020954,1.9215512018319278,1.6682832193570742,
104,0.21200000000000002,0.06,1.6714681482488534,1.2538107033190986,1.3704864849896596,0.7702568743777054,1.6173033355348625,1.7468596043794027,1.4100782519239903,
105,0.21200000000000002,0.06,1.3929378661106893,1.4155873474795813,1.3669954819236527,0.815788875785727,1.6027759701980535,1.5231983481278117,1.5708863863982707,
106,0.21200000000000002,0.06,1.7025664888785454,1.382081937422554,1.4269360195196759,0.7781457970994862,1.4234022652440603,1.5683486188014775,1.4384455287211293,
107,0.21200000000000002,0.06,1.456862527469551,1.3792085865104058,1.3358579158821617,0.8144867410290453,1.6330457973910484,1.4587840227336446,1.5994903868668973,
108,0.21200000000000002,0.06,1.6852049498875559,1.3629931903849515,1.4093386581290526,0.7754708055483329,1.4399644163074943,1.598527962924356,1.4316468508115576,
109,0.21200000000000002,0.06,1.3069286319796078,1.6396737129157082,1.3986056554041335,0.8777274171104282,1.4732919146124797,1.5048213768971832,1.6835760786327425,
110,0.21200000000000002,0.06,1.5170722530274023,1.3347496632349982,1.255368276773778,0.7772550602320539,1.7308853660918948,1.2770460991960866,1.698147412928954,
111,0.21200000000000002,0.06,1.6819453588891675,1.3626979501214336,1.4052218053980445,0.7761196039820789,1.445219133710549,1.5997750278183231,1.4347005358114608,
112,0.21200000000000002,0.06,1.570123196661377,1.3884758295297197,1.4214773823559212,0.8966046182932412,1.4325525580366447,1.4463426806556805,1.774734805007123,
113,0.21200000000000002,0.06,1.450116478319699,1.3799288429878394,1.3174668100893314,0.7904929531042221,1.6539699817917626,1.342093058218045,1.6855283062640152,
114,0.21200000000000002,0.06,1.6923879740727732,1.3658737470957638,1.4168578972526016,0.7779264156734333,1.439761471604177,1.6019427560818849,1.425683125763463,
115,0.21200000000000002,0.06,1.3389902407247936,1.6262756779021867,1.5529990766360842,0.8884626722170138,1.4818758763632378,1.495410902178056,1.4922188649919221,
116,0.21200000000000002,0.06,1.6966328091225897,1.3642390681108334,1.4690829279205264,0.7703540067962565,1.4477035309402946,1.864464661977976,1.2942916157206368,
117,0.21200000000000002,0.06,1.4456294541443457,1.4130902956595375,1.3481301459569575,0.8108578858612222,1.6495866083866793,1.385056536224612,1.6122295440811256,
118,0.21200000000000002,0.06,1.6952856647324475,1.3731857613028766,1.422882855144828,0.7745281923927428,1.4398896069393725,1.5887497543660105,1.4221459453197796,
119,0.21200000000000002,0.06,1.4788835000465799,1.3783588075888198,1.3153279824548458,0.8092735254996969,1.6791171624413073,1.348755439833294,1.6693782400123403,
120,0.21200000000000002,0.06,1.7028162749302995,1.371361274679242,1.4186112729688856,0.769217301694252,1.4217110863634927,1.604288543051061,1.4195363871280609,
121,0.21200000000000002,0.06,1.4103435324246854,1.4014785190643315,1.3899524138632053,0.8155675246688503,1.5586951900505215,1.446686100875317,1.6828821905941405,
122,0.21200000000000002,0.06,1.4986141721640756,1.2812297879060808,1.2047066788193845,0.7844433021280283,1.824323409735078,1.3246297758262526,1.7464131231871522,
123,0.21200000000000002,0.06,1.6992919159388766,1.3717669549857543,1.41989697235615,0.7722563953199886,1.4200027069213472,1.620010275062491,1.4176101700195343,
124,0.21200000000000002,0.06,1.3097201674601724,1.5556959483972204,1.3956644989912481,0.8437675691864884,1.4437447083357524,1.5792909146785852,1.6616238142405086,
125,0.21200000000000002,0.06,1.5038965328717868,1.338772064700472,1.2496929692645775,0.8047108902193317,1.8023370231544467,1.288642968134091,1.7160860897155725,
126,0.21200000000000002,0.06,1.6809875905758824,1.3708386129964896,1.4172360547290623,0.7767304007084413,1.4381893564125294,1.6001045982967808,1.4296268151697928,
127,0.21200000000000002,0.06,1.705793875427557,1.3832740216046466,1.4229572378655986,0.8084225232183396,1.686608713513284,1.2476952081717454,1.4564448957461238,
128,0.21200000000000002,0.06,1.7158387412305929,1.3228435375271337,1.3198319870378745,0.8464076097264552,1.7923539761456568,1.4359089959199136,1.4536778070550003,
129,0.21200000000000002,0.06,1.6922963322928153,1.375121221991634,1.4177613079475082,0.7732709146793156,1.4672701462795898,1.5297372260642588,1.4449268942874225,
130,0.21200000000000002,0.06,1.549270748727217,1.307066553031753,1.2607753692347456,0.8732233761830589,1.7811225797733958,1.3575736142421293,1.7712482363663662,
131,0.21200000000000002,0.06,1.7247648142670786,1.3743168456328312,1.4307137046940297,0.7661500779091844,1.4080550217974863,1.610327793707849,1.406645543430073,
132,0.21200000000000002,0.06,1.5133191054462287,1.3364362807155687,1.2858145272359711,0.74066899104547,1.6034840221817963,1.3350827097060114,1.698588246985039,
133,0.21200000000000002,0.06,1.4761356862892987,1.193136042611495,1.1207061184537037,0.8506036673468588,1.8803808332166347,1.6754066995138355,1.7522230850699416,
134,0.21200000000000002,0.06,1.699090565075977,1.2826653936086876,1.3955275526023103,0.74000645927079,1.5583707809685141,1.6572339225396011,1.4585628862719466,
135,0.21200000000000002,0.06,1.518678335727068,1.3093940536871451,1.2777733411111123,0.7742187016761738,1.7054633574802376,1.3075997651218991,1.7290931174790458,
136,0.21200000000000002,0.06,1.6674857728669774,1.3770073603481352,1.4165630323039495,0.779952287527084,1.4565049305844786,1.555470510506379,1.4529040232292298,
137,0.21200000000000002,0.06,1.6233847220196207,1.3659107680164895,1.3564299263539437,0.7892261937329927,1.666625384218022,1.2653157663613488,1.5789584619772645,
138,0.21200000000000002,0.06,1.5093896417173063,1.4500927018757623,1.4644388800046735,0.8240269568128434,1.5032609403047605,1.6248884601161224,1.4302606906611253,
139,0.21200000000000002,0.06,1.6917609466636447,1.40494089452198,1.4563097644448502,0.7839649595859849,1.4239309276812953,1.5591828036291167,1.4067121131851243,
140,0.21200000000000002,0.06,1.4016908655835127,1.3627367210014536,1.3017422261068325,0.8176404784029468,1.7158082714483638,1.369744186844636,1.7050117073517148,
141,0.21200000000000002,0.06,1.7373313917425548,1.3651487879041666,1.4387726676848602,0.7568527906987741,1.3986888063152096,1.617657573889247,1.399981588612669,
142,0.21200000000000002,0.06,1.3316423743254373,1.417546232371904,1.467007249349457,0.8546169690632778,1.4909244392988283,1.529826678642786,1.720436156213103,
