Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,476.118868370843,0.0016217162805999257,2.547440065260656e-05,2.607317105632912e-05,12725.884172359536,21633.69533724811,30373.38246815492,2.476514e-12,2.4676100000000002e-12,3.8477318146694835e-11,0.273290825469378,1000000000.0,1010000000.0,0,27,
2,574.6700445369906,0.0016680624108365884,3.6921644108191535e-05,3.243530239350956e-05,12725.884172359536,27204.24989402761,35103.43098678412,2.476514e-12,2.4676100000000002e-12,3.342756476685808e-11,0.34564197101323313,1000000000.0,1010000000.0,0,27,
3,549.189911480747,0.001579491002858049,4.5270127076514166e-05,3.5768200160491873e-05,12725.884172359536,32390.588206375527,35270.91071208782,2.476514e-12,2.4676100000000002e-12,2.7695012921741178e-11,0.3799263176307357,1000000000.0,1010000000.0,0,27,
4,492.39181860680196,0.0014281184690009099,4.867363187082711e-05,3.5907731431077164e-05,12725.884172359536,38503.40155990908,31747.175731725627,2.476514e-12,2.4676100000000002e-12,2.897994660221919e-11,0.3389748114956612,1000000000.0,1010000000.0,0,27,
5,530.3549950129828,0.0013987644863890929,4.98110640572431e-05,3.533248310152778e-05,12725.884172359536,32006.972079287865,30741.629669062484,2.476514e-12,2.4676100000000002e-12,3.2322824441359787e-11,0.3494369124460861,1000000000.0,1010000000.0,0,27,
6,553.9968390934548,0.001395460429067402,6.145767577933061e-05,3.8323257017265915e-05,12725.884172359536,37392.984799090664,30683.11866867972,2.476514e-12,2.4676100000000002e-12,3.0009134370083436e-11,0.36246438760231975,1000000000.0,1010000000.0,0,27,
7,551.9513265378525,0.0013376771915272223,6.78478712792053e-05,3.829269307776335e-05,12725.884172359536,40454.122617224515,28114.807112275616,2.476514e-12,2.4676100000000002e-12,2.8728492991464016e-11,0.321822712794967,1000000000.0,1010000000.0,0,27,
8,668.5562269046375,0.001390983071198596,7.401490882338986e-05,4.026323600678214e-05,12725.884172359536,36402.59249683005,30573.64475287307,2.476514e-12,2.4676100000000002e-12,2.8834959794408714e-11,0.38361197331215674,1000000000.0,1010000000.0,0,27,
9,551.0835984170832,0.0012496029788983416,7.630296851038982e-05,3.9143135390865695e-05,12725.884172359536,42106.05189489687,25454.067177078065,2.476514e-12,2.4676100000000002e-12,2.3805767815336962e-11,0.3061935277568683,1000000000.0,1010000000.0,0,27,
10,593.2118999308785,0.0012495407991451374,7.166699816723299e-05,3.6763330127728465e-05,12725.884172359536,30376.704867940032,25482.764108051222,2.476514e-12,2.4676100000000002e-12,2.8880362897579867e-11,0.3286661120663899,1000000000.0,1010000000.0,0,27,
