Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,1.1827430431533827,0.793019935053102,0.0,0.0,0.1939526281002808,0.19577048,0.0,0.0,
2,0.9775387474963076,0.7516011933929102,0.0,0.0,0.032651914103397434,0.19328564,0.0,0.0,
3,0.7854590122797194,0.6106964922797194,0.0,0.0,0.0,0.17476251999999998,0.0,0.0,
4,0.6157310534911025,0.4481497355735698,0.0,0.0,0.025830997917532746,0.14175031999999999,0.0,0.0,
5,0.5890287543687838,0.42953897799655466,0.0,0.0,0.00958835637222902,0.14990142,0.0,0.0,
6,0.47803356986888407,0.33967982986888406,0.0,0.0,0.0,0.13835374,0.0,0.0,
7,0.4841936659274113,0.3410258991531663,0.0,0.0,0.022220446774245062,0.12094732,0.0,0.0,
8,0.5526014854629749,0.41456978546297496,0.0,0.0,0.0,0.1380317,0.0,0.0,
9,0.5402844169968888,0.3992924625040075,0.0,0.0,0.03648915449288133,0.10450279999999999,0.0,0.0,
10,0.4130235341321279,0.27827805913218573,0.0,0.0,0.007136974999942206,0.12760849999999999,0.0,0.0,
11,0.5457771257010844,0.4105706657010844,0.0,0.0,0.0,0.13520646,0.0,0.0,
12,0.48196507882446116,0.34657439590176103,0.0,0.0,0.03151706292270014,0.10387362,0.0,0.0,
13,0.37334522951763066,0.2456696696835228,0.0,0.0,0.0026300198341078366,0.12504554,0.0,0.0,
14,0.4245866183672681,0.29574403836726804,0.0,0.0,0.0,0.12884258,0.0,0.0,
15,0.5766185372042757,0.41852515973156557,0.0,0.0,0.060660037472710114,0.09743334,0.0,0.0,
16,0.36860567394667687,0.22966919860716808,0.0,0.0,0.016292955339508808,0.12264351999999999,0.0,0.0,
17,0.5814320382358756,0.4473236382358756,0.0,0.0,0.0,0.1341084,0.0,0.0,
18,0.3029802871241789,0.1892332436913383,0.0,0.0,0.006433483432840603,0.10731356,0.0,0.0,
19,0.34830817541051695,0.22818199541051692,0.0,0.0,0.0,0.12012618,0.0,0.0,
20,0.5514621045809346,0.38712892715337544,0.0,0.0,0.06915591742755917,0.09517726,0.0,0.0,
21,0.3276698192053955,0.19632349488147322,0.0,0.0,0.011519384323922329,0.11982693999999999,0.0,0.0,
22,0.31044965510250616,0.19417659510250615,0.0,0.0,0.0,0.11627306000000001,0.0,0.0,
23,0.614715480099937,0.434899388623762,0.0,0.0,0.09376291147617503,0.08605318,0.0,0.0,
24,0.3219471743923127,0.17750338305126476,0.0,0.0,0.02933883134104794,0.11510495999999999,0.0,0.0,
25,0.5758950038307599,0.44826408383075983,0.0,0.0,0.0,0.12763092,0.0,0.0,
26,0.27910278967650415,0.15944348084133064,0.0,0.0,0.0189381888351735,0.10072111999999998,0.0,0.0,
27,0.3091378129714668,0.19397155297146682,0.0,0.0,0.0,0.11516625999999999,0.0,0.0,
28,0.5729052509370179,0.3985931235234676,0.0,0.0,0.0854684274135503,0.0888437,0.0,0.0,
29,0.3077275134367867,0.16593908822365364,0.0,0.0,0.029875945213133075,0.11191248000000001,0.0,0.0,
30,0.546915581667494,0.42386822166749405,0.0,0.0,0.0,0.12304736,0.0,0.0,
31,0.2939305863956073,0.17060216066406705,0.0,0.0,0.02633440573154028,0.09699402,0.0,0.0,
32,0.3077664334134786,0.1945673934134786,0.0,0.0,0.0,0.11319904,0.0,0.0,
33,0.5388258628220068,0.37335520017386753,0.0,0.0,0.07841812264813938,0.08705254,0.0,0.0,
34,0.280289879225907,0.1521216337989133,0.0,0.0,0.017214325426993683,0.11095392,0.0,0.0,
35,0.3717696602223489,0.2571537002223489,0.0,0.0,0.0,0.11461596000000002,0.0,0.0,
36,0.6115257431239081,0.4376382408194596,0.0,0.0,0.09048956230444839,0.08339794,0.0,0.0,
37,0.345111877916208,0.20359376680262262,0.0,0.0,0.032959591113585415,0.10855852,0.0,0.0,
38,0.5548670511213142,0.42949863112131414,0.0,0.0,0.0,0.12536842,0.0,0.0,
39,0.28058776412673503,0.16105229539854282,0.0,0.0,0.021378728728192204,0.09815673999999999,0.0,0.0,
40,0.32638069837621775,0.21399601837621773,0.0,0.0,0.0,0.11238468,0.0,0.0,
41,0.5674276485071941,0.39699165587614116,0.0,0.0,0.08547083263105293,0.08496516,0.0,0.0,
42,0.29290817232456073,0.159525500494536,0.0,0.0,0.025419231830024695,0.10796344000000001,0.0,0.0,
43,0.47546958455489574,0.3589905245548958,0.0,0.0,0.0,0.11647906,0.0,0.0,
44,0.4184216698400786,0.2764413473353575,0.0,0.0,0.0534300425047211,0.08855028,0.0,0.0,
45,0.2694634497759682,0.1543582030468651,0.0,0.0,0.006856126729103095,0.10824911999999999,0.0,0.0,
46,0.23635505613218147,0.13093629613218147,0.0,0.0,0.0,0.10541876,0.0,0.0,
47,0.3764936662269782,0.2266450075482981,0.0,0.0,0.05925291867868007,0.09059574000000001,0.0,0.0,
48,0.40655673509764934,0.2931431550976493,0.0,0.0,0.0,0.11341357999999999,0.0,0.0,
49,0.5042708529073032,0.3450377228249908,0.0,0.0,0.07551579008231239,0.08371734,0.0,0.0,
50,0.2686071579411633,0.14356478001056439,0.0,0.0,0.018965597930598932,0.10607678000000001,0.0,0.0,
51,0.42205423239645745,0.3082466723964574,0.0,0.0,0.0,0.11380756000000002,0.0,0.0,
52,0.45604332244638257,0.30609931520416844,0.0,0.0,0.06701078724221408,0.08293322,0.0,0.0,
53,0.2503034212690498,0.13931514981149745,0.0,0.0,0.006405791457552349,0.10458247999999999,0.0,0.0,
54,0.20910735009490106,0.10335172695737829,0.0,0.0,0.006004303137522745,0.09975132,0.0,0.0,
55,0.19680192459957074,0.09465680942022535,0.0,0.0,0.003736655179345405,0.09840846,0.0,0.0,
56,0.1824033152575786,0.0841003491944626,0.0,0.0,0.001079746063116005,0.09722322,0.0,0.0,
57,0.17676286209566466,0.07690150369338843,0.0,0.0,0.0023283184022762525,0.09753304,0.0,0.0,
58,0.1768705152840741,0.07858403528407412,0.0,0.0,0.0,0.09828648,0.0,0.0,
59,0.37127523784487015,0.22476391347839217,0.0,0.0,0.06438226436647802,0.08212906,0.0,0.0,
60,0.3555826667092158,0.24727768670921577,0.0,0.0,0.0,0.10830498000000001,0.0,0.0,
61,0.5336693494850133,0.36947944423783124,0.0,0.0,0.08718224524718204,0.07700765999999999,0.0,0.0,
62,0.21357575447286423,0.10087054301731774,0.0,0.0,0.008252391455546496,0.10445281999999999,0.0,0.0,
63,0.3979302452304618,0.2850317052304618,0.0,0.0,0.0,0.11289854,0.0,0.0,
64,0.4078449968391908,0.26926980444459425,0.0,0.0,0.05547917239459655,0.08309602,0.0,0.0,
65,0.23933899573419648,0.13239615573419647,0.0,0.0,0.0,0.10694284,0.0,0.0,
66,0.4555976205987267,0.30389120500576894,0.0,0.0,0.06668223559295777,0.08502418,0.0,0.0,
67,0.26399958530776874,0.15469336530776873,0.0,0.0,0.0,0.10930622,0.0,0.0,
68,0.5239810724417205,0.35778873668328,0.0,0.0,0.08210125575844056,0.08409108,0.0,0.0,
69,0.23951120076929222,0.12411249872896851,0.0,0.0,0.00686696204032368,0.10853174,0.0,0.0,
70,0.1922738528128521,0.08564673929932287,0.0,0.0,0.0031731735135291927,0.10345394000000001,0.0,0.0,
71,0.18191837076446843,0.0766955201353293,0.0,0.0,0.004862090629139122,0.10036076000000001,0.0,0.0,
72,0.25578883948680464,0.14957679948680463,0.0,0.0,0.0,0.10621204000000001,0.0,0.0,
73,0.5854237362651239,0.41017203865641366,0.0,0.0,0.09932425760871032,0.07592744,0.0,0.0,
74,0.19668372808712709,0.08653025760048887,0.0,0.0,0.00475839048663822,0.10539508,0.0,0.0,
75,0.3062821371113896,0.19606769711138958,0.0,0.0,0.0,0.11021444,0.0,0.0,
76,0.570501413633908,0.400565804201604,0.0,0.0,0.09252922943230407,0.07740638,0.0,0.0,
77,0.201735756644076,0.09408273664407597,0.0,0.0,0.0,0.10765302000000002,0.0,0.0,
78,0.2857063790332264,0.15413873530497046,0.0,0.0,0.037497483728255905,0.09407016,0.0,0.0,
79,0.47838853866366043,0.35857655866366045,0.0,0.0,0.0,0.11981198,0.0,0.0,
80,0.38704165489942605,0.2605819508293301,0.0,0.0,0.03687572407009595,0.08958398,0.0,0.0,
81,0.2647901947653143,0.15334707476531428,0.0,0.0,0.0,0.11144312,0.0,0.0,
82,0.4989240730997674,0.3481847716957532,0.0,0.0,0.06073010140401417,0.0900092,0.0,0.0,
83,0.2751426670467311,0.16105536704673112,0.0,0.0,0.0,0.11408729999999999,0.0,0.0,
84,0.47287853382358647,0.31968399040455275,0.0,0.0,0.06293952341903371,0.09025501999999999,0.0,0.0,
85,0.32783419740504355,0.21273415740504356,0.0,0.0,0.0,0.11510004,0.0,0.0,
86,0.5183813775145447,0.35789050772528247,0.0,0.0,0.07162464978926218,0.08886622,0.0,0.0,
87,0.27645334472140765,0.16355682472140765,0.0,0.0,0.0,0.11289652,0.0,0.0,
88,0.4723155097671063,0.3143767082571325,0.0,0.0,0.0657953015099738,0.09214349999999999,0.0,0.0,
89,0.34399930349157337,0.2288220034915734,0.0,0.0,0.0,0.11517730000000001,0.0,0.0,
90,0.5094912475754586,0.34759139214225837,0.0,0.0,0.07213823543320028,0.08976162,0.0,0.0,
91,0.29257175393238305,0.17657467626969278,0.0,0.0,0.0044119376626902355,0.11158514000000001,0.0,0.0,
92,0.2258367308833935,0.1196355577472597,0.0,0.0,0.0024576331361338077,0.10374354000000001,0.0,0.0,
93,0.24011313266532386,0.13427029266532386,0.0,0.0,0.0,0.10584284000000001,0.0,0.0,
94,0.42086823627059233,0.2726826078188909,0.0,0.0,0.060237568451701404,0.08794806,0.0,0.0,
95,0.37099289371938526,0.25915879371938527,0.0,0.0,0.0,0.11183409999999999,0.0,0.0,
96,0.4986424460357106,0.3415284881277811,0.0,0.0,0.07278479790792952,0.08432916,0.0,0.0,
97,0.25905966316880114,0.15145570316880116,0.0,0.0,0.0,0.10760396,0.0,0.0,
98,0.40367473996372893,0.2552021692080051,0.0,0.0,0.058065370755723815,0.09040720000000001,0.0,0.0,
99,0.39457777999920035,0.28296001999920034,0.0,0.0,0.0,0.11161776000000001,0.0,0.0,
100,0.5000299962889552,0.33980028290011693,0.0,0.0,0.07531535338883823,0.08491436,0.0,0.0,
101,0.27848459321539554,0.16296437255105425,0.0,0.0,0.009443500664341305,0.10607672000000001,0.0,0.0,
102,0.22864078899382007,0.12700906899382006,0.0,0.0,0.0,0.10163172,0.0,0.0,
103,0.3889734179842349,0.23986451355804375,0.0,0.0,0.06328102442619113,0.08582788000000001,0.0,0.0,
104,0.407088378556832,0.29943511855683197,0.0,0.0,0.0,0.10765326,0.0,0.0,
105,0.37520485862943487,0.2320124531160232,0.0,0.0,0.05901080551341167,0.0841816,0.0,0.0,
106,0.3065616804650107,0.2028973804650107,0.0,0.0,0.0,0.1036643,0.0,0.0,
107,0.5810451783043674,0.4006587501032901,0.0,0.0,0.10199996820107723,0.07838646,0.0,0.0,
108,0.26473030600410435,0.13670981863239978,0.0,0.0,0.027428647371704546,0.10059184000000002,0.0,0.0,
109,0.3103210879511077,0.2070730879511077,0.0,0.0,0.0,0.10324799999999999,0.0,0.0,
110,0.5848236328054606,0.40399991113444383,0.0,0.0,0.10251068167101683,0.07831304,0.0,0.0,
111,0.25313956090854944,0.12590248555586972,0.0,0.0,0.025936455352679744,0.10130062,0.0,0.0,
112,0.36226289768362596,0.25559833768362594,0.0,0.0,0.0,0.10666455999999999,0.0,0.0,
113,0.4549208572031416,0.297022431775495,0.0,0.0,0.07543690542764665,0.08246152,0.0,0.0,
114,0.26158141999847573,0.15285145444478943,0.0,0.0,0.005092705553686253,0.10363726000000001,0.0,0.0,
115,0.2741069933082249,0.15058283966909017,0.0,0.0,0.03297001363913476,0.09055413999999999,0.0,0.0,
116,0.3942627206223245,0.2855833406223245,0.0,0.0,0.0,0.10867938,0.0,0.0,
117,0.40275437988138485,0.2597784757834643,0.0,0.0,0.057721664097920566,0.08525424,0.0,0.0,
118,0.27238590894140047,0.16777808894140045,0.0,0.0,0.0,0.10460782,0.0,0.0,
119,0.5494746298666726,0.37413403775262044,0.0,0.0,0.09321779211405215,0.0821228,0.0,0.0,
120,0.24817669725908387,0.12456861981183588,0.0,0.0,0.020968917447248003,0.10263916,0.0,0.0,
121,0.2490382498300548,0.14740006983005477,0.0,0.0,0.0,0.10163818000000001,0.0,0.0,
122,0.579005308541136,0.39597838125539414,0.0,0.0,0.10439160728574184,0.07863532,0.0,0.0,
123,0.22377596608203995,0.09964955522648467,0.0,0.0,0.02323201085555529,0.1008944,0.0,0.0,
124,0.2791517091616514,0.1759816491616514,0.0,0.0,0.0,0.10317006,0.0,0.0,
125,0.5902400927208403,0.40745484119876235,0.0,0.0,0.10482473152207798,0.07796052,0.0,0.0,
126,0.2156616309519992,0.09286211383794812,0.0,0.0,0.021697057114051076,0.10110245999999999,0.0,0.0,
127,0.42977302104406134,0.32083198104406135,0.0,0.0,0.0,0.10894104,0.0,0.0,
128,0.34313983378319374,0.2155423062517433,0.0,0.0,0.03957394753145043,0.08802358,0.0,0.0,
129,0.25145539993342375,0.14551437993342375,0.0,0.0,0.0,0.10594102000000001,0.0,0.0,
130,0.5084082664437956,0.3439872580055303,0.0,0.0,0.07951380843826522,0.0849072,0.0,0.0,
131,0.2289197722824946,0.11561036835063163,0.0,0.0,0.008614763931862985,0.10469463999999999,0.0,0.0,
132,0.18859266906464947,0.08765624906464946,0.0,0.0,0.0,0.10093642000000001,0.0,0.0,
133,0.3969656555081914,0.24474972666470715,0.0,0.0,0.06702576884348421,0.08519016,0.0,0.0,
134,0.3218154802915134,0.2164041802915134,0.0,0.0,0.0,0.1054113,0.0,0.0,
135,0.6398614369140411,0.4512538957416602,0.0,0.0,0.11007194117238085,0.0785356,0.0,0.0,
136,0.27686999517340205,0.1408058966793464,0.0,0.0,0.03602271849405566,0.10004138,0.0,0.0,
137,0.5530255831959215,0.43651484319592154,0.0,0.0,0.0,0.11651074,0.0,0.0,
138,0.20656129641876408,0.11288113641876407,0.0,0.0,0.0,0.09368016,0.0,0.0,
139,0.27908933532544555,0.17330173532544557,0.0,0.0,0.0,0.1057876,0.0,0.0,
140,0.5395843080630935,0.37480578942294446,0.0,0.0,0.08067893864014905,0.08409958000000001,0.0,0.0,
141,0.20266173994821998,0.09130652700190822,0.0,0.0,0.008006352946311779,0.10334885999999999,0.0,0.0,
142,0.28145651568385877,0.17627673568385874,0.0,0.0,0.0,0.10517978,0.0,0.0,
143,0.5868205737195743,0.410267347152845,0.0,0.0,0.09390828656672928,0.08264494,0.0,0.0,
144,0.2228886284181988,0.09924801991055195,0.0,0.0,0.02091874850764685,0.10272186000000001,0.0,0.0,
145,0.5313328944471122,0.4154196144471122,0.0,0.0,0.0,0.11591328000000001,0.0,0.0,
146,0.17377283298690996,0.07363661298690995,0.0,0.0,0.0,0.10013622000000001,0.0,0.0,
147,0.7461398347855179,0.6360379947855179,0.0,0.0,0.0,0.11010183999999999,0.0,0.0,
148,3.832711652619917,3.3484304145776003,0.0,0.0,0.3903466980423171,0.09393454,0.0,0.0,
149,2.8945966374954084,2.1132100387982113,0.0,0.0,0.722551578697197,0.05883502,0.0,0.0,
150,9.788195218016055,6.98179295081437,0.0,0.23043337324760815,2.555910093954078,0.020058799999999998,0.0,0.0,
151,16.991542209488205,11.787690853404154,0.0,0.6840873901900473,4.514398111894003,0.005365854000000001,0.0,0.0,
152,23.440084568131766,15.82079482609613,0.0,1.287755781080902,6.3301783401547365,0.0013556208,0.0,0.0,
153,29.18153885459678,19.148624885118245,0.0,2.083817457469829,7.94874292320871,0.00035358879999999995,0.0,0.0,
154,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
155,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
156,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
157,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
158,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
159,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
160,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
161,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
162,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
163,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
164,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
165,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
166,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
167,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
168,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
169,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
170,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
171,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
172,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
173,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
174,29.429985033252926,19.14744321239722,0.0,2.331770171379098,7.950418035276605,0.0003536142,0.0,0.0,
