Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0016743651068780575,-0.0018073685741183385,0.0,0.0,0.00017289823872892841,-3.9894771488598023e-05,0.0,0.0,Ibias,241.62776770720978,3.069942003297364,0.0,0.0,143.28156592921263,95.27625977470962,0.0,0.0,W1,-39891.04225450768,-27445.76513042126,0.0,0.0,-12139.020767705333,-306.2563563794207,0.0,0.0,W2,-16324.010086969105,-6771.737542763772,0.0,0.0,-10541.611006482393,989.3384622777693,0.0,0.0,Alo,-3.878415483552724,-2.1010322360291465,0.0,0.0,-1.7773832475234992,0.0,0.0,0.0,Rbias2,6.74412464960116e-06,8.08132842101291e-06,0.0,0.0,2.180995358879803e-06,-3.5181991302908284e-06,0.0,0.0,Rbias3,-5.046996821799111e-06,-6.1858351271049205e-06,0.0,0.0,-1.6539892556737025e-06,2.7928275609804777e-06,0.0,0.0,
2,Rd,-0.0016324382961589237,-7.771017400215772e-05,0.0,0.0,-0.001516187326529871,-3.8540795626912545e-05,0.0,0.0,Ibias,-23.19064250735106,271.5364025032973,0.0,0.0,-393.4311166875917,98.70407167694164,0.0,0.0,W1,-52507.642244439354,-17236.489981346283,0.0,0.0,-34940.38883847299,-330.76342462008466,0.0,0.0,W2,-33327.650738849596,-428.72941988313886,0.0,0.0,-33694.91195451922,795.9906355526589,0.0,0.0,Alo,-3.503892020519163,0.16985580161285713,0.0,0.0,-3.67374782213202,0.0,0.0,0.0,Rbias2,-4.335381002248133e-05,-1.2115526173663439e-05,0.0,0.0,-2.7901082373317595e-05,-3.3372014755008094e-06,0.0,0.0,Rbias3,-1.4541023139893664e-05,9.051125548555659e-06,0.0,0.0,-2.5957443369584396e-05,2.3652946811347974e-06,0.0,0.0,
3,Rd,0.0001997049810865798,0.0007982761331064647,0.0,0.0,-0.0005562720967079065,-4.229905531196692e-05,0.0,0.0,Ibias,321.18846514161817,433.69471130638794,0.0,0.0,-202.90454242778347,90.39829626301075,0.0,0.0,W1,-21638.5508632324,-7725.89339251615,0.0,0.0,-13809.032616178536,-103.62485453762257,0.0,0.0,W2,-10963.838422448234,2568.581427790223,0.0,0.0,-14167.71529931407,635.2954490759229,0.0,0.0,Alo,-0.9852085412432903,0.5757418266694971,0.0,0.0,-1.5609503679127956,0.0,0.0,0.0,Rbias2,-2.886135530751682e-05,-1.4685425296995481e-05,0.0,0.0,-1.136629547555903e-05,-2.809634534962144e-06,0.0,0.0,Rbias3,1.7276169720113413e-06,1.143916482030684e-05,0.0,0.0,-1.1878344593281568e-05,2.1667967449858415e-06,0.0,0.0,
4,Rd,0.000618216527069815,0.0006538435471424134,0.0,0.0,0.0,-3.562702007260846e-05,0.0,0.0,Ibias,441.71567638750287,355.1738728870941,0.0,0.0,0.0,86.54180350040704,0.0,0.0,W1,-5214.734912841708,-5155.004574655831,0.0,0.0,0.0,-59.73033818587702,0.0,0.0,W2,-223.71426695974318,-398.22682202273216,0.0,0.0,0.0,174.51255506275618,0.0,0.0,Alo,1.0425941017405125,1.0425941017405125,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.541699435388816e-05,-1.2968875798746044e-05,0.0,0.0,0.0,-2.4481185551422033e-06,0.0,0.0,Rbias3,1.3966928494511726e-05,1.1727689461397145e-05,0.0,0.0,0.0,2.239239033114503e-06,0.0,0.0,
5,Rd,-0.00048277214420214357,-0.0011794251413220222,0.0,0.0,0.0007239036529856745,-2.725065586581827e-05,0.0,0.0,Ibias,158.0208460379503,-129.8493661448103,0.0,0.0,211.07406229700334,76.7961498857497,0.0,0.0,W1,-1602.3420856256557,-5995.187099233396,0.0,0.0,4437.181133947211,-44.33612033972678,0.0,0.0,W2,1684.2375062948258,-3815.5103388072853,0.0,0.0,5378.99390640454,120.75393869762932,0.0,0.0,Alo,-0.33968716184882775,-0.6714834068967341,0.0,0.0,0.33179624504790434,0.0,0.0,0.0,Rbias2,1.1404356661136571e-05,3.1875785830960833e-06,0.0,0.0,1.0335032484033208e-05,-2.118254405993053e-06,0.0,0.0,Rbias3,6.19225780721128e-06,-3.569612427588467e-06,0.0,0.0,7.208383251105464e-06,2.5534869836938247e-06,0.0,0.0,
6,Rd,-0.0003882303070491188,2.0122762842868224e-05,0.0,0.0,-0.00038122784219490045,-2.7125227697063887e-05,0.0,0.0,Ibias,93.32290136404724,190.69257717054018,0.0,0.0,-181.54967976409426,84.18000395760994,0.0,0.0,W1,-13592.941845537163,-6797.039751265452,0.0,0.0,-6921.3360740159005,125.43397974434222,0.0,0.0,W2,-8178.922558277834,247.28182143904786,0.0,0.0,-8960.330440026828,534.1260603102511,0.0,0.0,Alo,-0.3397780354692656,0.9080147657307496,0.0,0.0,-1.24779280120001,0.0,0.0,0.0,Rbias2,-1.4768426567475693e-05,-9.296907332058113e-06,0.0,0.0,-3.135715654409846e-06,-2.3358035810072742e-06,0.0,0.0,Rbias3,2.6513744800681183e-06,1.030334166360093e-05,0.0,0.0,-1.0075586256498733e-05,2.423619072966061e-06,0.0,0.0,
7,Rd,2.77299016615261e-06,2.885978160642967e-05,0.0,0.0,0.0,-2.608679144027205e-05,0.0,0.0,Ibias,243.43797049170038,168.41327052943237,0.0,0.0,0.0,75.02469996226802,0.0,0.0,W1,-4546.9419690728555,-4636.759879203688,0.0,0.0,0.0,89.81791013083235,0.0,0.0,W2,583.6000583014305,65.63781957375816,0.0,0.0,0.0,517.9622387276723,0.0,0.0,Alo,0.9178048495391131,0.9178048495391131,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-9.510295656930359e-06,-7.394658180407536e-06,0.0,0.0,0.0,-2.115637476522749e-06,0.0,0.0,Rbias3,1.2277143966379677e-05,9.711889734894302e-06,0.0,0.0,0.0,2.565254231485373e-06,0.0,0.0,
8,Rd,-0.001081833384308308,-0.0011804131814398913,0.0,0.0,0.00012255292549236946,-2.3973128360787967e-05,0.0,0.0,Ibias,-181.3937337292304,-227.51374042828513,0.0,0.0,-18.804476240547086,64.92448293959947,0.0,0.0,W1,-5318.740082977493,-4199.900869153566,0.0,0.0,-1196.5129845796296,77.67377075565638,0.0,0.0,W2,-4797.198819378622,-2751.002437197525,0.0,0.0,-2600.2446429528222,554.0482607716896,0.0,0.0,Alo,-1.768451281533201,-1.165232344376157,0.0,0.0,-0.6032189371570646,0.0,0.0,0.0,Rbias2,6.554664965255924e-06,5.89451293221961e-06,0.0,0.0,2.729904003490587e-06,-2.06975197045429e-06,0.0,0.0,Rbias3,-8.608522335714953e-06,-8.331656643251182e-06,0.0,0.0,-3.2291889884596825e-06,2.9523232959958744e-06,0.0,0.0,
9,Rd,0.0008299471775271225,0.0008562187150480924,0.0,0.0,0.0,-2.627153752096574e-05,0.0,0.0,Ibias,522.3144345070751,449.84482500051445,0.0,0.0,0.0,72.4696095065607,0.0,0.0,W1,-1430.206102567717,-1435.4482896643929,0.0,0.0,0.0,5.242187096713353,0.0,0.0,W2,3052.299536151723,2577.076928689646,0.0,0.0,0.0,475.2226074620077,0.0,0.0,Alo,1.5829953293763912,1.5829953293763912,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.7324415591673257e-05,-1.5201654691972971e-05,0.0,0.0,0.0,-2.1227608997004386e-06,0.0,0.0,Rbias3,2.068024430246837e-05,1.8164548165429543e-05,0.0,0.0,0.0,2.5156961370388256e-06,0.0,0.0,
10,Rd,-0.0004375279189069498,-0.0013361941216302926,0.0,0.0,0.0009202455058166623,-2.1579303093322116e-05,0.0,0.0,Ibias,56.42948149372137,-319.1969981419428,0.0,0.0,319.4342320292205,56.19224760644034,0.0,0.0,W1,2795.676815171233,-2541.8778044392584,0.0,0.0,5321.958896098865,15.595723511581017,0.0,0.0,W2,6153.419510490877,-3191.2629643711575,0.0,0.0,8774.518644674465,570.1638301874452,0.0,0.0,Alo,-0.8108440105527802,-1.577192463282999,0.0,0.0,0.7663484527301961,0.0,0.0,0.0,Rbias2,1.949803207131197e-05,8.00125051007715e-06,0.0,0.0,1.3563087854144262e-05,-2.0663062929094876e-06,0.0,0.0,Rbias3,3.22981275371916e-06,-1.3188111958916877e-05,0.0,0.0,1.3036696895436366e-05,3.3812278171994533e-06,0.0,0.0,
