Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.0009788524,9.052350487101736,6.165425358084491,80.70431082424233,17.909289421504212,0.003617716,0.01218967,0.09088155,0.463848,0.170035,9999000.0,0.008076596,0.002439291,2.0,
2,0.0009664282,9.362991049553173,3.874465493699404,75.38624390188107,15.489778711550962,0.003632892,0.01381394,0.08118095,0.4371309,0.1555577,9999000.0,0.00832429,0.002662533,2.0,
3,0.0008738126,10.419776307902104,4.490634494893243,66.32104894249744,14.755997738806297,0.003356564,0.01361841,0.07478601,0.419207,0.1399244,9999000.0,0.007885064,0.002658802,3.0,
4,0.0007087516,11.638876983198227,5.025331870665909,68.46025573888019,15.387464968762991,0.002873988,0.01162538,0.07056546,0.4082212,0.1074037,9999000.0,0.006658366,0.002734082,3.0,
5,0.0007495071,11.77845766502584,3.889226540567634,81.76458029179065,15.143825345583435,0.00292953,0.0124088,0.07018233,0.4053623,0.1295982,9999000.0,0.006952956,0.002447973,3.0,
6,0.0006917687,12.45240127598337,3.2753983066670003,74.07450986054636,14.797240613903941,0.002808267,0.01205201,0.06602026,0.3927866,0.1068112,9999000.0,0.006575866,0.002675381,3.0,
7,0.0006047366,12.442305756351253,5.61208774004416,61.44764437242429,15.333306701613676,0.002576299,0.01080713,0.06339976,0.3847649,0.08484673,9999000.0,0.005860376,0.003006424,3.0,
8,0.0006901585,11.890726609027688,2.5854327767143843,69.82119593183984,14.371743296176584,0.002801048,0.01247923,0.06320704,0.3822922,0.1061508,9999000.0,0.006591332,0.002682169,3.0,
9,0.000522514,12.005306531219944,5.75180454905319,60.34570576886151,15.54733731739322,0.00232415,0.009589691,0.06066377,0.3748411,0.06979432,9999000.0,0.005163092,0.003362702,3.0,
10,0.0006380425,12.912914556508607,3.73770939739687,85.25576700596497,15.107054624999133,0.002561284,0.01168101,0.06225761,0.3780812,0.1133951,9999000.0,0.006096386,0.002349337,3.0,
11,0.0006760323,11.920720007241867,2.4928926632485826,64.68542916522361,14.336115379017834,0.002700575,0.01258111,0.06095631,0.3726711,0.1145826,9999000.0,0.006468844,0.002475203,3.0,
12,0.0005193681,12.400692030736792,5.847964504367468,60.109944961337874,15.472755943840502,0.002262454,0.009837726,0.05863172,0.3654693,0.07591927,9999000.0,0.005132431,0.002908586,3.0,
13,0.0006252277,13.157477477373579,3.1803119629500003,74.14425177054395,15.039450297511618,0.002485546,0.01174358,0.06026088,0.3693658,0.1189029,9999000.0,0.005984472,0.002231992,3.0,
14,0.0006442129,12.78191971224549,1.953490598262178,68.25504350238862,14.589773785604265,0.002573125,0.0122253,0.05939811,0.3658967,0.1148417,9999000.0,0.006194875,0.002361865,3.0,
15,0.0004871667,11.861061302013258,6.123244672713469,58.934635385245414,15.909900562090652,0.002148626,0.009349434,0.05746506,0.3602231,0.0721262,9999000.0,0.004859148,0.002905433,3.0,
16,0.0006132176,13.27748101044624,3.9096662640605615,70.38802094842339,15.244394330092632,0.002430484,0.01167461,0.05917048,0.3643816,0.1212884,9999000.0,0.005913121,0.00216675,3.0,
17,0.000670542,11.645072713230933,2.7951242809519528,65.48021880882396,14.354358683192112,0.002628775,0.01283827,0.0586775,0.3618413,0.1257812,9999000.0,0.006453689,0.002320376,3.0,
18,0.0005365678,13.580750672314963,3.878047791612275,66.33358131932107,15.096502251492609,0.002239323,0.01047686,0.05673143,0.3550368,0.09260429,9999000.0,0.005310468,0.002361883,3.0,
19,0.0006006309,13.288635034421123,1.8957095398661181,76.6335685161954,14.753591285016608,0.002376467,0.01162772,0.05771729,0.3576666,0.1216898,9999000.0,0.005825541,0.002129674,3.0,
20,0.0004758863,12.096533046349684,6.484207092089932,58.20652662418496,16.037338761413388,0.002055575,0.00932473,0.05613824,0.3529451,0.08016742,9999000.0,0.004743227,0.002447722,3.0,
21,0.0005991347,13.52757378838895,2.28711728625818,63.66848710439547,15.172790764858835,0.002357606,0.01162631,0.05758205,0.3565672,0.1266485,9999000.0,0.005795224,0.002072724,3.0,
22,0.0005813653,13.543675536731204,0.9561366757769179,74.66207134885724,14.80431338261578,0.002356323,0.01144283,0.05626204,0.3514763,0.1072729,9999000.0,0.005712534,0.002256097,3.0,
23,0.0004302659,11.738254585321785,6.1218869494322945,58.21275513047422,16.406443672142625,0.001956117,0.008504364,0.0547232,0.3465087,0.0636113,9999000.0,0.00436261,0.00301955,3.0,
24,0.0005755248,13.668724627115514,3.7818532156037463,68.32449405074445,15.440082470115719,0.002288856,0.01134251,0.05622176,0.3502409,0.1205066,9999000.0,0.005612974,0.002063457,3.0,
25,0.0006381546,11.638019371269301,2.396373416325204,63.3532580289405,14.524726363077997,0.002500976,0.01260735,0.05600826,0.3486927,0.1263239,9999000.0,0.006205282,0.00222693,3.0,
26,0.0005036056,13.80417389369002,4.094900043978484,63.79520974481525,15.284072832527603,0.002114617,0.01009881,0.05447549,0.3429646,0.09061061,9999000.0,0.005039385,0.002257335,3.0,
27,0.0005758313,13.545213352713999,1.3113478182267926,72.88483809954596,14.841414828512029,0.002274715,0.01144985,0.05546336,0.345904,0.1242726,9999000.0,0.005634267,0.002032848,3.0,
28,0.0004442185,12.010551573573993,6.832532700679593,66.7362759147735,16.282026411203255,0.001938746,0.008913468,0.05413944,0.3419704,0.07804571,9999000.0,0.004471789,0.002337842,3.0,
29,0.0005595624,13.755456838322598,3.5451093180523543,73.59576644749569,15.448139178196996,0.00222458,0.01112941,0.05540971,0.3456796,0.1238936,9999000.0,0.005464807,0.001980224,3.0,
30,0.0006152368,11.820988337493795,1.9683930492422945,61.26083373168861,14.572979912454777,0.002414787,0.01229058,0.05504968,0.3433664,0.1276879,9999000.0,0.005998769,0.002143088,3.0,
31,0.0004849701,13.720483795019497,4.64341652140223,61.63194375141305,15.395016085973104,0.002045414,0.009820409,0.05367279,0.3380975,0.09082536,9999000.0,0.004879312,0.002166639,3.0,
32,0.0005659952,13.54074454939891,0.9886948991864983,76.42177347267855,14.835347762795703,0.002234888,0.01133248,0.05484767,0.3421931,0.1281998,9999000.0,0.005571141,0.001969246,3.0,
33,0.0004352627,12.199835998695994,7.179077904296406,57.88584431688,16.17627183972209,0.001901257,0.008810136,0.05348824,0.3378003,0.08028108,9999000.0,0.004404032,0.002209594,3.0,
34,0.0005547696,13.85908774650815,2.417202709222778,65.18481313296104,15.258214881404905,0.002198606,0.01112212,0.05476901,0.3415398,0.1302209,9999000.0,0.005447853,0.001913636,3.0,
35,0.0005730798,13.071347248332383,-0.6262316717013192,63.00146444063989,14.684569079637273,0.002283915,0.01155186,0.05426925,0.3392236,0.1229529,9999000.0,0.005664236,0.002046313,3.0,
36,0.0004169897,11.717713193854053,7.268499551387777,58.09201680831646,16.357343434566726,0.001865561,0.00849352,0.05277259,0.3337473,0.07261543,9999000.0,0.004254927,0.00238377,3.0,
37,0.0005427926,13.47304674898033,5.358420625754107,59.91839752610343,15.494393866703781,0.002160695,0.01093198,0.05435727,0.3390201,0.1320896,9999000.0,0.00534838,0.00186245,3.0,
38,0.0006268421,11.778760266590144,2.262427749606232,63.38124065804459,14.491439061133931,0.002416567,0.01258509,0.05459186,0.339219,0.1475353,9999000.0,0.006109573,0.002035704,3.0,
39,0.0004907837,13.792107784510929,4.590418798648457,62.537111801059694,15.320680930922883,0.002036012,0.01000948,0.05320478,0.3339475,0.1061065,9999000.0,0.004922617,0.001932192,3.0,
40,0.0005619234,13.395029862178367,1.4245790960854379,76.15312285700921,14.790050861908114,0.002213332,0.01134826,0.05410653,0.3369802,0.1392429,9999000.0,0.00551926,0.001880342,3.0,
41,0.0004248258,12.022562580928941,7.964430722381067,57.58014555047204,16.282062489465794,0.001862111,0.008689039,0.05277083,0.3326294,0.08623974,9999000.0,0.004300593,0.001992725,3.0,
42,0.0005398172,13.80355874629098,3.2981194653164465,81.16727859267917,15.38128847745037,0.002155056,0.01089357,0.05416978,0.3374297,0.1384136,9999000.0,0.005299501,0.001811089,3.0,
43,0.0005823953,12.307571065838282,3.2247364236038436,62.03956837934453,14.657084346225629,0.002302407,0.01180743,0.05375736,0.3349804,0.1378547,9999000.0,0.00572116,0.001962654,3.0,
44,0.0004427514,12.926689894984818,7.142786308042247,58.91730572704411,15.801450637570817,0.001926157,0.009098755,0.05243566,0.3300007,0.09066887,9999000.0,0.004498456,0.00197918,3.0,
45,0.0005412456,13.842313477148512,2.213507403791624,64.14800703214576,15.102841900936546,0.002174127,0.01096782,0.05381255,0.3352255,0.1387997,9999000.0,0.005341845,0.001816969,3.0,
46,0.0005270938,14.017977779008639,1.7327435094308186,63.77608369631744,14.978071705724002,0.002162458,0.01075258,0.05322885,0.3328086,0.1228035,9999000.0,0.005258681,0.001892162,3.0,
