Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0009373221131193754,0.00030654425190055257,-0.047020182024287156,-0.05635218095841893,-0.006046181206487402,-0.0005072261061951642,-0.0008351333547175812,-0.00011388450130973984,0.0,-0.0022859999411885307,0.0,-0.0011352554962511241,0.0008531167458083917,0.0,Ibias,0.008176411479401664,-0.003648403295994026,-0.04560761443484941,-0.05794217460461836,-0.005343877405270788,0.008907277409282533,0.0040501506603542155,0.0030371401015936448,0.0018083510115383238,-0.00471549975005141,0.0,0.005855932375471113,0.010912187188818371,0.0,W1,-0.0004304019686728228,0.0036379163532313376,-0.05325530291521794,-0.0541072354014946,-0.007454947903966313,-0.0002180934047891464,0.003866388507646321,-0.003839503177487685,-0.0019543039961366156,-0.00032169847384356674,0.0,0.0012355452717952263,0.0013192357943352026,0.0,W2,0.0010601189719716458,9.261408556888542e-05,-0.04639399501516094,-0.05581587236388877,-0.0073581914595387135,0.0005738427228671795,0.0009442421328880137,0.00012884903481507644,0.0,0.002587702531831658,0.0,0.002999283361455714,-0.0009564254531337983,0.0,Alo,0.0,-0.00038459651142285666,-0.04099821463891305,-0.04900829823673813,-0.00840905703666213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0036877878626032567,0.0021715652950988645,-0.04797160859646229,-0.054267332803889755,-0.005055506403166269,-0.0020394082896501987,-0.0032929521471868617,-0.00044717547180927753,-4.3117572999290964e-07,-0.008982856470726523,0.0,-0.002430727004297396,0.003400168327600043,0.0,Rbias3,0.003669705463254721,-0.0022776954320755183,-0.044951708375122475,-0.05249783099530986,-0.006603405669572678,0.0019246950285760466,0.003263418944073111,0.0004466253051361154,4.3117572999290964e-07,0.00896874172964389,0.0,0.0024023734751619907,-0.003270622488255835,0.0,
2,Rd,-0.0012576205868165648,-0.0036746701337522537,0.24438388866837343,0.0902048969426785,-0.003095650201427021,-0.0006691638507282319,-0.001137257002708885,-0.00015015838075306166,-2.2876442732114241e-07,-0.0030091728021177937,0.0,-0.0015781526112136736,0.0009618660125526643,0.0,Ibias,0.007801407285093643,-0.005794861721110996,0.23918665064147707,0.08648588952944689,-0.0032775559275038963,0.008742071055236469,0.004507765344282637,0.002773803460048096,0.0016514504007838328,-0.005412782523783662,0.0,0.005648289523791142,0.010953103679841722,0.0,W1,-0.00019794538280244086,0.0022849484054824724,0.23360366506831642,0.031586980613719666,-0.004937309278854468,-0.00010542564986794745,0.0032351378390234795,-0.0035696798325222617,-0.0018088403267762071,0.00013692668379644256,0.0,-0.00014307526527780091,0.0010801744053501611,0.0,W2,0.001066090579724338,-0.0006673565762142315,0.2563982354240816,0.04098273340109854,-0.004450039008133691,0.0005673166171743659,0.0009635194593286938,0.0001274929647902902,0.0,0.002552750522796437,0.0,0.002713504695295391,-0.0008059993998195498,0.0,Alo,0.0,-0.0015940462191377073,0.26650570878300506,0.046229376844305003,-0.005224703062577079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003954458282570822,0.003200147080125183,0.2364254653115819,0.010103105712703403,-0.0029943443503412976,-0.002142095058152022,-0.003580441206491373,-0.0004717855605287324,-4.5752885464228483e-07,-0.009451798271637984,0.0,-0.002619803010226686,0.0030666286577481225,0.0,Rbias3,0.003935212155439956,-0.003216551719617809,0.247247568368644,0.06928908477315517,-0.004037862555356185,0.0020443767664989642,0.0035500371363999116,0.00047129283409467733,4.5752885464228483e-07,0.009433798519777617,0.0,0.0025817216843719067,-0.002932170230378315,0.0,
3,Rd,-0.0011195764400742186,-0.0025846352347200607,-0.011185410124636613,-0.0025172754847200764,0.0010198877723649334,-0.0005827387769159195,-0.001040503259925286,-0.00012422109429283812,0.0,-0.0026828773251841563,0.0,-0.0011703138997984054,0.0009019099579433933,0.0,Ibias,0.007821585543628048,-0.0040379509125112656,-0.008466138481922094,-0.0008818808533869996,0.0005366953142779162,0.008778024193788743,0.005042438875022971,0.0025896554716584945,0.0015615197265312964,-0.005224964337885403,0.0,0.006246747014355147,0.011172701088685807,0.0,W1,-0.00015472425094341393,0.0016797460805206873,-0.02588361750646754,-0.011177272238668374,-0.00044706568966185574,-8.043940172143226e-05,0.002691944213751889,-0.003324418564381292,-0.0017234922126777817,0.00010291271572361752,0.0,-0.0001216223482777095,0.0008594096138034626,0.0,W2,0.0003571704047298788,0.00010252516171040638,-0.015344703252843312,-0.011416432064418329,-0.00024421183655096726,0.00018590439508982522,0.00033190365101365817,3.971331001620374e-05,2.38545634979558e-07,0.0008561766210896973,0.0,0.002377533016853067,-0.0002854669132940008,0.0,Alo,0.0,-0.0028511332164400664,-0.001268224660106947,-0.0021846458457597685,-0.0010665443516104068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004537357323526706,0.003023597890327805,0.029316803396208877,0.017940687860529988,0.0015318751199339732,-0.0024039464166331617,-0.004222959949068831,-0.0005029015453557889,-4.77091269959116e-07,-0.010856576837206344,0.0,-0.003510307589133194,0.0037208487130670005,0.0,Rbias3,0.004519275643313055,-0.002977364453148092,-0.007802541636668344,-0.0009308543423758479,6.015767274067487e-06,0.0023077170582775468,0.004189916443990241,0.000503168975052912,7.15636904938674e-07,0.010853003479021591,0.0,0.003481392161179607,-0.003534674639179552,0.0,
4,Rd,-0.0009465939829977304,0.003742237917913923,0.15438677170807544,-0.013468874948835384,0.0034746877108735833,-0.0004669469740305445,-0.0009599686203805504,-8.247661107841885e-05,-2.449652296423497e-07,-0.0023220801518012016,0.0,-0.0008864036611984788,0.0014798385710449566,0.0,Ibias,0.007737125390616474,0.0011949624408383339,0.15303888069268734,-0.01306361663606411,0.0029384837005835126,0.008785005365366817,0.005079403856046122,0.0024799668279638296,0.0015124153277683524,-0.005458843596635851,0.0,0.0065720328380867,0.013789271865291455,0.0,W1,-0.00015223951522639478,0.001880384574169402,0.16254517771489443,-0.025574171635622044,0.002105353820428108,-7.515689000786764e-05,0.0023947604293366063,-0.0031484241723924674,-0.0016821762319056055,0.00010707266137011688,0.0,-0.00012931100513242596,-0.00021360003101592706,0.0,W2,0.00030588996201206105,0.0008828578610902816,0.1674572590271541,-0.02428264028529174,0.0018828390734211583,0.0001510096771455244,0.00030966729689706245,2.6783641742070245e-05,0.0,0.0007513707628320916,0.0,0.001962493500657712,-0.0004754795210970577,0.0,Alo,0.0,0.001466739198316977,0.1581390296998337,-0.011491473919282647,0.00109638497811433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.005753778897994609,-0.0007908792555709519,0.17113939516739046,-0.034771590183998016,0.0038791370769186415,-0.0028914525739147444,-0.005848410976673337,-0.0004995361753469836,-7.34895688927049e-07,-0.01406003703783017,0.0,-0.00485104002994126,0.009186264347594527,0.0,Rbias3,0.005718928888485132,0.0007302580386174433,0.16020705486991374,-0.016400425794154096,0.0022308334440959256,0.002776281598948907,0.005780456208743276,0.0005015201488094903,7.34895688927049e-07,0.014101003969137021,0.0,0.004810940101520386,-0.008685182083053935,0.0,
5,Rd,-0.0009596973797847133,-6.795589089859411e-05,-0.0040946880086617475,0.006606881566829956,-0.00200265869817086,-0.0004912050738515101,-0.000908226419959947,-9.917026123242558e-05,0.0,-0.0023048159619499737,0.0,-0.0009298203526672353,0.0008067899441701277,0.0,Ibias,0.007855028991720053,-0.001698443966625106,-0.004958680024933642,0.0008103402165208195,-0.0025153345219019103,0.008793902093509854,0.005475952549803418,0.002416705173510207,0.001502359740903312,-0.004966118356582068,0.0,0.006557067238739927,0.01124522206740033,0.0,W1,0.0004168072590640724,0.0021558496371848605,-0.015431407058084254,-0.021344189277047537,-0.003414848362389423,0.0002130034510654782,0.003067178131648606,-0.0011916104808717693,-0.0009951591452880503,-0.0002646641697183072,0.0,0.0003490601695164126,-0.00015563897150819024,0.0,W2,0.001258960722320018,-5.563385945209382e-05,-0.008582306563416128,-0.02158418246351711,-0.003135839690088778,0.0006441306284625506,0.0011910901940558874,0.00013023221087137888,2.4669289670715696e-07,0.0030262765995207434,0.0,0.0024769321134780514,-0.0010457631681395079,0.0,Alo,0.0,-0.0020203868274784684,0.0035986259637895866,0.02144364910991307,-0.004318838079616527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004987411059881912,0.0018947675187843903,-0.03668771360777189,-0.04234172352987435,-0.0009941156984013184,-0.002606902813761937,-0.004728096189800667,-0.0005140895151245018,-7.400786901214708e-07,-0.011956956192292674,0.0,-0.004106167218662046,0.004283952478234031,0.0,Rbias3,0.0049703331696257305,-0.002016869628334849,-0.0017291661560084113,0.007087995980798207,-0.003067982504364189,0.0024905018893815567,0.004694249242473165,0.0005149444311695543,7.400786901214708e-07,0.01196544396449963,0.0,0.004081573362466302,-0.004047838762927445,0.0,
6,Rd,-0.0010445687987906533,-9.629605225857788e-05,-0.012538783386152075,0.001849475939619915,-0.0009496269989200551,-0.0005145522131621003,-0.0010429795527882853,-8.891210061867616e-05,-2.5459116986902193e-07,-0.0025605928966250355,0.0,-0.000984661183789285,0.001398305512373682,0.0,Ibias,0.007567124676210463,-0.001415474310205418,-0.014781410830933893,-0.0028355632643868455,-0.0017139271523207167,0.008697178722678394,0.005444734944627544,0.0022240142647120837,0.0014562614916089729,-0.0055696406369369076,0.0,0.006480059052298212,0.01303104118628337,0.0,W1,0.00039897728821788105,0.001716322492788872,-0.04198648929023973,-0.011583642644544706,-0.0022115008752734175,0.0001965625063428861,0.002635245075302831,-0.001411990804034869,-0.001066737001720534,-0.0002939766616235083,0.0,0.00034200818568994176,-8.858551361475384e-05,0.0,W2,0.001434728110711093,-1.515042143574974e-05,-0.04125152350425693,-0.011807978785562898,-0.0021397993781646853,0.0007068416215409435,0.0014312965223228244,0.00012238667342430226,2.5459116986902193e-07,0.003523038782449874,0.0,0.0024866686760345678,-0.0018984211968315096,0.0,Alo,0.0,-0.0020036591659328153,-0.0035028498236113685,0.013766664781727393,-0.003464216300964169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.005717951679513677,0.0016653916871504058,-0.012992520582251615,-0.01680651043543793,5.170231179924067e-05,-0.0028736583807736985,-0.005720207666604987,-0.0004850026340398193,-1.0183646794760877e-06,-0.013973253741180643,0.0,-0.004861565001476573,0.007825053702631401,0.0,Rbias3,0.0056890402818167455,-0.0017947807332206586,-0.009688781343431294,0.002338293099812497,-0.00222932564191054,0.002756148186764294,0.0056654450170552815,0.0004868202579026491,7.637735096070658e-07,0.014008830534625639,0.0,0.00482658861965865,-0.007377640792096545,0.0,
7,Rd,-0.0010940300289415045,0.003927310384326886,-0.007064326751426671,0.002930356385819703,0.000661728592986625,-0.0005123628895560649,-0.0011677475888602843,-7.00318108458841e-05,-2.5989896688309034e-07,-0.0026206077712128233,0.0,-0.0009978881901091792,0.002292424488362141,0.0,Ibias,0.007180646913052692,0.0018345068869647168,-0.010403694761676706,0.0035196290137645796,-0.00024607528684221784,0.008565387790780397,0.005054996099797074,0.002099850220253124,0.0014323032064514488,-0.006120683731712345,0.0,0.006274000166542282,0.015999739225072696,0.0,W1,0.0004357268933283924,0.0017176539007468434,-0.00016450288913592005,-0.000884645304981238,-0.0007941619561400259,0.00020416884841387788,0.0024493089284574774,-0.0014391221670240757,-0.001088716772241958,-0.00036689687392773223,0.0,0.00037250169613694064,-0.00010743660907443193,0.0,W2,0.0017541521383027598,0.0006349905759831504,0.002433195723575896,0.0005858898600066726,-0.0009740596595763512,0.0008244384677398143,0.0018709870243070652,0.00011277645215056707,2.5989896688309034e-07,0.004214540737162232,0.0,0.0026984616686711363,-0.0036402051074632667,0.0,Alo,0.0,0.0022604224738177144,-0.0020991307942029754,0.0034423798795675227,-0.0018990967689776254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0069228487245522295,-0.0014373783702054546,0.0024313227345453808,-0.002483311801193696,0.001080352791210112,-0.0033171615561704343,-0.007403445688170694,-0.00044006475734288854,-1.0395958675323614e-06,-0.016481601589124165,0.0,-0.006091418025055015,0.014794320428522292,0.0,Rbias3,0.006862822590860274,0.0014119745409596589,-0.0008208326427617842,0.002505086013518616,-0.000888145270681312,0.003177426222655006,0.007304436978180106,0.00044337707272074626,1.0395958673880884e-06,0.016575535674739603,0.0,0.006034595732424122,-0.013994699350457558,0.0,
8,Rd,-0.001272461325912837,-0.0036105679599707156,0.12005254116487221,-0.05851655692031764,-0.002255251862388498,-0.0006272652235876716,-0.0012628984320345363,-0.00010457695851607846,-2.615800165498421e-07,-0.0031163213089303713,0.0,-0.0012235766609844274,0.0015472552251554895,0.0,Ibias,0.007302960117132444,-0.003946730234510741,0.09849519788058611,-0.03934977493243857,-0.003407352006625421,0.008564651516146889,0.005505948684333997,0.0020288879213452775,0.001424564770089347,-0.005973577212795368,0.0,0.006239406541803665,0.012782937987874787,0.0,W1,2.8109484995116165e-05,0.0006701308787105907,0.240498415818023,-0.029650751733779936,-0.0035114507025489155,1.3566350880080527e-05,0.0017501079794186342,-0.0026584064053624336,-0.0016081939417022539,-2.2609344442054367e-05,0.0,2.3667446883314003e-05,0.00042391064843416395,0.0,W2,0.0013862033141662441,-0.0006544687721733854,0.11445102533158523,-0.030973966984087917,-0.0036929491276936123,0.0006829586640429183,0.001374283509479391,0.00011438599244636295,2.6158001640463605e-07,0.0034008222264928782,0.0,0.0024072524339541898,-0.0016639518240646617,0.0,Alo,0.0,-0.0038302282653502754,0.12052609818354794,-0.058121095720698485,-0.004694171319037745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0055982792358567224,0.0034904068053920323,0.17046160302454075,-0.016702889038009736,-0.0020427903192112387,-0.002816088835321696,-0.0055652472147719595,-0.0004591260720325551,-1.0463200661993685e-06,-0.013673001051334567,0.0,-0.0047359168071035886,0.00695556469409651,0.0,Rbias3,0.005572198270397242,-0.003502875355939067,0.106202199869273,-0.0394191554669344,-0.0037492576352859196,0.002697561769737663,0.005517167325227639,0.0004607081742792194,1.0463200660541625e-06,0.013702204787905483,0.0,0.004701932780809653,-0.006551041340049818,0.0,
9,Rd,-0.0011379599398293947,0.00460018240361176,0.033049726815628074,-0.023915747388616366,0.004892788338154084,-0.0005111546156659669,-0.001259686052449384,-5.3573986582045785e-05,-2.66779710130174e-07,-0.002554935702504295,0.0,-0.0010487901435806168,0.002782583767458491,0.0,Ibias,0.006719245800112651,0.0024918325827186197,0.028087085284843993,-0.021953160121962037,0.003851135018398881,0.008398339177763897,0.004670327750915123,0.001931960377668547,0.0014067294114759783,-0.006420006671030013,0.0,0.005964449209892081,0.01789364624043401,0.0,W1,0.00011387254695570888,0.0012116693245087715,0.0396888375960144,-0.023743730002774636,0.003917853460428175,5.0771249704152645e-05,0.001785250431948295,-0.002466876028311481,-0.0015942755476920114,-0.00010502287292166059,0.0,9.548541842753291e-05,-0.0008704309808004964,0.0,W2,0.0021356365571067607,0.0007803801466296867,0.04143822066821936,-0.023760574460973186,0.0033137073341226887,0.0009607813609276176,0.002362641298869857,0.00010088393780997042,2.66779710130174e-07,0.004813715500057755,0.0,0.002924216729045279,-0.005184818636917606,0.0,Alo,0.0,0.0030169541466620116,0.04039168206720182,-0.022690186817394934,0.002263901510356694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.008325518550698987,-0.002104700960728891,0.03576148359801164,-0.02380770917764655,0.0055098317099232744,-0.0038220424671384784,-0.009227096055545404,-0.00038787566285446444,-1.0671188403726035e-06,-0.018528441856013565,0.0,-0.007395762074353987,0.020665524331326412,0.0,Rbias3,0.008235760190157553,0.0020971419192929064,0.04190097793130459,-0.022795021648974404,0.003201547812683085,0.0036559602435299377,0.009101231728947409,0.0003921615817810647,1.067118840520696e-06,0.018701378564903188,0.0,0.0073043439861230405,-0.019730859291129527,0.0,
10,Rd,-0.0009985228256738081,0.0019037123131291386,-0.08538703204867516,-0.06618562362047496,-0.00165182443813331,-0.0004974067694171725,-0.0009716625531525312,-8.545140104151382e-05,-2.644934474469388e-07,-0.002416330158886905,0.0,-0.0009454781898651511,0.0009168544146709779,0.0,Ibias,0.007554982622630979,0.000382385358928621,-0.08245272078223127,-0.05693015231171955,-0.002599483930576888,0.008642540225917882,0.005916440444790216,0.001973413370670709,0.0014150399438004526,-0.005190700480003058,0.0,0.006498932318262103,0.011516866247796735,0.0,W1,0.0004162732106404202,0.001425511118261323,-0.057361172684447,0.014250356345302565,-0.00281974760274635,0.00020731789211965386,0.0022326836463627295,-0.001412518084134529,-0.0010934159117142249,-0.0002866085042475799,0.0,0.0003582450323848524,0.00015876819715525135,0.0,W2,0.0013795319277321594,0.0003147920020036304,-0.058449397446916046,0.005297492404432567,-0.003082992399345209,0.0006875457778207583,0.0013414935865990081,0.00011837910257074756,2.644934474469388e-07,0.0033405323510451385,0.0,0.002410772546226592,-0.0012505655850991461,0.0,Alo,0.0,0.00022229816904998766,-0.0816100327821773,-0.0573591367646352,-0.004146420324141748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.005535681400533652,0.0001351408153113753,-0.026214182729691178,0.016213559351059906,-0.0009911440476210978,-0.002832954096461068,-0.005393369237762878,-0.0004727132956115238,-1.0579737897877552e-06,-0.013363011276501342,0.0,-0.004728047075759203,0.005211257473917062,0.0,Rbias3,0.005517970981556938,-0.0002527322391913204,-0.07757259841255171,-0.04786800726335006,-0.0030524852738251767,0.0026861527265230668,0.005358269533199571,0.0004741589020202526,7.934803423408165e-07,0.013387703701482644,0.0,0.004703442334524132,-0.0048911671675880295,0.0,
