Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,104.4485763406312,0.006470774328481179,9.710124799807538e-05,8.025493876150018e-05,3531.5463401108104,6171.757978597067,7864.711216657142,8.924088e-12,9.072181999999999e-12,1.2830130735354084e-10,0.22284902897555092,1000000000.0,1010000000.0,0,27,
2,97.66107537687573,0.006090987155061592,9.255862649585231e-05,7.62272962722686e-05,3531.5463401108104,5639.295041225355,7330.890235669467,8.924088e-12,9.072181999999999e-12,1.5237636420515094e-10,0.2147650065522554,1000000000.0,1010000000.0,0,27,
3,96.73581537017485,0.00590796386296287,9.265480061235161e-05,7.57558377802487e-05,3531.5463401108104,5397.866814460171,7152.4681197306545,8.924088e-12,9.072181999999999e-12,1.629666092429494e-10,0.21718105153105566,1000000000.0,1010000000.0,0,27,
4,98.84670779330848,0.005849946991441063,9.589016583515243e-05,7.739249114019983e-05,3531.5463401108104,5330.811260382036,7177.80532794268,8.924088e-12,9.072181999999999e-12,1.6452535442314087e-10,0.22712836833232736,1000000000.0,1010000000.0,0,27,
5,102.92513652225593,0.005858032281795445,0.00010068125501689697,8.006191902296818e-05,3531.5463401108104,5338.647792852888,7301.264721256842,8.924088e-12,9.072181999999999e-12,1.6101188056226743e-10,0.23962634791009255,1000000000.0,1010000000.0,0,27,
6,108.1054117328561,0.005895928485364815,0.00010636613862892508,8.333674271652297e-05,3531.5463401108104,5389.786116390929,7481.28850623008,8.924088e-12,9.072181999999999e-12,1.5463175320392273e-10,0.25410735522642064,1000000000.0,1010000000.0,0,27,
7,113.77767459394188,0.005944836276003175,0.00011254744493288529,8.677622171166381e-05,3531.5463401108104,5457.660532437215,7677.138265987621,8.924088e-12,9.072181999999999e-12,1.4722199429311635e-10,0.2690056715996853,1000000000.0,1010000000.0,0,27,
8,119.45175297770425,0.005990568415205549,0.00011884341578777304,9.017696407142966e-05,3531.5463401108104,5526.789295976998,7859.6270430810055,8.924088e-12,9.072181999999999e-12,1.398824010596975e-10,0.28368060807850415,1000000000.0,1010000000.0,0,27,
9,124.01431523593816,0.006016153850015541,0.000124948509725401,9.319237612228565e-05,3531.5463401108104,5597.101265611974,8003.773636834392,8.924088e-12,9.072181999999999e-12,1.3323784634755566e-10,0.29623912551669535,1000000000.0,1010000000.0,0,27,
10,126.18349655145735,0.006011273726372516,0.0001305928250300896,9.561338654883654e-05,3531.5463401108104,5673.58653313999,8077.253484561504,8.924088e-12,9.072181999999999e-12,1.283359447569435e-10,0.3045955917731426,1000000000.0,1010000000.0,0,27,
11,126.92318023864466,0.005981200935887365,0.0001350288344135819,9.716159820424364e-05,3531.5463401108104,5745.729524125135,8075.032428097446,8.924088e-12,9.072181999999999e-12,1.2612976137255183e-10,0.310524322120253,1000000000.0,1010000000.0,0,27,
