Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0051289357764747225,-0.005525621386876548,0.0,0.0,0.0009995011971611334,-0.0006028155867594712,0.0,0.0,Ibias,139.78123565310847,-4.487338864072385,0.0,0.0,51.770522999057164,92.49805151812028,0.0,0.0,W1,-7472.3494342418,-4054.8656586705156,0.0,0.0,-3315.488965047642,-101.99481052376059,0.0,0.0,W2,-5773.593199751732,-1866.6745153664253,0.0,0.0,-4963.591027492857,1056.6723431075511,0.0,0.0,Alo,-4.218439993765642,-1.628259684211782,0.0,0.0,-2.590180309553913,0.0,0.0,0.0,Rbias2,-1.8488934606834144e-05,2.2952987645059655e-05,0.0,0.0,8.837388408231373e-06,-5.027931066012517e-05,0.0,0.0,Rbias3,1.5885139306493954e-05,-1.775688632075088e-05,0.0,0.0,-6.465456940460984e-06,4.0107482567705814e-05,0.0,0.0,
2,Rd,0.00980168184770674,-0.0052912360711561005,0.0,0.0,0.01569053257467604,-0.0005976146558132019,0.0,0.0,Ibias,371.7066600798389,-5.806224267371758,0.0,0.0,283.8733955872579,93.63948875995447,0.0,0.0,W1,8802.871764122037,-3817.7944913932606,0.0,0.0,12686.37086932365,-65.70461380806537,0.0,0.0,W2,13707.847179718556,-1691.2017735218985,0.0,0.0,14392.506536703788,1006.542416536804,0.0,0.0,Alo,3.097846651124684,-1.444922222242786,0.0,0.0,4.54276887336737,0.0,0.0,0.0,Rbias2,0.00022692631769682077,2.0662370296254112e-05,0.0,0.0,0.000256191375058718,-4.9927427658145935e-05,0.0,0.0,Rbias3,0.0002119977116608744,-1.5594193368778885e-05,0.0,0.0,0.00018830247767655004,3.928942735310536e-05,0.0,0.0,
3,Rd,0.0010625467521259905,-0.006157592405269101,0.0,0.0,0.007751978478225169,-0.0005318393208304182,0.0,0.0,Ibias,240.70888194074672,-13.526660328806306,0.0,0.0,157.43021581109656,96.80532645845646,0.0,0.0,W1,-295.41704577349145,-4013.6228874968037,0.0,0.0,3796.6426149864583,-78.43677326320585,0.0,0.0,W2,2685.182321765882,-1826.7999841152605,0.0,0.0,3512.0780231976237,999.9042826830821,0.0,0.0,Alo,-1.0322219716221255,-1.542029681294488,0.0,0.0,0.5098077096723626,0.0,0.0,0.0,Rbias2,9.676931578884826e-05,2.5440368974244347e-05,0.0,0.0,0.00012268997649697022,-5.136102968236729e-05,0.0,0.0,Rbias3,0.00010408302992296165,-1.882391684383722e-05,0.0,0.0,8.358020871290381e-05,3.932673805389052e-05,0.0,0.0,
4,Rd,-0.004807110212241934,-0.00633053173815291,0.0,0.0,0.0020289219945106053,-0.0005055004685996868,0.0,0.0,Ibias,146.23040335392744,-17.092417031534705,0.0,0.0,64.85573197841627,98.46708840704589,0.0,0.0,W1,-6163.369924556865,-3959.330259875714,0.0,0.0,-2139.499026090376,-64.540638590595,0.0,0.0,W2,-4500.734277575993,-1789.3154592343926,0.0,0.0,-3682.697100728401,971.2782823870946,0.0,0.0,Alo,-3.4832706284056605,-1.4869166090797283,0.0,0.0,-1.9963540193257023,0.0,0.0,0.0,Rbias2,-1.2747788699350212e-06,2.6196204188519626e-05,0.0,0.0,2.4360603310173887e-05,-5.183158636861928e-05,0.0,0.0,Rbias3,2.8140082795113804e-05,-1.9122970519547337e-05,0.0,0.0,8.311464109888029e-06,3.895158920477622e-05,0.0,0.0,
5,Rd,-0.007683260152159754,-0.006123578357564147,0.0,0.0,-0.0010572877229201923,-0.0005023940716754716,0.0,0.0,Ibias,90.024444748944,-18.749731483033067,0.0,0.0,9.593790350039754,99.18038588193637,0.0,0.0,W1,-8827.580137166407,-3745.114211532413,0.0,0.0,-5031.574366968881,-50.89155866511328,0.0,0.0,W2,-7883.618150759884,-1655.4171645270098,0.0,0.0,-7162.658566477728,934.4575802448534,0.0,0.0,Alo,-4.396069789231836,-1.3494800590400604,0.0,0.0,-3.0465897301918003,0.0,0.0,0.0,Rbias2,-5.7721713220458365e-05,2.4926937761698977e-05,0.0,0.0,-3.087041564087354e-05,-5.1778235341278594e-05,0.0,0.0,Rbias3,-1.2687925579453712e-05,-1.779193315652054e-05,0.0,0.0,-3.319460703286458e-05,3.829861460993141e-05,0.0,0.0,
6,Rd,-0.00877920216723337,-0.005668320907132142,0.0,0.0,-0.002599830201270436,-0.0005110510588306835,0.0,0.0,Ibias,58.55987105224245,-17.912568642755268,0.0,0.0,-22.868084905469377,99.34052460046236,0.0,0.0,W1,-9745.779590885242,-3472.721071769989,0.0,0.0,-6235.315644343342,-37.742874772076576,0.0,0.0,W2,-9230.623800239568,-1505.7631953480222,0.0,0.0,-8621.916294743667,897.0556898517069,0.0,0.0,Alo,-4.569458050162624,-1.1921139001034626,0.0,0.0,-3.377344150059278,0.0,0.0,0.0,Rbias2,-8.975136741584406e-05,2.1891902038626232e-05,0.0,0.0,-6.010587446685845e-05,-5.153739498761081e-05,0.0,0.0,Rbias3,-3.263907483492004e-05,-1.5376708222746768e-05,0.0,0.0,-5.4801068530769193e-05,3.753870191859288e-05,0.0,0.0,
7,Rd,-0.008535414449320225,-0.0050043126072073394,0.0,0.0,-0.0030055037329227248,-0.0005255981091900579,0.0,0.0,Ibias,48.10757001826337,-14.278850648423541,0.0,0.0,-36.773533774964264,99.15995444165023,0.0,0.0,W1,-9454.825361771353,-3186.8495759141815,0.0,0.0,-6242.967827175249,-25.007958682025684,0.0,0.0,W2,-9064.721419772151,-1319.312413980211,0.0,0.0,-8604.573855126135,859.1648493337266,0.0,0.0,Alo,-4.231165759799782,-1.0040443603940694,0.0,0.0,-3.22712139940569,0.0,0.0,0.0,Rbias2,-0.00010183663601150002,1.702173878640733e-05,0.0,0.0,-6.772833103569846e-05,-5.113004376220581e-05,0.0,0.0,Rbias3,-3.5674742189994404e-05,-1.1430246368923845e-05,0.0,0.0,-6.0941382964427346e-05,3.669688714335456e-05,0.0,0.0,
8,Rd,-0.007467183590537053,-0.004026241490909446,0.0,0.0,-0.0029002384842694118,-0.0005407036153581956,0.0,0.0,Ibias,52.88240405225016,-5.3664865575784875,0.0,0.0,-40.66047757134292,98.90936818117437,0.0,0.0,W1,-8440.478952579873,-2896.1051940843663,0.0,0.0,-5660.9468180421445,116.57305954678549,0.0,0.0,W2,-7974.724771717863,-1105.0479819219709,0.0,0.0,-7865.802206355869,996.1254165595933,0.0,0.0,Alo,-3.646493817414437,-0.7447523014280483,0.0,0.0,-2.9017415159863065,0.0,0.0,0.0,Rbias2,-0.00010458277110793659,7.779245581835256e-06,0.0,0.0,-6.16809605199997e-05,-5.068105616977113e-05,0.0,0.0,Rbias3,-2.80651486657484e-05,-4.620853374579403e-06,0.0,0.0,-5.934569376162316e-05,3.590139847045488e-05,0.0,0.0,
9,Rd,-0.005684233132887097,-0.002399182679661374,0.0,0.0,-0.0027263311516140037,-0.0005587193016117187,0.0,0.0,Ibias,71.38776630203434,14.526898760486443,0.0,0.0,-41.19994393486412,98.0608114764097,0.0,0.0,W1,-7417.072275373778,-2594.981659705996,0.0,0.0,-4819.397996999303,-2.6926186686652107,0.0,0.0,W2,-6737.152290705108,-730.6352731893932,0.0,0.0,-6804.725304313021,798.208286796937,0.0,0.0,Alo,-2.866871495233758,-0.2943077553097919,0.0,0.0,-2.5725637399240835,0.0,0.0,0.0,Rbias2,-0.00010582914114899029,-1.0605676834033538e-05,0.0,0.0,-4.501348069897491e-05,-5.020998361598334e-05,0.0,0.0,Rbias3,-1.1484113527982719e-05,8.661425262915085e-06,0.0,0.0,-5.532023581973197e-05,3.517469702883347e-05,0.0,0.0,
10,Rd,-0.003386865170990465,-0.0006771030067568505,0.0,0.0,-0.0021475690023607984,-0.0005621931618729057,0.0,0.0,Ibias,102.79195251244569,37.57818080666315,0.0,0.0,-32.20727413374089,97.42104583952528,0.0,0.0,W1,-5939.586860809765,-2304.529633593229,0.0,0.0,-3652.8245459695304,17.767318752949613,0.0,0.0,W2,-4655.595589761511,-290.34989242636016,0.0,0.0,-5288.497186138157,923.2514888030962,0.0,0.0,Alo,-1.9470666929317477,0.17954426550355407,0.0,0.0,-2.126610958435283,0.0,0.0,0.0,Rbias2,-9.834055855357971e-05,-3.1907592316217915e-05,0.0,0.0,-1.925497401085597e-05,-4.7177992226504334e-05,0.0,0.0,Rbias3,1.3512376089514727e-05,2.3237480256172044e-05,0.0,0.0,-4.462614118679804e-05,3.490103702014211e-05,0.0,0.0,
