Iteration No,Rd,Ibias,C1,C2,Cload,W1,W2,Rbias1,Rbias2,Rbias3,mismatch,flo,frf,Alo,Temp,
1,229.53785710146184,0.004149820500616106,8.924088e-12,9.072181999999999e-12,6.97562922955008e-11,0.0009006926947579099,0.00031634530879513507,3531.5463401108104,1525.1699728307524,857.9840485899033,0,1000000000.0,1010000000.0,0.2922111500745689,27,
2,230.52837776723348,0.004150314746286273,8.924088e-12,9.072181999999999e-12,6.933712159800491e-11,0.0009018522603146664,0.0003164952569001083,3531.5463401108104,1529.087885903797,853.0806830852387,0,1000000000.0,1010000000.0,0.29242527335929147,27,
3,231.63581946272035,0.004151419001879513,8.924088e-12,9.072181999999999e-12,6.90391979648577e-11,0.0009033013873155509,0.000316657083483113,3531.5463401108104,1532.2979987053257,848.7931878747235,0,1000000000.0,1010000000.0,0.2927826726040006,27,
4,232.66978429193193,0.004152011462987701,8.924088e-12,9.072181999999999e-12,6.870912428874578e-11,0.0009045117136636965,0.0003168147803979129,3531.5463401108104,1535.7130743053197,844.3315506435456,0,1000000000.0,1010000000.0,0.29308240412036773,27,
5,233.71117110023056,0.004152620804840008,8.924088e-12,9.072181999999999e-12,6.840378675565488e-11,0.0009056313514593554,0.0003169758105862262,3531.5463401108104,1538.8958389872846,840.046016148088,0,1000000000.0,1010000000.0,0.2934093480411919,27,
6,234.70930597174944,0.0041530092105063355,8.924088e-12,9.072181999999999e-12,6.809898831221865e-11,0.0009070215273774964,0.0003174940247962035,3531.5463401108104,1542.0206359900246,835.9009520338172,0,1000000000.0,1010000000.0,0.2937319233513059,27,
7,235.67810827067666,0.004153172869636967,8.924088e-12,9.072181999999999e-12,6.780938763077927e-11,0.0009081618562677579,0.0003180124316449707,3531.5463401108104,1545.1086208925321,831.7611658978391,0,1000000000.0,1010000000.0,0.2940395875580755,27,
8,236.63862822286418,0.004153244217066979,8.924088e-12,9.072181999999999e-12,6.753064349494254e-11,0.0009092113059741371,0.00031864510650813987,3531.5463401108104,1548.0135318821863,827.7644299161925,0,1000000000.0,1010000000.0,0.29436233520143684,27,
9,237.55988241093632,0.004153143757829397,8.924088e-12,9.072181999999999e-12,6.725653553992234e-11,0.0009105363227693437,0.0003192792778864103,3531.5463401108104,1550.8772621411472,823.8209944004972,0,1000000000.0,1010000000.0,0.29467736616970314,27,
10,238.47954467954827,0.004152904807000251,8.924088e-12,9.072181999999999e-12,6.699571555460934e-11,0.0009115577573207816,0.000319808489029042,3531.5463401108104,1553.6593044991241,819.918934973316,0,1000000000.0,1010000000.0,0.2950061415972487,27,
