Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0005787109331351501,-0.00032166092422151717,0.0,0.0,0.0,-0.00025705000891363295,0.0,0.0,Ibias,56.23059322713627,-3.8658274546366895,0.0,0.0,0.0,60.09642068177162,0.0,0.0,W1,-8.49573083971949,-31.867342576537407,0.0,0.0,0.0,23.371611736811744,0.0,0.0,W2,150.8029763459223,-33.399111680899665,0.0,0.0,0.0,184.20208802682197,0.0,0.0,Alo,-0.08347449010779309,-0.08347449010779309,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00019045956702494994,-1.630168882627572e-05,0.0,0.0,0.0,-0.00017415787819867422,0.0,0.0,Rbias3,0.00037294340729100944,6.710661630051655e-05,0.0,0.0,0.0,0.00030583679099048647,0.0,0.0,
2,Rd,-0.000502234421773857,-0.0002450219482170845,0.0,0.0,0.0,-0.0002572124735568209,0.0,0.0,Ibias,58.75798566433574,-0.7385636354109018,0.0,0.0,0.0,59.496549299745304,0.0,0.0,W1,-5.730701726619751,-27.891423264792703,0.0,0.0,0.0,22.16072153817295,0.0,0.0,W2,156.42348169846667,-28.75391265933404,0.0,0.0,0.0,185.17739435780072,0.0,0.0,Alo,-0.03375477196370761,-0.03375477196370761,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00019757037908614173,-2.2966889151352477e-05,0.0,0.0,0.0,-0.00017460348993479289,0.0,0.0,Rbias3,0.00038916452492592917,8.065063071654267e-05,0.0,0.0,0.0,0.00030851389420938005,0.0,0.0,
3,Rd,-0.000525730937132424,-0.0002684090378741385,0.0,0.0,0.0,-0.00025732189925828554,0.0,0.0,Ibias,57.128373591290426,-1.6719861207939206,0.0,0.0,0.0,58.80035971208435,0.0,0.0,W1,-11.490446846265458,-34.39885536186553,0.0,0.0,0.0,22.908408515593912,0.0,0.0,W2,155.3248169955897,-31.09187871694831,0.0,0.0,0.0,186.4166957125205,0.0,0.0,Alo,-0.05524850874380002,-0.05524850874380002,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0001941020242687395,-1.9004175107674986e-05,0.0,0.0,0.0,-0.00017509784916106816,0.0,0.0,Rbias3,0.0003855694148663052,7.368801223300121e-05,0.0,0.0,0.0,0.000311881402633304,0.0,0.0,
4,Rd,-0.0005063690262381613,-0.00024889589389472523,0.0,0.0,0.0,-0.000257473132343436,0.0,0.0,Ibias,57.27546145142486,-0.8877834271756339,0.0,0.0,0.0,58.16324487860183,0.0,0.0,W1,-6.1782416632966735,-28.850630178997143,0.0,0.0,0.0,22.67238851571276,0.0,0.0,W2,157.34990718618297,-30.17155719044876,0.0,0.0,0.0,187.52146437666678,0.0,0.0,Alo,-0.04643485912107108,-0.04643485912107108,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00019567010894549718,-2.0064580368581155e-05,0.0,0.0,0.0,-0.00017560552857691603,0.0,0.0,Rbias3,0.00039097522180725095,7.603395717560327e-05,0.0,0.0,0.0,0.0003149412646316542,0.0,0.0,
5,Rd,-0.0005047362407911363,-0.00024711791625276543,0.0,0.0,0.0,-0.00025761832453839473,0.0,0.0,Ibias,56.59030902774847,-0.9143491670528051,0.0,0.0,0.0,57.50465819479994,0.0,0.0,W1,-5.301004400246147,-26.771152002154274,0.0,0.0,0.0,21.470147601895853,0.0,0.0,W2,157.87626753532246,-30.81442399405256,0.0,0.0,0.0,188.69069152933997,0.0,0.0,Alo,-0.05035009712094247,-0.05035009712098035,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0001947146011904755,-1.8561904097389853e-05,0.0,0.0,0.0,-0.00017615269709308926,0.0,0.0,Rbias3,0.0003924219640505731,7.420573750399505e-05,0.0,0.0,0.0,0.00031821622654657145,0.0,0.0,
6,Rd,-0.0004981436767000245,-0.0002403040547584723,0.0,0.0,0.0,-0.0002578396219415522,0.0,0.0,Ibias,56.27559725504376,-0.5800635663883024,0.0,0.0,0.0,56.855660821430725,0.0,0.0,W1,-10.639481607584498,-32.85602696854115,0.0,0.0,0.0,22.216545360956655,0.0,0.0,W2,75.25984610468831,-93.52274932759542,0.0,0.0,0.0,168.78259543228373,0.0,0.0,Alo,-0.04974441217380968,-0.04974441217380968,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00019512899408397367,-1.841787880865341e-05,0.0,0.0,0.0,-0.00017671111527532387,0.0,0.0,Rbias3,0.0003953494557796519,7.391468338690669e-05,0.0,0.0,0.0,0.0003214347723927518,0.0,0.0,
7,Rd,-0.0004888252521697992,-0.0002307187414407285,0.0,0.0,0.0,-0.00025810651072904697,0.0,0.0,Ibias,56.00038364678597,-0.24317088448890736,0.0,0.0,0.0,56.24355453127354,0.0,0.0,W1,-5.171282426641877,-27.155325140213737,0.0,0.0,0.0,21.98404271357186,0.0,0.0,W2,76.62234733804927,-92.955647191307,0.0,0.0,0.0,169.57799452935626,0.0,0.0,Alo,-0.047345966873476836,-0.047345966873476836,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00019526533722500622,-1.8030355006670625e-05,0.0,0.0,0.0,-0.00017723498221833557,0.0,0.0,Rbias3,0.00039866403039274243,7.408011965564761e-05,0.0,0.0,0.0,0.0003245839107370948,0.0,0.0,
8,Rd,-0.0004859892255123439,-0.00022767079090374752,0.0,0.0,0.0,-0.00025831843460862,0.0,0.0,Ibias,55.514080551451045,-0.10604585571085175,0.0,0.0,0.0,55.62012640716056,0.0,0.0,W1,-4.267715380248522,-25.078983624509092,0.0,0.0,0.0,20.81126824426668,0.0,0.0,W2,81.8778339039506,-110.06434799205492,0.0,0.0,0.0,191.942181896023,0.0,0.0,Alo,-0.04953856163617718,-0.04953856163617718,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00019484461717078378,-1.7018931465088236e-05,0.0,0.0,0.0,-0.00017782568570569914,0.0,0.0,Rbias3,0.0004006737732436279,7.279118965892993e-05,0.0,0.0,0.0,0.0003278825835846913,0.0,0.0,
9,Rd,-0.00047676035252623,-0.00021830719777588432,0.0,0.0,0.0,-0.0002584531547503691,0.0,0.0,Ibias,55.18119021104879,0.14951182797022647,0.0,0.0,0.0,55.03167838307589,0.0,0.0,W1,-9.546498282750521,-31.125640415159477,0.0,0.0,0.0,21.579142132396743,0.0,0.0,W2,82.76233281534728,-110.05405992104012,0.0,0.0,0.0,192.81639273636998,0.0,0.0,Alo,-0.04827557061626546,-0.04827557061628431,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00019511209782594556,-1.676740360074532e-05,0.0,0.0,0.0,-0.00017834469422520023,0.0,0.0,Rbias3,0.00040373105490431845,7.271900594764992e-05,0.0,0.0,0.0,0.00033101204895665513,0.0,0.0,
10,Rd,-0.00047282978722947277,-0.00021411607102348436,0.0,0.0,0.0,-0.00025871371620603517,0.0,0.0,Ibias,54.80733967013597,0.3570212640622941,0.0,0.0,0.0,54.450318406071,0.0,0.0,W1,-3.8642851213580496,-24.291806281009453,0.0,0.0,0.0,20.427521159645305,0.0,0.0,W2,78.50631118656774,-93.63138708134966,0.0,0.0,0.0,172.13769826788263,0.0,0.0,Alo,-0.049978921871433796,-0.049978921871452635,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00019497199486670684,-1.6079695151795352e-05,0.0,0.0,0.0,-0.00017889229971491507,0.0,0.0,Rbias3,0.00040614121061524996,7.1990949974801e-05,0.0,0.0,0.0,0.00033415026064044224,0.0,0.0,
