Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,445.0486377874413,0.0016615871722783543,2.3451163980230032e-05,2.5165139659795797e-05,12723.007191237242,22163.391884668206,29795.866623507,2.477074e-12,2.464682e-12,3.864166762972419e-11,0.24824844639626975,1000000000.0,1010000000.0,0,27,
2,538.5907725187261,0.0017009073075610307,2.8868917822369344e-05,2.835246715597343e-05,12723.007191237242,23259.448229542897,32468.88356307408,2.477074e-12,2.464682e-12,3.576124710394215e-11,0.29713299581238956,1000000000.0,1010000000.0,0,27,
3,561.5490906297854,0.0016728023962726977,3.5733489416844316e-05,3.143852917742086e-05,12723.007191237242,27029.428362467617,33896.83928670611,2.477074e-12,2.464682e-12,2.955025433272935e-11,0.3359075189096613,1000000000.0,1010000000.0,0,27,
4,521.4429580091313,0.0015924087112651763,4.046331213573032e-05,3.203237577724467e-05,12723.007191237242,28826.125225581905,32235.319473287058,2.477074e-12,2.464682e-12,2.834212462411804e-11,0.3357817292398376,1000000000.0,1010000000.0,0,27,
5,485.6095867905541,0.0014842954334287925,4.2049318213032805e-05,3.139348344984481e-05,12723.007191237242,29438.439688096572,29247.622797790413,2.477074e-12,2.464682e-12,3.052202367437251e-11,0.31748184382880734,1000000000.0,1010000000.0,0,27,
6,514.4835420550609,0.0014623126749644542,4.362638104943284e-05,3.127669477576295e-05,12723.007191237242,26827.383516672664,28797.38558501049,2.477074e-12,2.464682e-12,3.2774258874040655e-11,0.32525026620760755,1000000000.0,1010000000.0,0,27,
7,554.200682419814,0.001474360970440232,5.040150633863898e-05,3.31700677254181e-05,12723.007191237242,27879.705352237583,29427.358920437222,2.477074e-12,2.464682e-12,3.0934894915426145e-11,0.3452087743740425,1000000000.0,1010000000.0,0,27,
8,549.6277085930512,0.0014474152851129054,5.494165611177769e-05,3.4603625011362524e-05,12723.007191237242,30198.830464700168,28632.853842833843,2.477074e-12,2.464682e-12,2.871792622069228e-11,0.34545534513729353,1000000000.0,1010000000.0,0,27,
9,545.5540155251971,0.0014169203761924504,5.7342142008539376e-05,3.503497056554652e-05,12723.007191237242,31173.81754384871,27377.786002343873,2.477074e-12,2.464682e-12,2.895686309180146e-11,0.3387021497929528,1000000000.0,1010000000.0,0,27,
10,582.4471376825065,0.0014207316528342298,6.012953301319844e-05,3.579970606097405e-05,12723.007191237242,30649.014196975822,27452.698554778835,2.477074e-12,2.464682e-12,2.917308617711834e-11,0.352213612916291,1000000000.0,1010000000.0,0,27,
