Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0012024040127253206,-0.0012344463933687006,0.0,0.0,9.210046885646175e-05,-6.0058088213069316e-05,0.0,0.0,Ibias,398.87879710640516,63.77862873446563,0.0,0.0,216.36930962740786,118.73085874453419,0.0,0.0,W1,-23840.58476666025,-12992.283076590335,0.0,0.0,-11187.33286759868,339.0311775287649,0.0,0.0,W2,-57240.325429732664,-17265.373345753265,0.0,0.0,-42965.400645006426,2990.448561027381,0.0,0.0,Alo,-3.6501392025251898,-1.1265683188158429,0.0,0.0,-2.5235708837093376,0.0,0.0,0.0,Rbias2,-5.925443212357943e-06,-1.0557080073460672e-06,0.0,0.0,-2.1304011861067027e-06,-2.7393340189052437e-06,0.0,0.0,Rbias3,1.4940078282289342e-06,3.205739378919644e-07,0.0,0.0,5.274630657398641e-07,6.45970824597157e-07,0.0,0.0,
2,Rd,0.020511653442298192,0.004368381842796908,0.0,0.0,0.01620371124307382,-6.0439643572548506e-05,0.0,0.0,Ibias,3793.9360858219643,960.9984624012158,0.0,0.0,2714.177830859612,118.75979256113713,0.0,0.0,W1,273514.9511097934,64251.72398581674,0.0,0.0,208928.48176550222,334.74535847418485,0.0,0.0,W2,544258.6313080948,136777.38913333765,0.0,0.0,404506.87041421427,2974.371760543101,0.0,0.0,Alo,23.47500136703505,5.55033284966316,0.0,0.0,17.924668517371877,0.0,0.0,0.0,Rbias2,0.00035797256238320014,9.29079889541226e-05,0.0,0.0,0.00026782625549806176,-2.7616820689844563e-06,0.0,0.0,Rbias3,9.126493534718741e-05,2.3682752451492025e-05,0.0,0.0,6.693640337074833e-05,6.457795249470444e-07,0.0,0.0,
3,Rd,-0.0008213325630403983,-0.0013209245887297668,0.0,0.0,0.0005535023456880048,-5.391031999864479e-05,0.0,0.0,Ibias,535.9760272581583,99.64265640903294,0.0,0.0,316.58581472825904,119.74755612086369,0.0,0.0,W1,-21592.918207791477,-13253.028554878107,0.0,0.0,-8668.59366202281,328.70400910949667,0.0,0.0,W2,-70030.17233031559,-24569.09027511448,0.0,0.0,-48429.106883452005,2968.0248282506445,0.0,0.0,Alo,-6.116616752228574,-2.230753385419971,0.0,0.0,-3.885863366808627,0.0,0.0,0.0,Rbias2,-4.954970103519841e-06,-1.7911680416393844e-06,0.0,0.0,-3.789555314046034e-07,-2.7848465304757805e-06,0.0,0.0,Rbias3,3.018342119221668e-06,4.861445456123428e-07,0.0,0.0,1.8815449387946997e-06,6.506526348146431e-07,0.0,0.0,
4,Rd,-0.0010508838621977874,-0.001325191552978375,0.0,0.0,0.00032770721108311187,-5.339952030251594e-05,0.0,0.0,Ibias,495.8194774417366,96.47719226792472,0.0,0.0,279.4559488259709,119.88633634784166,0.0,0.0,W1,-24579.457429517486,-13204.545025056757,0.0,0.0,-11705.461240294915,330.54883583430313,0.0,0.0,W2,-75318.4469608058,-24084.304483460604,0.0,0.0,-54178.782174484855,2944.639697139669,0.0,0.0,Alo,-6.301153139899825,-2.1782406809625248,0.0,0.0,-4.1229124589373125,0.0,0.0,0.0,Rbias2,-8.622189108972374e-06,-1.7071892262838308e-06,0.0,0.0,-4.13478574488263e-06,-2.780214137805914e-06,0.0,0.0,Rbias3,2.0476907276151113e-06,4.6623707330686415e-07,0.0,0.0,9.30822710916468e-07,6.506309433917441e-07,0.0,0.0,
5,Rd,-0.001057670944506997,-0.0013280369377741662,0.0,0.0,0.00032349802841136026,-5.313203514419952e-05,0.0,0.0,Ibias,489.9109264428909,93.41584378810253,0.0,0.0,276.4988228387867,119.996259816003,0.0,0.0,W1,-24489.507096384667,-13152.189804682464,0.0,0.0,-11667.925974363954,330.6086826616935,0.0,0.0,W2,-74236.43280345348,-23599.3269561466,0.0,0.0,-53556.01093342455,2918.905086118025,0.0,0.0,Alo,-6.181095440745486,-2.1262347459769027,0.0,0.0,-4.054860694768584,0.0,0.0,0.0,Rbias2,-8.50086761360921e-06,-1.6284740940777955e-06,0.0,0.0,-4.094988151811599e-06,-2.7774053677197438e-06,0.0,0.0,Rbias3,2.0010034502513846e-06,4.478630685646314e-07,0.0,0.0,9.029849646334859e-07,6.501554170532847e-07,0.0,0.0,
6,Rd,-0.0010617989798515247,-0.0013306134966242463,0.0,0.0,0.00032155767167102006,-5.274315489831522e-05,0.0,0.0,Ibias,484.02303172505003,90.44834060815947,0.0,0.0,273.9472993936023,119.6273917232876,0.0,0.0,W1,-24368.08304758445,-13101.299451272569,0.0,0.0,-11599.965558394042,333.1819620818145,0.0,0.0,W2,-73121.66127683574,-23132.574508627757,0.0,0.0,-52888.1362183465,2899.0494501375524,0.0,0.0,Alo,-6.061740092357825,-2.0759789025345965,0.0,0.0,-3.9857611898232284,0.0,0.0,0.0,Rbias2,-8.341110673999916e-06,-1.5514127977774772e-06,0.0,0.0,-4.018458639104529e-06,-2.7712392371182705e-06,0.0,0.0,Rbias3,1.9657888321043473e-06,4.3016049934987473e-07,0.0,0.0,8.850691359891172e-07,6.505591967652848e-07,0.0,0.0,
7,Rd,-0.0010656834422306824,-0.0013330089058904175,0.0,0.0,0.00031964995446556407,-5.232449080584162e-05,0.0,0.0,Ibias,479.0934543200247,87.56085502723155,0.0,0.0,271.45402587600864,120.07857341678319,0.0,0.0,W1,-24245.920457485907,-13049.953269116226,0.0,0.0,-11532.54660855114,336.5794201812877,0.0,0.0,W2,-72041.59002430577,-22685.44513354507,0.0,0.0,-52239.0049127616,2882.8600220009007,0.0,0.0,Alo,-5.946436548029157,-2.0277813993761353,0.0,0.0,-3.918655148653045,0.0,0.0,0.0,Rbias2,-8.188543554686799e-06,-1.480893528498929e-06,0.0,0.0,-3.9435807423341135e-06,-2.764069283853684e-06,0.0,0.0,Rbias3,1.9317867221724023e-06,4.128028825576418e-07,0.0,0.0,8.677102698385838e-07,6.512735697761415e-07,0.0,0.0,
8,Rd,-0.000878495554191385,-0.0012690175731680982,0.0,0.0,0.00044239820360454174,-5.187618462780967e-05,0.0,0.0,Ibias,505.3518293214845,95.6604350666222,0.0,0.0,289.2742681379674,120.41712611689624,0.0,0.0,W1,-21510.717050421652,-12096.066483369026,0.0,0.0,-9754.61158880728,339.9610217547152,0.0,0.0,W2,-65768.44758683872,-20464.498694290833,0.0,0.0,-48173.38431587769,2869.435423330149,0.0,0.0,Alo,-5.609495121774599,-1.905528967611241,0.0,0.0,-3.7039661541633473,0.0,0.0,0.0,Rbias2,-4.811491331483371e-06,-3.014662697084515e-07,0.0,0.0,-1.7536099871751793e-06,-2.756415074599343e-06,0.0,0.0,Rbias3,2.7052300956444616e-06,6.752356770771095e-07,0.0,0.0,1.3776317342393574e-06,6.523626843280476e-07,0.0,0.0,
9,Rd,-0.0006242081160104347,-0.001183008242541408,0.0,0.0,0.000610287054971641,-5.148692844066369e-05,0.0,0.0,Ibias,543.8780907994344,108.08855664654561,0.0,0.0,315.32705221509497,120.4624819377962,0.0,0.0,W1,-17875.68896421842,-10844.801598831622,0.0,0.0,-7373.46760759739,342.5802422105612,0.0,0.0,W2,-57922.71717184062,-17754.74609117986,0.0,0.0,-43023.55497186946,2855.58389120864,0.0,0.0,Alo,-5.229262503162711,-1.7728940908785535,0.0,0.0,-3.4563684122841463,0.0,0.0,0.0,Rbias2,-3.3970910040798335e-07,1.2353332204685569e-06,0.0,0.0,1.1752161915888691e-06,-2.7502585124651206e-06,0.0,0.0,Rbias3,3.7723305191513548e-06,1.0351457275606928e-06,0.0,0.0,2.08401884153344e-06,6.531659500572659e-07,0.0,0.0,
10,Rd,-0.0006602077445784716,-0.0011981245383099032,0.0,0.0,0.0005890172301513118,-5.110043641987803e-05,0.0,0.0,Ibias,536.7844451337651,104.62395655227813,0.0,0.0,311.51490882722953,120.64557975425508,0.0,0.0,W1,-18233.1244680329,-10973.540497615093,0.0,0.0,-7605.097523994103,345.51355357606354,0.0,0.0,W2,-58318.38213630171,-17886.422056205654,0.0,0.0,-43266.65175929439,2834.6916791981575,0.0,0.0,Alo,-5.2382274539447895,-1.7744830167422403,0.0,0.0,-3.463744437202538,0.0,0.0,0.0,Rbias2,-8.33473577080643e-07,1.0635311579773897e-06,0.0,0.0,8.480416535294575e-07,-2.7450463885876347e-06,0.0,0.0,Rbias3,3.6232980469927756e-06,9.746812793478776e-07,0.0,0.0,1.995191881981892e-06,6.534248856629617e-07,0.0,0.0,
