Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0031306119537058844,-0.29886342956107936,-0.056261071084938635,-0.1441079126863396,0.135705286666416,-0.0018555155198829042,-0.002363028242986099,-0.00044330294488338694,-2.0369905258119407e-07,-0.006664242701957005,0.0,-0.005377656985417843,0.0008339822542967341,0.0,Ibias,0.039971493864199945,-0.4272169546497673,-0.08689070138363413,-0.14087260599991358,0.14770465241447717,0.043756657573728715,0.01712760957060445,0.015230338619836916,0.01005519633227635,-0.017272883163715103,0.0,0.016705129435414606,0.038980444629676474,0.0,W1,0.0012504036962854399,-0.3170044128692596,0.03743383745156067,-0.15477174234622146,0.12618515344565154,0.000741978257643516,0.02532150635304713,-0.016050250277312876,-0.00977592493119556,-0.0004930941909519305,0.0,0.00044380697198761473,0.013167794509580263,0.0,W2,0.005356790804393061,-0.3253633152916715,-0.17976946700233315,-0.1428445337511878,0.11779050033628718,0.0031837819737351425,0.004028558862602857,0.0007583859796995218,8.147962103247763e-07,0.011417656472021247,0.0,0.025579310460150675,-0.0013665727102228481,0.0,Alo,0.0,-0.2751313219608051,-0.25272013090276857,-0.13911061062718025,0.10876827190589494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.008368499339127063,-0.3718534400233852,-0.12740001470334364,-0.15110433157921932,0.1312205888473735,-0.005026076375663146,-0.006333399329858198,-0.001182803821549633,-1.0184952627928947e-06,-0.017801909903935584,0.0,-0.0015001459019186615,0.0022922447547079616,0.0,Rbias3,0.008047076548486846,-0.38979016298829017,-0.07388920031218969,-0.14782868069814792,0.13486248612034413,0.004564021098168795,0.006043971822002863,0.0011400638515272617,1.0184952629059704e-06,0.017157970159618844,0.0,0.0015042133792586196,-0.002024194698224336,0.0,
2,Rd,-0.002793236563222019,0.18413866013414676,0.01697708056857509,-0.0005242247310431661,0.003933051169115907,-0.0016620927995942346,-0.002102420227936846,-0.00039712003376027256,-4.0788573641983185e-07,-0.005916974019419221,0.0,-0.005350238682693967,0.0007036133923043923,0.0,Ibias,0.040130577297829644,-0.0898431956645691,-0.016699675176859177,0.004010363749690792,0.01455038625695944,0.04382668860243992,0.01732381850424711,0.0152269157806942,0.010036232489975212,-0.01674818260086557,0.0,0.017346375888002957,0.038636213300422495,0.0,W1,0.001229687076999112,0.1333938745404888,0.1308113894752359,-0.009457207259637506,-0.004447465381022987,0.0007336975986902686,0.025244564479264944,-0.016034293653842756,-0.009756626817589736,-0.0006532091013331056,0.0,0.0008195113955987151,0.013327425336787513,0.0,W2,0.005359951822786081,0.1193750532091645,-0.11260548989843608,0.004102465490990933,-0.011994278780248741,0.003189611743858627,0.004019355614796838,0.0007633861300602845,6.118286047995644e-07,0.011368025132326107,0.0,0.025525777407457272,-0.0012926007780070948,0.0,Alo,0.0,0.22642874735227483,-0.1874260219800634,0.0074446518682809056,-0.020105306861334018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.008434958788119005,0.014596514928366233,-0.047951031915497926,-0.004488874563994057,-0.0001574143321817614,-0.005074820010404277,-0.006366243311098458,-0.0011993224077219392,-1.0197143412193963e-06,-0.01785532264896736,0.0,-0.0016082140921145568,0.002190126940373636,0.0,Rbias3,0.008096360741884868,-0.01627560797632395,0.0033122259279263653,-0.0027380661695085903,0.00321092066623196,0.00458654942536022,0.006064345389848069,0.0011535391456843514,8.157714730660858e-07,0.017177071514052088,0.0,0.0017035670157754242,-0.0019241764823680696,0.0,
3,Rd,-0.0027769072739302013,0.1757503649289097,0.0430461205488145,0.003459170124481787,0.0023384387896067077,-0.0016531647221526967,-0.0020886241004402163,-0.00039582519083364195,-4.083503563372198e-07,-0.005869374199898989,0.0,-0.005387678649329179,0.0006829090654817448,0.0,Ibias,0.04014130651548392,-0.08238345949552883,0.009522120097564531,0.00807084518425688,0.012839590125718833,0.04382983003591602,0.017392782410540875,0.015212848266345424,0.01001785511933536,-0.016665346004645268,0.0,0.017382146839342923,0.03854622100190572,0.0,W1,0.0012424464007040003,0.1265782322721926,0.16098080026943878,-0.00551293134706195,-0.006037352695678221,0.0007415449622880479,0.02519776344139442,-0.016019753371991935,-0.009738951825887562,-0.0006522309503307694,0.0,0.0008201319448475806,0.013353959850940619,0.0,W2,0.0053496418272350335,0.11158869700628594,-0.09300106599998881,0.007536188806243909,-0.013506342794935972,0.0031845445823285765,0.004010375595308333,0.0007637332397443997,6.125255346758397e-07,0.011322475730634335,0.0,0.025472288055715997,-0.0012591135894816346,0.0,Alo,0.0,0.21136410222351273,-0.17343891594566682,0.011859714758371581,-0.021525433680192513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.008444678689116228,0.013224525482633719,-0.025126095028117287,-0.0005435604108542406,-0.001723351548323437,-0.005082927953064899,-0.006369876622932979,-0.0012024311842451453,-1.0208758910130595e-06,-0.017839150409317175,0.0,-0.0016495030779586375,0.002141355819688439,0.0,Rbias3,0.008111513125615163,-0.014824072122004721,0.028643197180974675,0.0012457196726870145,0.0015923924808650214,0.004596730747803807,0.006074162842826196,0.001158561389795057,8.167007129011196e-07,0.017175297633197632,0.0,0.0017158712469839696,-0.0018807243013463154,0.0,
4,Rd,-0.0027730889799855063,0.16769732979371074,0.04455707199076518,0.003010292731021348,0.0023227003189693093,-0.001651897450092869,-0.002085873098522581,-0.0003955158885524193,-4.088090167034277e-07,-0.0058512293806411205,0.0,-0.005377873982241549,0.0006659709756748033,0.0,Ibias,0.040143953143045585,-0.07561041251800103,0.011871263780492242,0.008194722349315012,0.012725061845339655,0.04382842468171919,0.01745366731100073,0.015198397161873874,0.009999672952786668,-0.016603100750658198,0.0,0.017443616891116613,0.03846209833625529,0.0,W1,0.0012485246151308358,0.1201682013535691,0.16385426842552142,-0.005961006713592256,-0.006061647908641495,0.0007454086863730314,0.025145324361802848,-0.016006807667415107,-0.009721887225944631,-0.0006650243273706134,0.0,0.0008510657944653203,0.013379920975083528,0.0,W2,0.005334388841648338,0.10434531460254742,-0.09489011067664697,0.0075255498303497875,-0.01346440311438399,0.0031764896777665276,0.003996371449922455,0.0007630660072072208,6.132135250551416e-07,0.011266025556487399,0.0,0.025446559454948517,-0.0012254957708114265,0.0,Alo,0.0,0.1973737986145145,-0.17915879203966403,0.011296206899713614,-0.021402266900158257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00845966646783342,0.012000613909902038,-0.025428637992954303,-0.0010124068419784926,-0.0017158558807419668,-0.005093862211346063,-0.006378674430749812,-0.0012075219930805406,-1.0220225417585693e-06,-0.017836086097967163,0.0,-0.0016593474495343345,0.0020957160416214676,0.0,Rbias3,0.008120962522051349,-0.013534562170720585,0.02962355319501394,0.0013004013814756127,0.001551618780350511,0.0046030639698114535,0.00607758858170729,0.001161578228248621,8.176180334068554e-07,0.01715840133919218,0.0,0.0017576894102329771,-0.0018377887580095563,0.0,
5,Rd,-0.0027627713578126504,0.1605571983614291,0.04586506500373211,0.0035151518237819864,0.0023229216516599334,-0.0016462714036595374,-0.0020761310103838103,-0.0003952966205389822,-4.092620922741776e-07,-0.005816920308929285,0.0,-0.005406594285485789,0.0006480208022880582,0.0,Ibias,0.039987438334545794,-0.06964542122698726,0.013860571288378223,0.007738698942515058,0.012628646853844848,0.0437410428343147,0.017397295133350206,0.015161941549726903,0.009981697799234005,-0.016860745463465915,0.0,0.018192039300551053,0.038426448727518825,0.0,W1,0.0012641169665963837,0.1145036072018215,0.16655768386416778,-0.005494464471904731,-0.006069589566417543,0.0007549357357401579,0.025102099716355103,-0.015992454646941403,-0.009704831993818589,-0.0006556898035844988,0.0,0.0008333217978710288,0.013403366973907075,0.0,W2,0.005329167312638425,0.09795502459466758,-0.0969460824062099,0.0074711967973239675,-0.013407840674582916,0.003174613699289219,0.00399166444261001,0.0007637799041242533,6.138931384112664e-07,0.011234526581074638,0.0,0.025367865893329313,-0.0011948737999993928,0.0,Alo,0.0,0.1850028989022272,-0.18501633013689947,0.01170761210344065,-0.02126496643742235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00846401838137376,0.010915131301684882,-0.025939169422785006,-0.0010258493464359094,-0.0016926178901447149,-0.005098421076062973,-0.006378128937356157,-0.0012105021037464173,-1.023155230685444e-06,-0.017809687000308688,0.0,-0.0017215523963770168,0.0020484201872607833,0.0,Rbias3,0.008141231281727244,-0.012400317806125197,0.030340852255494512,0.001809979804268757,0.0015274862659417114,0.004615811593804655,0.006090294630609953,0.0011669804560788656,1.023155230571851e-06,0.01716664038522392,0.0,0.001744469514849235,-0.001797323519144708,0.0,
6,Rd,-0.002750685280805876,0.15419424812705793,0.04717941041058242,0.004020564811949112,0.002323106871879489,-0.001639814808000068,-0.0020663753263616166,-0.00039426576820037943,-4.097097104392009e-07,-0.005779726449429885,0.0,-0.00544308973081983,0.0006299733083048489,0.0,Ibias,0.04010566073819088,-0.06435012275295075,0.015712558799059542,0.008315032405945406,0.012534155918291724,0.04380302184607491,0.01754247161448755,0.015163196863993702,0.009964140157594913,-0.016564059774696323,0.0,0.017735425043961636,0.03831470270966137,0.0,W1,0.0012829094154395194,0.10945021548016035,0.16938674891529426,-0.005490359144627829,-0.006077042908565459,0.0007658958405398855,0.025061006163445313,-0.015977685399368474,-0.009688200667621957,-0.0006414903620371032,0.0,0.0008049888712632577,0.013425279002852779,0.0,W2,0.005330050360170877,0.09228992479028646,-0.09897113070993573,0.007922660992265436,-0.013352460508230628,0.0031756425179978896,0.003990803698997975,0.0007650800392581488,6.145645656588014e-07,0.01121398105271044,0.0,0.025266536319031974,-0.00116636362515858,0.0,Alo,0.0,0.1740249002683109,-0.1908002043012971,0.011611750194850255,-0.02112937858438656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.008464811627462205,0.009979101460579072,-0.02644826425313961,-0.0005511195182450778,-0.0016696204677134618,-0.005101065725306301,-0.006375977921431142,-0.0012127631065056228,-1.0242742760980023e-06,-0.017776192465346806,0.0,-0.0017982747383823927,0.0020013065098611693,0.0,Rbias3,0.008165200484477516,-0.011387944711104768,0.03105758856634564,0.001330618901651388,0.00150396173323119,0.004630987063103011,0.006106046009429069,0.0011723744169822778,8.194194208784018e-07,0.017184856899248157,0.0,0.001710351569705324,-0.0017584472344856225,0.0,
7,Rd,-0.0027368204168241174,0.14111955890510525,0.056472081631497785,0.0028207538730147877,0.003234391327879223,-0.0016327618666800016,-0.0020558292180559673,-0.0003930216225136017,-4.101520844046871e-07,-0.005740330268648002,0.0,-0.005486614433531926,0.0006122897854607656,0.0,Ibias,0.04018661809016723,-0.06729252950299133,0.0251561024152001,0.007651936643645513,0.013378392715892615,0.04384489238290406,0.01765872769685094,0.015160294596560146,0.009946803274654189,-0.01634600026340776,0.0,0.01744053953039957,0.03821666827474654,0.0,W1,0.0013017266645530866,0.09762839299119876,0.18042697244936937,-0.00618906109937704,-0.005176087289879283,0.0007768709523096008,0.02502047298806369,-0.015963102748601438,-0.009671591226026613,-0.000625943995000771,0.0,0.0007733121586515972,0.013446597036041697,0.0,W2,0.005335482114035982,0.08020835764920338,-0.09282547647652506,0.006669460372333164,-0.012413244397188121,0.0031793634132816946,0.003993008164379445,0.0007671701760536854,6.152281266070306e-07,0.011202891321831145,0.0,0.02514524181827595,-0.0011390693469626714,0.0,Alo,0.0,0.15759340034198405,-0.18796004646728268,0.0108277365596657,-0.020139520001166936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.008463619135541783,0.0019511538843838374,-0.018921709040659457,-0.0012645675886686187,-0.0007461831554135395,-0.005102737851275824,-0.006372993026776141,-0.0012149036208585105,-1.0253802110117177e-06,-0.01773975021086632,0.0,-0.0018827401303999627,0.0019548460290102648,0.0,Rbias3,0.008193690538842965,-0.017876690755736,0.039792337488128694,0.00063677791855997,0.0023978638477002,0.004647897045557966,0.006124060103729759,0.0011784625355527349,1.0253802110117177e-06,0.01720943168348462,0.0,0.0016601478940300933,-0.001721179053379087,0.0,
8,Rd,-0.0027257837528878457,0.12792555734119912,0.06817857375359251,0.002501279438581655,0.004482397921635434,-0.0016269289800274857,-0.0020457398901441914,-0.0003922668033685068,-4.105902727997722e-07,-0.005706360144679132,0.0,-0.005508459090262773,0.0005946752285238114,0.0,Ibias,0.04016868638837264,-0.07361912861715686,0.036895099899760316,0.007342594439561239,0.0145874334862023,0.043832574044122684,0.017702862097123854,0.015143449385716863,0.009929509861967703,-0.016325374115869342,0.0,0.017586775275691687,0.03814534632272627,0.0,W1,0.0013176622781949409,0.08519979401691331,0.1931862971864418,-0.006939373867749553,-0.003934553120569113,0.0007866155080199037,0.024979275057405607,-0.015948898525676165,-0.009655440854881833,-0.0006177546751366921,0.0,0.0007564303489807512,0.0134686150756126,0.0,W2,0.0053394941649816206,0.06781016345665357,-0.08275296236474002,0.006317386850571537,-0.011160748477024357,0.003182022017119847,0.003994543659641084,0.00076904806771649,6.158854090856967e-07,0.011188495630942279,0.0,0.02503130294897275,-0.0011119235590351041,0.0,Alo,0.0,0.14251531233291964,-0.17976237715276866,0.010454134732102759,-0.018871458515813982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.008466340373140174,-0.007767503542333569,-0.008130275028928434,-0.001584877409213827,0.0005019053309657721,-0.005106557046449548,-0.006372192826882128,-0.0012175253666200925,-1.0264756819994305e-06,-0.017711649188103824,0.0,-0.001951117339453491,0.0019090999054383,0.0,Rbias3,0.008218177975667353,-0.026602878569866067,0.05122060597634221,0.000816667966528044,0.0036377720516628255,0.004663131192717866,0.006140321626293409,0.001184040402374635,8.211805454855827e-07,0.017227170011963337,0.0,0.001624651460051922,-0.0016832332739574176,0.0,
9,Rd,-0.0027146277660988647,0.12766050421557754,0.06647835204238904,0.002499381567504897,0.004338317599639324,-0.001621038067584834,-0.0020370501094158235,-0.0003913001438291721,-2.0551279862371277e-07,-0.0056720851532350534,0.0,-0.005514850959145221,0.0005776354963900422,0.0,Ibias,0.04019527340122323,-0.06991391574347601,0.035616891016647424,0.006841977343845338,0.014389644827776266,0.043844148631860085,0.017778032904642548,0.015132286643218884,0.009912498815732446,-0.01621598774902259,0.0,0.0175519570911215,0.038061954850760714,0.0,W1,0.0013348391410475118,0.08503143927856809,0.19121336782533094,-0.006456534874161883,-0.004073580453495772,0.0007966353645778505,0.02493873723062021,-0.015934426757879313,-0.009639166793570894,-0.0006077982612778276,0.0,0.0007376268621469588,0.013491324447481136,0.0,W2,0.005329724531903323,0.06745145515537206,-0.0843012414729772,0.006285091398761308,-0.011278721892715577,0.0031772058876331,0.003984892007642447,0.0007690029853632878,6.165383958711383e-07,0.011145413288845262,0.0,0.024987186727384113,-0.0010818038390260271,0.0,Alo,0.0,0.1405348598110252,-0.18204859885324526,0.010401459810921327,-0.018962553101336762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.008471372396040159,-0.0065829903455674335,-0.009720109736211999,-0.002554513119059155,0.0003628515106589048,-0.0051118233805776585,-0.0063733448967860625,-0.0012204334215646154,-1.027563993118564e-06,-0.01768727871252958,0.0,-0.0020121981741125267,0.0018642290265051926,0.0,Rbias3,0.008235387605019252,-0.02463882048789078,0.04950227882491633,0.00033096830608066917,0.003486428064508542,0.0046737696795025345,0.006150712230600838,0.0011887063828759639,1.027563993118564e-06,0.01722863554180673,0.0,0.0016283374007220067,-0.0016433683955325,0.0,
10,Rd,-0.002704029486797733,0.12596619977501644,0.06678501602000682,0.002013984381019893,0.004341071876004142,-0.0016152308005881978,-0.0020282716549423524,-0.0003905264399312867,-2.0572884885731906e-07,-0.005639089220465395,0.0,-0.005522173054700245,0.0005609363726054229,0.0,Ibias,0.04021197659726856,-0.06752950933486665,0.03623446037565129,0.006861404129595907,0.01434101847627342,0.04385058730973095,0.017847083525375198,0.015120566336984062,0.009895763364094678,-0.016125785944135784,0.0,0.01755461184891384,0.03798215679345035,0.0,W1,0.0013520147433988665,0.0835042817439876,0.1914594940682731,-0.006426060285428069,-0.004066945353706447,0.0008068951725294414,0.0248979268797982,-0.015920081200444608,-0.009623172639215064,-0.0005982332063032192,0.0,0.0007181941546855229,0.01351309066277936,0.0,W2,0.005315510345327117,0.06577314637335066,-0.08408827984039208,0.006260677317155503,-0.011252595904865619,0.003169962468931215,0.003973519183228908,0.0007683413501723337,6.171865469145646e-07,0.011093999354675647,0.0,0.02496361820012677,-0.001051468097951673,0.0,Alo,0.0,0.13720159402469886,-0.1826810420225153,0.00985270001748516,-0.01891110328428373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00847504003734139,-0.006666062835244717,-0.009450620992864008,-0.0020670447920586948,0.00037002004830118227,-0.005116257965418878,-0.006373459592079937,-0.001223232519805555,-1.0286442447434052e-06,-0.017661658135012307,0.0,-0.002077512462848671,0.0018190168014018883,0.0,Rbias3,0.00824809470541364,-0.023961827026228608,0.049759037147451834,0.0003432839802293776,0.003481965586350392,0.004681960623227547,0.006157752048057821,0.0011926643174549401,1.0286442448576075e-06,0.017221093388912707,0.0,0.001651631619518546,-0.0016036614097861938,0.0,
