Iteration No,Rd,Ibias,C1,C2,Cload,W1,W2,Rbias1,Rbias2,Rbias3,mismatch,flo,frf,Alo,Temp,
1,443.41961007540493,0.0009115277895228467,5.920426e-13,1.240008e-12,3.64219374636036e-11,3.673419361277195e-05,2.16346872555514e-05,26616.1846421413,13717.077054355652,49014.24921640228,0,1000000000.0,1010000000.0,0.2271796059798023,27,
2,438.45906965694724,0.000890874994751501,5.920426e-13,1.240008e-12,3.589262618873137e-11,3.634518490787683e-05,2.1433108961319472e-05,26616.1846421413,13421.519953772724,47888.35850689803,0,1000000000.0,1010000000.0,0.21915782470948275,27,
3,443.1987737188006,0.0008900944867688147,5.920426e-13,1.240008e-12,3.629870017660235e-11,3.671965952533224e-05,2.1679463680233092e-05,26616.1846421413,13403.895912836451,47808.09141439808,0,1000000000.0,1010000000.0,0.22397948674531534,27,
4,442.60614720735424,0.0008787784430181726,5.920426e-13,1.240008e-12,3.591051070752183e-11,3.666463951563162e-05,2.167239703902012e-05,26616.1846421413,13232.442004630664,47163.01026294852,0,1000000000.0,1010000000.0,0.2214362409994141,27,
5,445.0641011955833,0.0008736770890296362,5.920426e-13,1.240008e-12,3.595859300556295e-11,3.6847033317141406e-05,2.1804459047309344e-05,26616.1846421413,13146.089509915386,46841.06024786443,0,1000000000.0,1010000000.0,0.22296837325547172,27,
6,445.9144613088289,0.000865571526706523,5.920426e-13,1.240008e-12,3.576000460705653e-11,3.689669801603276e-05,2.1857853737784865e-05,26616.1846421413,13013.965077152685,46354.82995906915,0,1000000000.0,1010000000.0,0.22221116339884633,27,
7,447.7274425902546,0.000859485532565925,5.920426e-13,1.240008e-12,3.569181017918787e-11,3.701868151987586e-05,2.195330626874696e-05,26616.1846421413,12907.863819229606,45970.29108946168,0,1000000000.0,1010000000.0,0.22268909279699037,27,
8,449.0811249986736,0.0008526606912546273,5.920426e-13,1.240008e-12,3.5547283447967847e-11,3.71001713004771e-05,2.202431185789127e-05,26616.1846421413,12788.741265694849,45542.098322383514,0,1000000000.0,1010000000.0,0.22245977873306835,27,
9,450.75103218547355,0.0008465681194887071,5.920426e-13,1.240008e-12,3.544013191210506e-11,3.720308863136876e-05,2.210746549865657e-05,26616.1846421413,12677.958039342633,45148.46057332883,0,1000000000.0,1010000000.0,0.2225918089410649,27,
10,452.30535571101206,0.000840391488056827,5.920426e-13,1.240008e-12,3.530883608191202e-11,3.729352778290474e-05,2.2182754831893326e-05,26616.1846421413,12564.006089235092,44746.66383651901,0,1000000000.0,1010000000.0,0.22250407801112032,27,
