Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0030215610275747666,0.007657786469148804,0.14931731942078835,0.0313833166679623,0.010987296656582058,-0.0019209706478783475,-0.002427859984856011,-0.00046123274026227374,-2.541603507892583e-07,-0.004294496150752605,0.0,-0.003382610269715811,-0.0012517981950978963,0.0,Ibias,0.030303855090053726,-0.007167560046647657,0.13344767410374817,0.019708697878039215,0.011777357081957193,0.03335130370391025,0.021658718917095178,0.008902119406449298,0.005916852966203782,-0.008129087553670146,0.0,0.021571381162131212,0.026543325516099326,0.0,W1,0.0029867757273302044,-0.00011765085980280308,0.06598062818442303,-0.02005645793370004,0.006997806180868992,0.0018926982976171676,0.012531115944890788,-0.009690301937277195,-0.00584416310588017,-0.0009159989400792869,0.0,0.0027577988294212987,0.010336441724602031,0.0,W2,0.0033006978053283617,-0.00591811073082535,0.021726483256609128,-0.012061481588734017,0.0034709514818472317,0.0020944776741382027,0.002648645202819258,0.0005036678611630058,0.0,0.004685517778293676,0.0,0.011731581487962335,0.0013703287401300498,0.0,Alo,0.0,0.0003358322391082098,0.0207725930311351,0.004848925585569262,-0.0010720639798642803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009261555676741208,-0.007789608649351846,-0.0462293563009494,-0.04359671046273176,0.010750359575723794,-0.005988703453254683,-0.007449946280779704,-0.0014151685621259427,-5.083207015785166e-07,-0.013179539309691499,0.0,-0.004570385566885866,-0.003829403901216117,0.0,Rbias3,0.008950196726129586,-0.011983327991353928,0.08910208075143446,0.0018240699396997013,0.009761416725676215,0.005305519537355842,0.00717318734558641,0.0013647590560891168,2.541603507892583e-07,0.012690908835095537,0.0,0.005382549930609961,0.003720702718454655,0.0,
2,Rd,-0.0027460186460636555,0.01973706836207975,0.1055496077178892,0.033337456314114285,0.0017125616920626338,-0.0017419634653775206,-0.0022072525593224345,-0.0004190171243089956,0.0,-0.0038839395044168354,0.0,-0.004616391408816737,-0.0011495132824140722,0.0,Ibias,0.03047831963557538,0.003939645788117172,0.09700387316836252,0.027672016834329627,0.0023401744730775177,0.033438588480288946,0.02185677910246301,0.008897867895250655,0.0059071343179831395,-0.007799403544116712,0.0,0.02086559977071745,0.026596628015852847,0.0,W1,0.003164761616230913,0.00965065709639712,0.03517184234456718,-0.0013630280400891677,-0.002467661126464393,0.0020121455538852076,0.012615242608114214,-0.009633110890205118,-0.0058340558426495485,-0.0007130966638577642,0.0,0.001645139055313672,0.01040097520184198,0.0,W2,0.003337133982328915,0.0037161330212715326,-0.014018409826157293,0.005262199778325888,-0.005907899744332669,0.002120771393562817,0.002679840110512769,0.0005089594712646078,2.546288339218457e-07,0.004714669387895639,0.0,0.01139285942052022,0.0013986137529370828,0.0,Alo,0.0,0.010605755584309633,-0.021671847565094077,0.018616994100599412,-0.010232806135515363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00905240965623534,0.0005607011582480884,-0.07304153343700029,-0.017771726666926366,0.0011158552606892,-0.0058578952815305126,-0.007287173594526247,-0.0013823995961444744,-2.546288339218457e-07,-0.012819977681796615,0.0,-0.006911969843348506,-0.0037818515879419284,0.0,Rbias3,0.009059125462706553,-0.0016733611495380002,0.053697352347356425,0.01558821953686837,0.0003551630792203848,0.0053657214770270484,0.007266626309691867,0.0013805436429535113,5.092576678436914e-07,0.012783782844990016,0.0,0.005049049063133374,0.003803051627986399,0.0,
3,Rd,-0.002834189354831511,0.012665538990129578,0.14427083574445665,0.032532063665758025,0.006690502076375749,-0.0017997952910624431,-0.0022819410682415227,-0.0004316078990402065,0.0,-0.003999866924024707,0.0,-0.004309100001037932,-0.0011934148882473575,0.0,Ibias,0.03044428616062455,-0.002501684114816545,0.1330815743558414,0.024523424750355946,0.007296743438697593,0.03341393435013602,0.021889614252676114,0.008863350935014435,0.0058978376380696895,-0.007809750383323055,0.0,0.020749926884204788,0.026598873336432,0.0,W1,0.003133447723715511,0.0035205653223966877,0.06643455706811856,-0.008646459859188948,0.0026079546608626164,0.001992179028276346,0.012524673093818802,-0.009606890380325996,-0.005825912788824711,-0.0007730663564673825,0.0,0.0019738211871564012,0.01035644382341694,0.0,W2,0.0032994260878451715,-0.002289443443970324,0.01892922175039413,-0.0015511582700388888,-0.0008324010967808853,0.002096864224091056,0.0026522837139852672,0.0005020394367938957,0.0,0.004650946969807441,0.0,0.011606178483135795,0.0013914359701475804,0.0,Alo,0.0,0.0042672537339031235,0.01495971359846246,0.013662471386246974,-0.005241718795059676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009205769283608852,-0.004874629508242948,-0.04614262225678195,-0.028235785017737096,0.0062614464653567925,-0.0059623156997376985,-0.007420248287165211,-0.0014029046137954031,-2.5505265690361374e-07,-0.01300876025137353,0.0,-0.005673114085673996,-0.003869343692323378,0.0,Rbias3,0.00902474718759913,-0.007845204661743764,0.08830923208769928,0.01050160206406456,0.005366582403968273,0.005344475525193765,0.007247684373510272,0.0013722697579429707,2.5505265690361374e-07,0.012706129140895419,0.0,0.005392404383162302,0.0038117589266670445,0.0,
4,Rd,-0.0028099651356875335,0.016688434523222363,0.12466562724281106,0.032379165540136125,0.0039057266758699243,-0.001786333867157278,-0.002264494911238519,-0.00042737704442788373,-2.554835716472394e-07,-0.003951645184532889,0.0,-0.004125972223332576,-0.0011923297209675105,0.0,Ibias,0.03044850946399584,0.0012656495640670786,0.11581620598897098,0.02590783641888388,0.004421065282697795,0.03339973193013895,0.02194940298957787,0.00883528130967398,0.005888896326299534,-0.007740555017794526,0.0,0.020934281484907304,0.026598261368635617,0.0,W1,0.0031644599999698575,0.006746634693049993,0.0497846035838459,-0.003979561962142067,-0.00022937980976143872,0.0020135184828059234,0.012490452120859797,-0.009572786558604383,-0.005817360926240434,-0.0007621487470978486,0.0,0.0019476753661193662,0.010350916095799124,0.0,W2,0.003288903645206862,0.0009076802020508466,0.0011482961601297216,0.00268063352704578,-0.003624431595429634,0.002090976857912972,0.00264641007684354,0.0004998503175764418,0.0,0.0046194714740067375,0.0,0.011630549291192515,0.0013980673704831383,0.0,Alo,0.0,0.007669624770714855,-0.004219854010705507,0.016424699310060603,-0.007958850362219163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009218750078483636,-0.00209986560923745,-0.0613469274374811,-0.021471932480037655,0.0033689592337839006,-0.005977071522428392,-0.007437420699008017,-0.0014032547818725511,-2.554835716472394e-07,-0.012980691552463194,0.0,-0.0058768505837183535,-0.0039054579174606376,0.0,Rbias3,0.009026873297533138,-0.004379766266066048,0.07094783846260708,0.013395510129052586,0.002531840141681845,0.005339437372707615,0.00725559414407335,0.0013708211982458556,2.554835716472394e-07,0.012663663292115839,0.0,0.005692353390843172,0.003842017201327698,0.0,
5,Rd,-0.002821664879355937,0.014595857600090958,0.137059849412558,0.031205521727514056,0.00542546811004491,-0.0017943543212094652,-0.0022760710337752428,-0.00042844981590911313,0.0,-0.003957292989435485,0.0,-0.004113363965859673,-0.0012054860314009233,0.0,Ibias,0.030297502143890334,-0.0005982380520075438,0.12765479356087372,0.024944570308919885,0.005892575123229973,0.03329060679175546,0.021885114877170087,0.008784803814440698,0.005880462330239309,-0.007901209869126326,0.0,0.022064815057277993,0.026543280693380272,0.0,W1,0.003166099375151392,0.004837851565762111,0.05923799735634602,-0.006327104961193296,0.0013232987401260172,0.0020153398444518926,0.012432501212791143,-0.009543295227963862,-0.005809323577941459,-0.000781920850069269,0.0,0.0020676185033601897,0.010326283696990192,0.0,W2,0.0032931820880949987,-0.0009279996920003179,0.011135388764341659,0.00040896504012953556,-0.002053475438126912,0.002095151312918825,0.0026530303873774,0.000499666289674902,2.5589479244597435e-07,0.004612722366920023,0.0,0.011506297741377363,0.0014087780544476684,0.0,Alo,0.0,0.00571940290247762,0.007334375391445327,0.014955619058017887,-0.006405056971282353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009250940702046219,-0.0038012991654180384,-0.05366565511532999,-0.02472330231751794,0.004937040258949377,-0.006002303703893813,-0.0074707936028248646,-0.0014057700306403605,-2.5589479244597435e-07,-0.012991401196929249,0.0,-0.005750145178457881,-0.00394457855245391,0.0,Rbias3,0.009035984327473922,-0.006213198669855323,0.08199766055894778,0.01157331989696597,0.004049964498295434,0.005343357760722804,0.007271180105453185,0.00136994598626102,2.5589479244597435e-07,0.012642168418597815,0.0,0.00576277608937751,0.0038702759124511865,0.0,
6,Rd,-0.002805825096036022,0.015869136319539318,0.13182911893476146,0.03131676487646424,0.004573941517515117,-0.0017857835625472265,-0.0022653631173314187,-0.00042544016833011484,0.0,-0.003923188406217635,0.0,-0.004090230487652432,-0.0012066166600397115,0.0,Ibias,0.03035674225170138,0.0006547300277905797,0.12332492150510357,0.02497316180775217,0.004974449102532573,0.03331684544708039,0.021985608751413366,0.008766230722693152,0.005872131021490883,-0.007766844878186991,0.0,0.02161355592720549,0.026570679454331798,0.0,W1,0.00318937249943536,0.005799726838818671,0.054031131012412005,-0.004889387182922433,0.00046163421800371745,0.002031081282046304,0.012395172019768983,-0.009511544210804761,-0.005801391718888096,-0.0007761620152578626,0.0,0.002052465372383789,0.010315436382063347,0.0,W2,0.0032824344811274897,4.213865433212239e-05,0.00563772822267592,0.0016765105810514463,-0.0028837689746798447,0.0020888697069036477,0.0026473185212413557,0.0004972602374245063,2.563018210318085e-07,0.004583535670507904,0.0,0.011528096369315009,0.0014134993975885156,0.0,Alo,0.0,0.006761506003694147,0.0018765812907068434,0.015908397135547144,-0.007206119693562932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009202979354586562,-0.0029778274423763263,-0.05884776462049399,-0.02220294781147708,0.004054422127475919,-0.005975242307269598,-0.00743854153765008,-0.0013964532711660768,-2.563018210318085e-07,-0.01288446361080197,0.0,-0.006378054713428543,-0.0039511015309920275,0.0,Rbias3,0.009074368457650665,-0.005105188632654254,0.07719478476397437,0.01258477842409494,0.0031737678242471598,0.0053642206402473285,0.007309092216659927,0.0013738112011906526,2.563018210318085e-07,0.01265660752180537,0.0,0.005654647323810454,0.003913432130802474,0.0,
7,Rd,-0.0027935431025758713,0.015276698831800849,0.13625317092551886,0.030790947590379814,0.00502562927939303,-0.0017778973427851254,-0.0022582172905078086,-0.0004228315751248771,-2.5669690129073765e-07,-0.0038951887549106712,0.0,-0.004187070157283121,-0.00120884872464662,0.0,Ibias,0.030343477430323108,0.0001849432200234596,0.12777719774587154,0.024474691621295053,0.005373521280189979,0.03329768056528608,0.02202683416046485,0.0087375073146249,0.005863984012917039,-0.007737912175348978,0.0,0.02166048064021229,0.0265706630301167,0.0,W1,0.003184654449615809,0.005197779623255863,0.05677456387355025,-0.005048570111080638,0.0009289957671495246,0.002028631665184789,0.012335251509151072,-0.009484292927307058,-0.005794162455767811,-0.0008049515681192564,0.0,0.0022394765782126156,0.010290819952366245,0.0,W2,0.0033151950395086667,-0.00052047081518766,0.008619632730656001,0.001218100808503788,-0.00239386832927829,0.002112345231496496,0.0026757230422306826,0.0005014710202080806,0.0,0.00461665956983644,0.0,0.011165106621088869,0.0014363331668715766,0.0,Alo,0.0,0.006162105947888584,0.005786290260569268,0.01542340953679612,-0.0067157474454422285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009223847507153245,-0.0035246629517817927,-0.05710237117079849,-0.02312866689013549,0.0045220400924559645,-0.005992834768926114,-0.007463816835979559,-0.0013972957282590618,-2.5669690129073765e-07,-0.012878355498729462,0.0,-0.006360442451798566,-0.003984879187154346,0.0,Rbias3,0.009089478747468746,-0.00561610289726688,0.08101351990393876,0.012108855169606334,0.003615537132381034,0.005371485046156316,0.007327586552308016,0.0013740219219017693,2.5669690129073765e-07,0.012642986152919835,0.0,0.005685433921087278,0.003944064036570327,0.0,
8,Rd,-0.0028731907151250493,0.015686235372350255,0.13541534462355626,0.030629190363425936,0.00476332865677313,-0.0018325624384000513,-0.0023244534920289026,-0.00043422743810309056,0.0,-0.0039949808802327786,0.0,-0.003428517292096118,-0.0012513433095045626,0.0,Ibias,0.030260271085659388,0.0006336376976778961,0.12738244253784517,0.024439529534510476,0.005054944293362015,0.03323027470033236,0.02201152896759681,0.00869903749873406,0.005856656525514942,-0.00780157113728315,0.0,0.022353689664569992,0.026538730130778936,0.0,W1,0.003130399425618441,0.005457748096857142,0.055102089918679514,-0.005028397140128642,0.000670720067665555,0.0019945117188298425,0.012236759663573583,-0.009465057006658843,-0.00578672936801789,-0.0009037540955426593,0.0,0.0028635123518089083,0.0102453356555049,0.0,W2,0.0032880103520087803,-0.00023818364788270557,0.006968762491638787,0.001437663111984028,-0.0026263739273555157,0.0020955255376838853,0.0026558288687471942,0.0004966738931655274,2.570851378641561e-07,0.004565940480138588,0.0,0.011324250975007544,0.001433466528526419,0.0,Alo,0.0,0.006467336808912962,0.0046108159414462915,0.015811942116645945,-0.006935279072020246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009331901657969441,-0.003291903321858337,-0.05920938429399957,-0.022414543912944267,0.0042538916101990286,-0.00607023527631576,-0.007558093240344371,-0.0014116376140933039,-2.570851378641561e-07,-0.012992586496183239,0.0,-0.005601745064348371,-0.004056764550861221,0.0,Rbias3,0.00907032912703816,-0.005249007958660032,0.08008597550780602,0.012205841490793673,0.003337590908565682,0.005354550324920809,0.007319213417807309,0.0013691856156401473,2.570851378641561e-07,0.012580210708111434,0.0,0.006020746245934845,0.003959672371184107,0.0,
9,Rd,-0.002908743932483525,0.0155171380900597,0.13744415157099613,0.03026277044508044,0.00488733240291113,-0.0018557423545224338,-0.0023550540476432614,-0.00043897620815758193,0.0,-0.0040335246642317635,0.0,-0.0030969338416843707,-0.0012739717401097357,0.0,Ibias,0.030254497677236418,0.0005591934404230429,0.12956584291612963,0.02377817847369958,0.005128078281269762,0.03321540266154259,0.022056343800778092,0.008672502838170748,0.005849080941465655,-0.007763335728943085,0.0,0.022351253317278122,0.02654087608566132,0.0,W1,0.0031604497522419806,0.005243757886487,0.055762554708280045,-0.005534809048212123,0.0008069548352460493,0.0020132665836410145,0.012209329531683896,-0.009433995142364572,-0.00577982296218693,-0.0008842660461778422,0.0,0.002757605923530765,0.010237186411613992,0.0,W2,0.0032372129315122776,-0.0004204993027756809,0.007823138436687319,0.0008927828307800957,-0.002467526031338642,0.0020617988526643915,0.002618071389038134,0.00048820311340569297,2.5746460699154297e-07,0.00448317105895477,0.0,0.011702202317902012,0.0014192917104645178,0.0,Alo,0.0,0.006272766255732361,0.006250939474065266,0.01519275716206459,-0.006773000895484963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009308341822437975,-0.00347822127878943,-0.05927382464323572,-0.02284409442310422,0.004386912073476391,-0.006059130400448776,-0.007545209131058452,-0.0014060888599369094,-2.5746460699154297e-07,-0.012925311017463673,0.0,-0.0059516022420337345,-0.00407077566956172,0.0,Rbias3,0.009114692188682045,-0.005370866860137706,0.08170927409098386,0.011921117811954986,0.003450896517780558,0.005380501214951969,0.007362065154074858,0.0013737065594343035,2.5746460699154297e-07,0.01260772657800311,0.0,0.005788737345342797,0.0040023541835197424,0.0,
10,Rd,-0.0027982767264026847,0.01564084743505668,0.13792986908772764,0.030324971333456633,0.00480098786744518,-0.0017855133474982412,-0.0022673754542238823,-0.0004217461513116611,0.0,-0.0038700208578858392,0.0,-0.004005167371320094,-0.0012325755051310582,0.0,Ibias,0.030303855704695876,0.0007564016576293902,0.13030692536857594,0.02425098704898535,0.004991152962650069,0.03323636291427547,0.022144349491520277,0.008654527906264791,0.005841810365610081,-0.007652027670461503,0.0,0.021890787002063983,0.026566957976897797,0.0,W1,0.003263791474296537,0.005282625904873214,0.05511542451819394,-0.00521923000684995,0.000730105511749714,0.002082133613984828,0.012243503657670856,-0.009392510906023525,-0.005773225753470418,-0.000763846485036477,0.0,0.002019356793633814,0.010263152133991295,0.0,W2,0.003317749160315962,-0.00034713527296967853,0.007328230042874847,0.001162961856578279,-0.002521374412535862,0.002116470409129073,0.0026858806701588545,0.0004996047403219457,0.0,0.0045830789102187025,0.0,0.010926974433864515,0.0014630373287345979,0.0,Alo,0.0,0.006347682347204367,0.006408351249059264,0.01569784265402167,-0.006820808343554114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009305625542738458,-0.003419462184022453,-0.06050984014112276,-0.022444770147430525,0.004304296982654385,-0.006062305976422714,-0.007549283643731409,-0.0014036375532785297,-2.5783688775116356e-07,-0.012887853369177577,0.0,-0.006119519524132806,-0.004092977664053583,0.0,Rbias3,0.009166840148409657,-0.005233737404664021,0.08192510251865129,0.011811550793375616,0.0033529151211768296,0.005410734261336952,0.007411670710058389,0.0013793340311015615,2.5783688775116356e-07,0.01264660831383561,0.0,0.005484963065459541,0.0040479798409752445,0.0,
