Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.001125795,7.5472582913032005,6.4792219859348705,66.25921066588506,19.036663665178803,0.004242353,0.01355632,0.09316661,0.4713568,0.1511394,9999000.0,0.008896855,0.003082729,2.0,
2,0.001094061,7.315266769086623,6.925184800209166,66.02298936780949,19.212823948725433,0.004091364,0.01335132,0.09208697,0.4681727,0.1588989,9999000.0,0.008646465,0.002872403,2.0,
3,0.001093163,7.928999350179038,6.830086563045171,64.46181037570591,18.731402519938367,0.004067906,0.01373844,0.09018614,0.4623685,0.1636629,9999000.0,0.008673064,0.002813077,2.0,
4,0.001104591,8.763107573787956,6.6050310814294875,66.33776971370347,18.074300353929896,0.004099851,0.01426572,0.0882888,0.4568619,0.1661535,9999000.0,0.008820708,0.002827317,2.0,
5,0.001115879,9.441808292106481,5.56586028849965,89.712402624302,17.38301631574718,0.004139146,0.01477652,0.08649911,0.4517955,0.1668262,9999000.0,0.008966797,0.002867446,2.0,
6,0.001116605,9.781097363667946,4.948705537037057,74.95299488005949,16.708430193864043,0.004145408,0.01528643,0.08427675,0.4453351,0.1660955,9999000.0,0.009040756,0.002901903,2.0,
7,0.001097304,10.017893157330452,4.643366739278449,76.78198235560447,16.37720554849239,0.004090263,0.01538994,0.08253502,0.4405679,0.1628954,9999000.0,0.008979821,0.002911629,2.0,
8,0.001073528,10.234766390724882,4.601439149776951,74.25053065532848,16.21042472035922,0.00401813,0.01535954,0.08114255,0.4367019,0.1597148,9999000.0,0.008874007,0.002903413,2.0,
9,0.00105342,10.39919569135093,4.509442081038642,74.57103784391765,16.089815353347845,0.003956027,0.01530785,0.08009277,0.433723,0.1571673,9999000.0,0.008775763,0.002891727,2.0,
10,0.001034283,10.555410521319402,4.427161053708687,74.64854938177692,15.96835243115981,0.003897932,0.01527663,0.07874258,0.430115,0.154799,9999000.0,0.008689462,0.002887879,3.0,
11,0.001018592,10.752693863388318,4.290744192420263,74.79280110010092,15.792501712995197,0.003848237,0.01536716,0.077355,0.4259205,0.1529152,9999000.0,0.008603913,0.002880982,3.0,
12,0.001003672,10.884176554339266,4.200664631833021,74.40335666198928,15.679383362466641,0.003803569,0.01535109,0.07619345,0.4227428,0.1508876,9999000.0,0.008533628,0.0028812,3.0,
13,0.0009906244,11.042491677116244,4.081204848190893,74.30325121236524,15.528361010579257,0.003765419,0.01539596,0.07499701,0.4192548,0.1487617,9999000.0,0.008485907,0.002885336,3.0,
14,0.0009767806,11.20279437094364,3.9615440643720348,73.97632534141636,15.404326848653504,0.003723673,0.01542501,0.07394874,0.4160105,0.1465168,9999000.0,0.008416324,0.002883408,3.0,
15,0.0009634502,11.3121706850457,3.8859731883795092,73.83298239783477,15.32570829669231,0.003685589,0.01537733,0.07302111,0.4134171,0.1442239,9999000.0,0.008346877,0.002887827,3.0,
16,0.0009520856,11.449123297125512,3.7808346895226776,73.51917371014514,15.224543445930173,0.003652785,0.01539705,0.07215991,0.4106986,0.142009,9999000.0,0.008294326,0.002890498,3.0,
17,0.0009408527,11.546381292095926,3.7044845394764394,73.0081253830092,15.155256022824107,0.003620992,0.01535669,0.07133933,0.4083439,0.1400008,9999000.0,0.008224547,0.002895876,3.0,
18,0.0009304276,11.667188703364914,3.6061973016496154,72.55690004438793,15.049514302355249,0.003591416,0.01535304,0.07050037,0.4057691,0.1379975,9999000.0,0.008183392,0.002901277,3.0,
19,0.0009195948,11.787440609654682,3.517198198610288,72.13260688704523,14.972803862600317,0.00356075,0.01534165,0.06976693,0.4033999,0.1356722,9999000.0,0.008137373,0.002906177,3.0,
20,0.0009005116,11.893549313050208,3.5932080254979724,73.9746197876191,15.046156801406749,0.003512935,0.015121,0.06917043,0.4018387,0.1310475,9999000.0,0.008017437,0.002924285,3.0,
21,0.0008953821,11.96231267232006,3.437648967383268,71.85536995358103,14.956485656503693,0.003498422,0.01512438,0.06874627,0.4004513,0.1299602,9999000.0,0.007989468,0.002928019,3.0,
22,0.0008784915,12.052252869865104,3.5115598890014894,74.07377445525023,15.019101100219107,0.003454713,0.01492013,0.06823381,0.3990886,0.1258377,9999000.0,0.007865636,0.002948116,3.0,
23,0.0008745194,12.138782312211955,3.3181473193820636,71.34608687133348,14.951788147222608,0.003445361,0.01495981,0.06767874,0.3972504,0.12488,9999000.0,0.00786332,0.002955799,3.0,
24,0.0008605127,12.232442275268467,3.3562564940815207,72.88430191050185,14.982332725927666,0.003407859,0.01480932,0.06721375,0.395859,0.1214457,9999000.0,0.007754616,0.002973922,3.0,
25,0.0008485113,12.308795147964737,3.335272311406527,73.09241148737618,15.000291371996699,0.00337858,0.01466127,0.06681913,0.3947698,0.1183206,9999000.0,0.007677573,0.002997812,3.0,
26,0.0008390134,12.396713173275604,3.2220648848300755,71.82565674776524,15.001948730975318,0.003354614,0.014579,0.06637838,0.3933694,0.1158904,9999000.0,0.007609993,0.003016661,3.0,
27,0.0008295105,12.481506147589535,3.1084222515394657,70.88925238781303,15.002094194673434,0.003330672,0.01449337,0.06594048,0.3919674,0.1134574,9999000.0,0.007542762,0.003037398,3.0,
28,0.0008197401,12.553582677833168,3.0314722949899533,70.30646578691207,15.012794688265771,0.003305761,0.01438224,0.06562187,0.3909613,0.1110105,9999000.0,0.007473267,0.003058639,3.0,
29,0.0008147991,12.61632062403599,2.8320905585776757,68.06412913900911,14.979543462905651,0.003294914,0.01435554,0.06520477,0.389632,0.1095597,9999000.0,0.007444906,0.003078686,3.0,
30,0.0007996424,12.695669769819784,2.938916364597759,70.3458627993783,15.02581735892727,0.00325585,0.0141597,0.06477353,0.3882974,0.1059079,9999000.0,0.007333489,0.003116037,3.0,
31,0.0007996546,12.744755926361375,2.6309789309579656,66.5382794865505,14.935426588698387,0.003254645,0.01421531,0.06449694,0.3872378,0.1059924,9999000.0,0.007347128,0.003112905,3.0,
32,0.0007819916,12.813475418905613,2.845345552323849,69.98285939955537,15.011683378222216,0.003209402,0.013951,0.06409227,0.3860865,0.1018494,9999000.0,0.007215159,0.003163376,3.0,
33,0.0007804684,12.87299112380239,2.6029379979946867,66.95718966579636,14.962679890374822,0.003205119,0.01398689,0.06374193,0.3847814,0.1014507,9999000.0,0.007210578,0.003168184,3.0,
34,0.0007664651,12.95000572734092,2.7089944755118722,68.87844214420863,14.991575197895223,0.00316908,0.01379211,0.06336992,0.3835876,0.09811333,9999000.0,0.007114773,0.003215902,3.0,
35,0.0007579256,13.001297218826418,2.6353645277428654,68.10822259208325,15.010231519918381,0.003147448,0.01367296,0.06308431,0.3826803,0.09611494,9999000.0,0.00705067,0.003248958,3.0,
36,0.0007547059,13.057855032900775,2.4081037564135244,65.83037617018965,14.97393078879998,0.003139798,0.01366993,0.06275428,0.3814563,0.09518139,9999000.0,0.007032004,0.003266522,3.0,
37,0.0007411005,13.119249383035319,2.5456182087371815,68.07574125540185,15.019685199962145,0.003104703,0.01346987,0.06241795,0.3803479,0.09201292,9999000.0,0.006927889,0.003325506,3.0,
38,0.0007429572,13.153780552184491,2.213386569938521,64.44698080888858,14.94327916275327,0.003107663,0.01354397,0.06222695,0.3795199,0.09257117,9999000.0,0.006952436,0.003308838,3.0,
39,0.0007265068,13.20573001634299,2.4958259826980935,68.26722272643704,15.021064061009003,0.003065199,0.01327372,0.06190523,0.3785482,0.08890626,9999000.0,0.00682461,0.003385837,3.0,
40,0.0007299755,13.24353628116037,2.113682881520049,63.90046810406494,14.930664168477605,0.003071455,0.0133891,0.06164312,0.3774038,0.08992057,9999000.0,0.006862158,0.003354282,3.0,
41,0.0007136393,13.301976272838512,2.417992675755599,67.90856994645117,15.006014032281367,0.003029031,0.01312539,0.06132903,0.376373,0.08625213,9999000.0,0.006733903,0.00343956,3.0,
42,0.0007132473,13.334692293795026,2.1722205113259463,64.83317647670191,14.977719692408819,0.003027299,0.01314668,0.06112496,0.3755739,0.08625755,9999000.0,0.006735007,0.003435681,3.0,
43,0.0007008792,13.389183544284244,2.301200752226549,66.81514132190875,15.012832811495521,0.002995438,0.0129506,0.06084966,0.3746172,0.08346486,9999000.0,0.006643294,0.003510995,3.0,
44,0.000702166,13.426109397954562,1.996298468512066,63.630042622465595,14.957016165465289,0.002997713,0.01301762,0.06060994,0.3735814,0.08376053,9999000.0,0.006660253,0.00349755,3.0,
45,0.0006878357,13.465864255852777,2.259131176205784,66.9812680669205,15.024626875667868,0.002960699,0.01276968,0.06035062,0.3727477,0.0806895,9999000.0,0.006545861,0.003589856,3.0,
46,0.0006929474,13.490866553614662,1.8214773634367702,62.48738596945341,14.923700963637527,0.002970727,0.01290914,0.06014745,0.3717673,0.08204253,9999000.0,0.006596699,0.003535517,3.0,
47,0.0006759535,13.542310115584913,2.232640852455816,67.22808323043597,15.01268418812397,0.002926544,0.01261512,0.05987424,0.3708389,0.07839313,9999000.0,0.006459416,0.00365425,3.0,
48,0.0006802116,13.565910789774435,1.8510113573555884,62.95187148405992,14.945482089180551,0.002935144,0.01272175,0.05978489,0.3703355,0.07948121,9999000.0,0.006500474,0.003607339,3.0,
49,0.0006659793,13.60198848547665,2.150115136339423,66.4423575721847,15.016727557888752,0.002898294,0.01246804,0.05954673,0.369548,0.07651288,9999000.0,0.006385002,0.00371347,3.0,
50,0.0006709417,13.62032673732519,1.745301908188452,62.28336609535985,14.93853752965862,0.002908305,0.01258908,0.05945891,0.3690351,0.07777056,9999000.0,0.00643334,0.003655764,3.0,
51,0.00065419,13.667738000592566,2.1500317484576357,66.87368447920761,15.013587075330628,0.002864676,0.01228551,0.05920005,0.368176,0.07435007,9999000.0,0.006303768,0.003787753,3.0,
52,0.0006602984,13.687561883532265,1.6610513122930826,61.778375460589785,14.929190542485957,0.002877819,0.01242913,0.05911702,0.3676666,0.07580317,9999000.0,0.006361411,0.003717741,3.0,
53,0.0006427566,13.724337953798262,2.132455757086575,67.16227526317448,15.026387846365665,0.002832313,0.01210664,0.05886076,0.366811,0.07225469,9999000.0,0.006216185,0.003867552,3.0,
54,0.0006519221,13.73434156625747,1.4942104252629491,60.83943821373222,14.893917148616875,0.002851921,0.01231972,0.0587342,0.3660576,0.07443683,9999000.0,0.006301229,0.003755208,3.0,
55,0.0006307359,13.777135746232673,2.1786201375034864,68.47555518531803,15.025354590068927,0.002796599,0.0119232,0.05846134,0.3651524,0.07024133,9999000.0,0.006124012,0.003943735,3.0,
56,0.0006419344,13.787269549795491,1.4472355177815928,60.59054498397856,14.882115401049056,0.002821056,0.01217536,0.05836262,0.3644832,0.07284672,9999000.0,0.006225759,0.00380246,3.0,
57,0.00062129,13.837180198905452,2.144619657944901,68.26701719145035,15.006577489641554,0.00276653,0.01179269,0.05809649,0.3635261,0.068793,9999000.0,0.006054304,0.003994077,3.0,
58,0.000629022,13.858405533122745,1.5631902290988222,61.35026059221525,14.926039787116384,0.002784452,0.01196244,0.05802979,0.3631083,0.07051456,9999000.0,0.006127559,0.003895919,3.0,
59,0.0006135654,13.89540900920268,1.9935203804952693,66.1561461675424,15.009973507667475,0.002744084,0.01167842,0.05780078,0.3622358,0.06745301,9999000.0,0.005996898,0.00405331,3.0,
60,0.0006202042,13.907909238427106,1.481409653360771,60.96413403635049,14.935747433040675,0.002759235,0.01182831,0.05771543,0.3617469,0.06891651,9999000.0,0.006058664,0.00396392,3.0,
61,0.000604332,13.942091799287496,1.9625904775113554,66.14008858055556,15.026030701147572,0.002717805,0.01153179,0.05750298,0.360937,0.06582313,9999000.0,0.005923666,0.004134151,3.0,
62,0.000615008,13.943601357243852,1.275619958633655,59.84291178116828,14.889377152670725,0.002741066,0.01177417,0.05740852,0.3602876,0.06819046,9999000.0,0.00602246,0.003981949,3.0,
63,0.0005935107,13.979307971656816,2.0875907013614494,68.57960066013919,15.031702296437945,0.002685043,0.01135735,0.05717228,0.3594638,0.06412579,9999000.0,0.005837841,0.004215984,3.0,
64,0.0006076646,13.972276399788871,1.2136754122883957,59.496076398823504,14.85961173897191,0.002716647,0.01166592,0.05713878,0.3590433,0.0672083,9999000.0,0.005966185,0.004011928,3.0,
65,0.000584602,14.03005382514473,2.1111448295810646,69.08433368867648,15.001958609325099,0.002655807,0.01122211,0.05688596,0.3580943,0.06289343,9999000.0,0.005773004,0.00426868,3.0,
66,0.0005953491,14.049027611462732,1.42792635632307,60.76396763079242,14.920328385432018,0.002680093,0.01145385,0.05685845,0.3577992,0.06523287,9999000.0,0.00586901,0.004103962,3.0,
67,0.0005810655,14.077925652863925,1.8697937942730078,65.3591751478786,15.003451079545462,0.002642884,0.01118187,0.05667718,0.3570716,0.06251139,9999000.0,0.005745542,0.004274871,3.0,
68,0.0005861688,14.092593000162656,1.4230295677522093,60.892739269950795,14.953616471296716,0.002653427,0.01130079,0.05660068,0.35662,0.06368529,9999000.0,0.005792842,0.004184504,3.0,
69,0.0005737192,14.119839451549934,1.78211059983974,64.58943578393897,15.022641342667493,0.002620846,0.01106505,0.05642814,0.3558971,0.06134636,9999000.0,0.005684936,0.004338558,3.0,
70,0.000584392,14.109662346805788,1.1310402438793403,59.1736331633534,14.901193656941121,0.002644244,0.01129865,0.05638256,0.3555118,0.06366215,9999000.0,0.005785,0.004165112,3.0,
71,0.0005638804,14.142170321444954,2.00030727245219,68.1296028087041,15.040525000721496,0.002590711,0.01089635,0.05618137,0.3547335,0.05987823,9999000.0,0.005605267,0.004422501,3.0,
72,0.0005796372,14.121309387986273,1.0515322389363746,58.686187342048726,14.86055996679903,0.002626415,0.01123231,0.05618671,0.3545269,0.06319984,9999000.0,0.005749396,0.004170356,3.0,
73,0.0005550888,14.159303373843269,2.191992343517086,72.8562589640662,15.046486985156564,0.002561689,0.01074812,0.05595662,0.3536342,0.05876991,9999000.0,0.005534406,0.004476789,3.0,
74,0.0005741372,14.15068131395508,1.0570508566903811,58.63511220059567,14.848717255852327,0.002605722,0.01115107,0.05598996,0.3535266,0.06270073,9999000.0,0.005709129,0.004174111,3.0,
75,0.0005490524,14.18227897094193,2.2232136128672835,73.4593829816746,15.045254533334106,0.002540056,0.0106521,0.055743,0.3525851,0.05818132,9999000.0,0.005486827,0.004491741,3.0,
76,0.0005718485,14.155981846417776,0.657800877623643,59.08388625686203,14.81608639185297,0.002592759,0.01113875,0.05578202,0.3524146,0.06284921,9999000.0,0.005694419,0.004133161,3.0,
